LocaleIdentifier,DE
MsgContinuousMode,Weiter
MsgSelectMode,Wählen Sie die Bestellung
MsgUserCode,Geben Sie den Barcode ein
MsgUserPassword,Kennwort Eingeben
MsgUseAsDefault,Standard verwenden
MsgGeneralInformation,Bestellinformation
MsgSerialNumber,Fortlaufende Nummer
MsgEstablishmentName1,Nummer der Filiale
MsgEstablishmentName2,Nummer der Filiale
MsgEstablishmentAddress1,Filiale
MsgEstablishmentAddress2,Filiale
MsgEstablishmentAddress3,Filiale
MsgStatus,Status
MsgStatusDate,Status
MsgPhysicalLocation,Kassenladen
MsgSalesSummaryFrequency,Umsatzzusammenfassung
MsgLastSalesSummaryDate,Umsatzzusammenfassung
MsgDateDifference,Unterschied
MsgPOSConnectionType,Timeout der PinPad-Verbindung
MsgPrinterConnectionType,Timeout der PinPad-Verbindung
MsgPrinterBrand,Drucker
MsgPrinterModel,Druckerdetails
MsgPrintReports,Bericht drucken
MsgSalesSummaryReport,Umsatzzusammenfassung
MsgPeriodicSalesSummaryReport,Umsatzzusammenfassung
MsgSalesDetailBySRMTransactionNumberReport,Bitte geben Sie eine Transaktionsnummer ein.
MsgTransactionalAnalysisReport,Bestellungen
MsgSpecialOptions,Besondere Anweisungen
MsgPrintDuplicateOfGuestCheck,Drucken\nKundenbeleg
MsgMonthly,Monat
BtnContinueWith,Schicht fortfahren
MsgOrderDetailsOrderDetails,Bestell-Nr.%@ Einzelheiten
MsgOrderDetailsOrderDetailsWebOrder,Bestell-Nr.:%@ Einzelheiten [Web-Bestellung]
MsgOrderDetailsInvoiceDetails,Rechnungs-Nr.%@ Einzelheiten
MsgOrderDetailsSelectaTime,Wählen Sie eine Zeit
MsgOrderDetailsSelectaDateTime,Wählen Sie ein Datum & Zeit
MsgOrderDetailsDeliveryEstimatedTime,Einr. Ankunftszeit:
MsgOrderDetailsDeliveryEstimatedDeliveryTime,Voraussichtliche Lieferzeit
MsgOrderDetailsDeliveryOrderNotSent,Bestellung Nicht Versendet
MsgOrderDetailsDeliveryCustomerNotSet,Kunde Nicht Eingestellt
MsgOrderDetailsDeliveryCustomerNoDeliveryAddress,Keine Lieferadresse.
MsgOrderDetailsDeliveryCouldNotResolveRoute,Adresse konnte nicht ermittelt werden.
MsgOrderDetailsDeliveryDriver,Lieferant:
MsgOrderDetailsNotYetAssigned,Noch nicht zugewiesen
MsgOrderDetailsNotYetClockedOut,Zeiterfassung noch nicht beendet
MsgOrderDetailsNotYetClockedIn,Zeiterfassung noch nicht begonnen
MsgOrderDetailsGuestCount,Anzahl Gäste:
MsgOrderDetailsSelectGuestCount,Wählen Sie die Gäste-Anzahl
MsgOrderDetailsTableBarTab,Tisch/Stehplatz:
MsgOrderDetailsBar,Bar %d
MsgOrderDetailsCustomerRefCode,Ref.\nCode
MsgOrderDetailsCustomerEditInfo,Info Bearbeiten
MsgOrderDetailsCustomerDisplayInfo,Monitor Einstellungen
MsgOrderDetailsOpened,Geöffnet:
MsgOrderDetailsClosed,Geschlossen:
MsgOrderDetailsDiscounts,Rabatt(e):
MsgOrderDetailsAddDiscount,Rabatt Hinzufügen
MsgOrderDetailsDiscountEffAmount,Eff. Betrag
MsgOrderDetailsAutogratuity,Auto-Gratifikation:
MsgOrderDetailsPayments,Zahlung(en):
MsgOrderDetailsServiceFees,Service-Gebühr(en):
MsgOrderDetailsMaxOrderAmount,Max Bestell-Betrag:
MsgOrderDetailsMaxInvoiceAmount,Max Rechnungsbetrag:
MsgOrderDetailsAddSF,SG Hinzufügen
BtnOrderDetailsViewOrder,Bestellung einsehen
MsgOrderDetailsReadOnlyTitle,Read-Only
MsgOrderDetailsDeliveryCustomerRemovalTitle,Entferne Kunde
MsgOrderDetailsDeliveryCustomerRemovalMessage,"Wenn der Kunde entfernt wird, erscheint die Bestellung nicht mehr im Liefer-Management."
MsgOrderDetailsSelectedTimeIsInThePast,Ausgewähltes Datum liegt in der Vergangenheit. Bitte wählen Sie eine Zeit in der Zukunft
MsgOrderDetailsAddCustomer,Neukunden Hinzufügen
MsgReservationSelectService,Wählen Sie eine Dienstleistung aus
MsgReservationDurationTitle,Dauer
MsgReservationDurationValueFull,%DStd. %DMin.
MsgReservationDurationValueMinutes,%DMin.
MsgReservationDurationValueHours,%DStd.
MsgReservationDurationValueNA,Nicht Eingestellt
MsgReservationSelectCustomer,Kunden Auswählen
BtnReservationNewCustomer,Neukunde
BtnReservationCreateAppointment,Termin Erstellen
BtnReservationEditCustomerInfo,Info Bearbeiten
BtnReservationEditCustomer,Kunden Bearbeiten
BtnReservationConfirmCreate,Erstellen
BtnReservationTimeBlockCancelBlock,Block Abbrechen
MsgReservationConfirmTitle,Neuer Termin mit %@
MsgReservationConfirmCustomer,Kunde:
MsgReservationConfirmCustomerName,Name
MsgReservationConfirmCustomerAddress,Anschrift:
MsgReservationConfirmCustomerNotes,Anmerkungen
MsgReservationConfirmType,Bestätigen durch:
MsgReservationConfirmTypeText,Text
MsgReservationConfirmTypeEmail,E-Mail
MsgReservationConfirmAppointmentNotes,Anmerkungen zum Termin
MsgReservationConfirmService,Dienstleistung
MsgReservationConfirmDuration,Dauer
MsgReservationConfirmDate,Datum
MsgReservationConfirmStartTime,Startzeit
MsgReservationDetailsInactiveProviderMessage,"Der angewiesene Mitarbeiter ist nicht mehr verfügbar, um den Dienst auszuführen."
MsgReservationDetailsInactiveServiceMessage,Dieser Dienst ist nicht mehr verfügbar.
MsgReservationDetailsInactiveServiceAndProviderMessage,Sowohl dieser Dienst als auch der angewiesene Mitarbeiter sind nicht mehr verfügbar.
MsgReservationDetailsModifyOrCancelAppointment,Bitte ändern oder löschen Sie den Termin.
BtnReservationDetailsModifyAppointment,Termin ändern
MsgReservationDetailsTitle,Termin mit %@
BtnReservationDetailsCancelAppointment,Termin Löschen
BtnReservationDetailsGoToTab,Gehe zur Rechnung
MsgReservationDetailsConfirmed,Bestätigt:
MsgReservationDetailsDuration,Zeit
MsgReservationDetailsCancelConfirmation,Dies wird einen Termin löschen. Sind Sie sich sicher?
MsgReservationTimeBlockCancelConfirmation,Dies wird einen Zeit-Block löschen. Sind Sie sich sicher?
MsgReservationConfirmEndTime,Endzeit
MsgReservationConfirmEnterLabel,Geben Sie eine Bezeichnung ein
MsgReservationConfirmCreateIntersectingAppointment,Dadurch ergeben sich überschneidende Termine. Sind Sie sich sicher?
MsgReservationConfirmCreateIntersectingTimeBlock,Es gibt für diese Zeit vorgesehene Resevationen die neu zugeordnet werden sollten. Fortfahren?
MsgReservationTimeBlockNewBlockTitle,Neuer Zeit-Block Für %@
MsgReservationTimeBlockEditBlockTitle,Zeit-Block Für %@ Bearbeiten
MsgReservationTimeBlockAllDay,Ganzer Tag
MsgReservationTimeBlockRepeats,Wiederholungen
MsgReservationTimeBlockRepeatSelectionNever,Nie
MsgReservationTimeBlockRepeatSelectionTitle,Wählen Sie Wiederholungs-Parameter
MsgReservationTimeBlockRepeatSelectionEndDate,Enddatum
MsgReservationTimeBlockRepeatSelectionAll,Alle
MsgReservationTimeBlockRepeatSelectionMonday,M
MsgReservationTimeBlockRepeatSelectionTuesday,D
MsgReservationTimeBlockRepeatSelectionWednesday,M
MsgReservationTimeBlockRepeatSelectionThursday,Do
MsgReservationTimeBlockRepeatSelectionFriday,F
MsgReservationTimeBlockRepeatSelectionSaturday,Sa
MsgReservationTimeBlockRepeatSelectionSunday,So
MsgReservationCalendarTitle,Terminbuch
MsgReservationTimeBlockRepeatSelectionDateUntil,bis
BtnReservationNewAppointment,Neuer Termin
BtnReservationNewTimeBlock,Zeit-Block
BtnReservationShowAllDay,Ganzer - Tag
BtnReservationShowAllWeek,Ganze - Woche
MsgReservationNoDateSelected,Kein Datum Ausgewählt
MsgReservationEditTitle,Termin Ändern
MsgReservationEditSubtitle,Was möchten Sie ändern?
MsgReservationEditTimeAndEmployee,Zeit & Mitarbeiter
MsgReservationEditService,Dienstleistung
MsgReservationNavNext6Weeks,6 Wochen
MsgReservationEmailConfirmationSubject,Sie haben einen Termin.
MsgReservationEmailConfirmationContent,Sie haben einen Termin für %@ am %@ um %@.
MsgReservationTimeBlockInvalid,Zeit-Block sollte mindestens 5 Minuten betragen.
MsgReservationChooseRangeTitle,Wählen Sie einen Zeitraum
MsgReservationChooseRangeMessageEdit,Sie bearbeiten einen sich wiederholenden Zeit-Block. Für welche Zeitspanne möchten Sie Ihre Änderungen übernehmen?
MsgReservationChooseRangeMessageCancel,Sie stornieren einen sich wiederholenden Zeit-Block. Für welche Zeitspanne möchten Sie Ihre Änderungen übernehmen?
MsgReservationChooseRangeDay,Tag
MsgReservationChooseRangeAll,Alle
MsReservationTimeBlockWasDeletedForSelectedDay,Zeit-Block wurde auf der Haupt-POS-Station für den ausgewählten Tag gelöscht.
MsgReservationSelectProviderTitle,Wählen Sie einen Dienstleister aus für %@
MsgReservationServiceProvider,Dienstleister
MsgReservationServiceProviderShowAll,Alle\nDienstleister anzeigen
MsgSSMCCheckInTime,Check In
MsgEnterCustomIDLabel,Eingeben %@
PaymentCustom,Kundenspezifisch
MsgEntityLoading,Laden
MsgEntitySaving,Speichern
MsgEntityChangedSaveFailed,%@ wurde auf der Haupt-Station geändert
MsgEntityChangedSaveFailedOnMain,"%@ wurde auf der Untergeordneten-Station geändert, lokale Daten wurden überschrieben"
MsgEntityMainNotReachable,Haupt-Station ist nicht erreichbar
MsgEntityOrder,Bestellung
MsgEntityCustomer,Kunde
MsgEntityAppointment,Termin
MsgEntityTimeBlock,Zeit-Block
MsgEntityPushNotification,Push-Benachrichtigungen
MsgEntityTableReservation,Tisch Reservation
MsgEntitySmsIncoming,Eingehende SMS
MsgEntitySmsOutcoming,Ausgehende SMS
MsgEntityPhysicalInventorySection,Kassenladen
MsgUpgrade,Aktualisieren
MsgUpgradePOS,POS aktualisieren?\nBitte klicken Sie auf den 'Aktualisieren'-Knopf und versetzen Sie die Anwendung in den Hintergrund-Modus indem Sie den 'HOME'-Button drücken.
MsgUpgradeCDS,POS und Kundendisplay aktualisieren?\nBitte klicken Sie auf den 'Aktualisieren'-Knopf und versetzen Sie die Anwendungen in den Hintergrund-Modus indem Sie den 'HOME'-Button drücken.
MsgUpgradeKDS,POS und Küchendisplay aktualisieren?\nBitte klicken Sie auf den 'Aktualisieren'-Knopf und versetzen Sie die Anwendungen in den Hintergrund-Modus indem Sie den 'HOME'-Button drücken.
MsgUpgradePOSKDSCDS,"POS, Küchendisplay und Kundendisplay aktualisieren?\nBitte klicken Sie auf den 'Aktualisieren'-Knopf und versetzen Sie die Anwendungen in den Hintergrund-Modus indem Sie den 'HOME'-Button drücken."
MsgTyroPayment,Tyro-Zahlungen
MsgTyroPaymentConfigure,Tyro Einstellungen
MsgTyroPaymentServiceFeeError,"Kunde hat %@ Karte verwendet. Servicegebühr stimmt nicht mit der durchgezogenen Karte überein.\nBitte %@ Gebühr entfernen, die richtige Gebühr anwenden und die Karte erneut durchziehen."
MsgTyroPaymentServiceFeeErrorKiosk,Servicegebühr kann nicht über Kreditkarte bezahlt werden.\nBitte wenden Sie sich an den Kassierer für Assistenz
MsgUploadLog,Log hochladen
MsgSignIn,Anmelden
MsgBackdoor,Hintertür
MsgEnterEstablishmentID,Filialen-ID
MsgEnterLogin,Anmeldenamen eingeben
MsgSorryServerCouldNotBeReached,"Entschuldigen Sie, der Server konnte nicht erreicht werden"
MsgSorryServerThereAreNoEstablishments,"Entschuldigen Sie, es gibt keine Filialen für diesen Benutzer."
MsgSorryServerThereAreNoUsers,"Entschuldigen Sie, es gibt keine Benutzer für diese Anmeldedaten."
MsgSorryServerAuthenticationFailed,"Entschuldigen Sie, Authentifizierung fehlgeschlagen"
MsgPleaseSelectEstablishment,Bitte wählen Sie die Filiale aus
MsgPleaseSelectAnEstablishment,Bitte wählen Sie eine Filiale
MsgWelcomeToTheNewStandardPOS,To the New Standard in Point of Sale™
MsgWelcomeTheNewStandardPOS,The New Standard in Point of Sale™
MsgWelcomeToTheNewStandardPOSQB,To the #1 Point of Sale Solution™
MsgWelcomeTheNewStandardPOSQB,The #1 Point of Sale Solution™
MsgFisalPrinterFailedCommand,Ausführen des Befehls fehlgeschlagen
MsgDemoModeStartOverConfirmation,Sind Sie da? Alle Daten werden bald zurückgesetzt!
MsgShippingOptions,Versand-Optionen
MsgShipmentDetails,Versand-Details
MsgCustomerDetails,Kunde Bezahlt
MsgDeliveryOptions,Lieferung-Optionen
MsgShipDate,Versanddatum
MsgPackaging,Verpackung
MsgConfirmUpdateShippingPackage,Diese Kundenaddresse ist ungültig.\nMöchten Sie die Addresse bearbeiten?
MsgUpdateShipping,Versand
MsgRequireSignature,Erfordert\nUnterschrift
MsgAddressLine1,Addresse 1
MsgAddressLine2,Addresse 2
MsgEnterNotes,Notiz eingeben
MsgCalculateShippingCosts,Berechne Versandkosten
MsgStateProvince,Land/Bundesland
MsgPostalCode,PLZ
MsgTaxOptions,Steuer Optionen
MsgLocalTax,Lokale Steuer
MsgDestinationBasedTax,Ortbasierte Steuer
MsgNoTax,Keine Steuer
MsgNoDeliveryOptionsMatchingInShipTable,Keine Lieferoptionen stimmen mit den Angaben in der Versandtabelle überein
MsgOrderHasShipPackagePleaseUseShippingScreenForEditingCustomer,"Bestellung umfasst Versandpaket. Bitte verwenden Sie den Versandbildschirm, um den Kunden zu bearbeiten"
MsgOrderDate,Bestelldatum
MsgMyPackaging,Meine Verpackung
MsgUPSLetter,UPS-Brief
MsgPAK,PAK
MsgUPSExpressBox,UPS-Express-Box
MsgUPS25KGBox,UPS-25KG-Box
MsgUPS10KGBox,UPS-10KG-Box
MsgPallet,Palette
MsgSmallExpressBox,Kleine Express-Box
MsgMediumExpressBox,Mittlere Express-Box
MsgLargeExpressBox,Große Express-Box
MsgFlats,Flach
MsgParcels,Päckchen
MsgBPM,BPM
MsgFirstClass,Erste Klasse
MsgPriority,Priority
MsgMachinables,Maschinell bearbeitbar
MsgIrregulars,Abweichend
MsgParcel Post,Das Postpaket
MsgBPMParcel,BPM-Päckchen
MsgMedia Mail,Media-Mail
MsgBPMFlat,BPM-Flach
MsgStandardFlat,Standard Flach
MsgParcelPost,Das Postpaket
MsgTube,Köcher
MsgMediaMail,Media-Mail
MsgPlsCloseCurrentOrder,"Bitte, schließen Sie die derzeitige Bestellung"
MsgCouldNotShipOrder,Konnte die Bestellung nicht versenden
MsgYourpackaging,Ihre Verpackung
Msg10KGBox,10kg Box
Msg25KGBox,25kg Box
MsgBox,Box
MsgEnvelope,Umschlag
MsgExtraLargeBox,Extra Large Box
MsgLargeBox,Large Box
MsgMediumBox,Medium Box
MsgPak,PAK
MsgSmallBox,Small Box
MsgWaitingForInformation,Warten auf %@ Information
MsgDeliveryDate,ca. Lieferdatum:
MsgShippingOrders,Versandbestellungen
MsgIncompleteOrders,Unvollständige\nBestellungen
MsgUnshippedQueue,Unverschickte\nReihe
MsgShippedOrders,Versandte\nBestellungen
BtnIncomplete,Abschließen
BtnUnshipped,Unverschickte\nReihe
BtnShipped,Versandt
MsgModifyOptions,Options-\nÄnderung
MsgGetLabel,Etikett Abrufen
MsgGetRates,Tarife erhalten
MsgUpdateRates,RPI Aktualisieren
MsgPrintLabel,Drucken\nEtikett
MsgPrintShippingLabel,Etikett Drucken
MsgEmailOrder,E-Mail\nBestellung
MsgEmailShippingOrder,E-Mail\nBestellung
MsgItemLowerCase,Artikel
MsgItems,Produkte
MsgEditItems,Artikel Hinzufügen
MsgTrackingNumber,Sendungsverfolgungsnummer
MsgFetchShipOrders,Abrufen der Versandaufträge...
MsgFetchEmployeePosReports,Abrufen der Berichte…
MsgPlsAdditemsToPackage,Bitte fügen Sie dem Paket Produkte hinzu
MsgOrderHasNoItemsToShip,Dieser Auftrag hat keine Punkte.
MsgTargetShipDate,Zielversanddatum
MsgActualShipDate,Versanddatum
MsgOrderWillBeShipped,Bestellung wird versandt an %@. Sind Sie sich sicher?
MsgWaitingSyncOrder,Warten auf das Synchronisieren der Bestellung
MsgReturnOrderToUnshipped,Bestellung auf Nicht Versendet zurücksetzen
MsgWouldYouLikeToPlaceThisOrderBackToUnshippedQueue,Möchten Sie diese Bestellung erneut in die Nicht Versendet-Warteschleife versetzen?
MsgPleaseEnterANeededFields,Bitte füllen Sie die erforderlichen Felder aus
MsgUpdatePackageFailed,Aktualisieren des Pakets fehlgeschlagen
MsgNeedEmailAddress,Email Addresse erfordert
MsgIncorrectTimeRange,Falscher Zeitraum
MsgChooseACustomDateRange,Wählen Sie selbst einen Zeitraum
MsgPageOf,Seite %d von %d
MsgTaxRatesRetrievalFailed,Abrufen der Steuersätze fehlgeschlagen
MsgRetrievingTaxRates,Abrufen der Steuersätze
MsgMissedAddress,Verpasste Adresse
MsgSomeFieldsHasChanged,Einige Felder sind geändert worden. Bitte berechnen Sie die Versandkosten erneut
MsgShippingOrdersDoNotSupportSplitBills,Versand-Bestellungen unterstützen getrennte Rechnungen nicht
MsgSelectDeliveryOptionsPlease,"Bitte, wählen sie die Liefer-Optionen aus"
MsgNoShippingServiceConfigured,Kein Versand-Service ist konfiguriert
MsgShippingLabelSizeTitle,Etikettengröße
MsgRemoveShipping,Versand
MsgShippingConfirmRemove,"Sind Sie sicher, daß Sie diese Adresse löschen wollen?"
MsgUpdateWeight,Geben Sie das Gewicht ein
MsgUndo,als Annullierung
MsgShippingMethod,Eingabeart
MsgSignatureOptionNone,Keine
MsgSignatureOptionRequire,Erfordert\nUnterschrift
MsgSignatureOptionRequireAdult,Erfordert\nUnterschrift
MsgSignatureOptionRequireDirect,Erfordert\nUnterschrift
MsgSignatureOptionRequireIndirect,Erfordert\nUnterschrift
MsgSignatureOptionDefault,Standard verwenden
MsgShippingTracking,Sendungsverfolgungsnummer
MsgShippingNoAvailableServices,Nicht-steuerpflichtige Service-Gebühren
MsgDuSettingsEnableSignature,Unterschrift Aktivieren
MsgDuSettingsEnableTips,Trinkgelder Aktivieren
MsgDuSettingsShowSwipePrompt,Anzeigen der Aufforderung zum Durchziehen der Karte
MsgDuSettingsWelcomeMessage,Willkommensnachricht
MsgDuSettingsEnableProductImages,Produktabbildungen aktivieren
MsgDuSettingsEnablePrintReceipts,Quittungen Drucken
MsgDuSettingsEnableEmailReceipts,E-Mail-Quittungen
MsgDuNoTip,Kein Trinkgeld
MsgDuRewardOrPhone,Prämiennummer oder Telefonnummer
MsgDuEmailAddressIsEmpty,Anschrift ist leer
MsgDuLast4Digits,Die letzten 4 Ziffern: %@
MsgDuChooseBackgroundImage,Wählen Sie ein Hintergrundbild
MsgDuChooseBackgroundVideo,Wählen Sie den Hintergrund-Video
MsgDuBackgroundImageIsFilled,Hintergrundbild füllt den gesamten Bildschirm aus
MsgDuBackgroundVideoIsFilled,Das Hintergrund-Video wird im Vollbildmodus angezeigt wenn Ihr iPad im Ruhemodus ist.
MsgDuUseDefault,Standard verwenden
MsgDuFromImagePicker,Vom ImagePicker
MsgDuLogoImageIsLocated,Das Logo befindet sich oben links auf dem Bildschirm. Die bevorzugte Größe ist 231x95
MsgDuLogoImageIsLocatediPhone,"Das Logo befindet sich oben links auf dem Bildschirm, ohne Skalierung. Die bevorzugte Größe ist 151x71"
MsgDuChooseLogoImage,Logo auswählen
MsgDuCongratulations,Herzlichen Glückwunsch!
MsgDuYouveEarnedARewardRedeemNow,Sie haben eine Prämie gewonnen. Jetzt Einlösen?
MsgDuCashRoundedTotal,Gesamte Bargeldsumme gerundet: %@
MsgDuDiscountsTotal,Gesamtsumme Rabatte
MsgDuOrgPrice,Orig. Preis
MsgDuNumberWasNotFoundPleaseTryAgain,[Nummer] konnte nicht gefunden werden. Bitte versuchen Sie es erneut.
MsgDuIncludesServiceFee,Umfasst die Servicegebühr: %@
MsgDuPleaseWait,Bitte warten Sie
MsgDuPleaseEnterRewardCardNumber,Bitte geben Sie eine Prämienkartennummer oder Telefonnummer ein.
MsgDuThisCdsAndThePosAreOnIncompatible,"Diese Kundendisplay-Version ist inkompatibel mit der POS App, deshalb kann es zur Datenkorruption kommen. Bitte, aktualisieren Sie Ihr Kundendisplay"
MsgDuExpensifyConfirmSendAutomatically,"Möchten Sie, dass Revel die Belege automatisch von dieser Lage zu Expensify sendet"
MsgDuRedeem,Einlösen
MsgDuDontRedeem,Nicht Einlösen
MsgSelectEmailTitle,Kasse auswählen
MsgDUWelcomeTourTitleScreen1,Willkomen zum Revel Kundendisplay System!
MsgDUWelcomeTourTitleScreen6,Ihr Revel Kundendisplay wird eingestellt
MsgDUWelcomeTourTextScreen1,"Um Ihren Kunden eine bestimmte Nachricht oder Branding anzuzeigen, können Sie den \""Willkommen\""  Seite in den Einstellungen anpassen."
MsgDUWelcomeTourTextScreen2,"Bestellungen werden mit Summe und Rabatten, in Reihenfolge der Bestellaufnahme durch Ihre Mitarbeiter angezeigt."
MsgDUWelcomeTourTextScreen3,"Wenn die Trinkgelder in Ihrer Management-Konsole aktiviert sind, werden Trinkgelder-Optionen mit verschiedenen Beträgen und Prozenten angezeigt."
MsgDUWelcomeTourTextScreen4,Mit Revel können Sie Kreditkarten-Zahlungen und Kundenunterschriften direkt am Kundendisplay annehmen.
MsgDUWelcomeTourTextScreen5,"Nachdem Bezahlen können die Kunden wählen, ob Sie den Beleg, entweder gedruckt, per Email gesendet oder keinen Beleg bekommen wollen."
MsgDUWelcomeTour6AdditionalText,"Wenn der Revel Support Ihr Kundendisplay in der Management-Konsole konfiguriert, wird dieses für die Nutzung bereit sein."
MsgDUWelcomeTourTextScreen6,"Wenn Sie Hilfe brauchen, rufen Sie bitte"
MsgDUWelcomeTour6PhoneNumber,1.415.744.1433
MsgKdsPosTriesToConnectToCds,"POS versucht, sich mit dem Kundendisplay zu verbinden. Bitte prüfen Sie Ihre Konfiguration."
MsgKdsPosTriesToConnectToPos,"POS versucht, sich mit einem anderen POS zu verbinden. Bitte prüfen Sie Ihre Konfiguration."
MsgKdsRecall,Rückruf
MsgKdsRecallOrder,Rückruf ordern
MsgKdsCompleted,Abgeschlossen
MsgKdsVoid,Leer
MsgKdsOrderUp,BESTELLUNG FERTIG!
MsgKdsWorking,ARBEITET
MsgKdsAllDayView,Ganztagsansicht
MsgKdsRegularView,Reguläre Ansicht
MsgKdsGroupBy,Gruppieren nach
MsgKdsOrderBy,Bestellen nach
MsgKdsItemName,Produktname
MsgKdsHideItem,Produkt verbergen
MsgKdsOrderStatus,BESTELLSTATUS
MsgKdsClearAll,Alles löschen
MsgKdsOldestOnTop,Das Älteste Oben
MsgKdsNewestOnTop,Das Neueste Oben
MsgKdsMove,Verschieben:
MsgKdsCompletedToTop,Abgeschlossen nach oben
MsgKdsKitchenDisplaySettings,Einstellungen der Küchenanzeige
MsgKdsDisplayStylePreview,Vorschau des Anzeigenstils:
MsgKdsExpedite,Service
MsgKdsTileExpedite,Service Tafel
MsgKdsKitchen,Küche
MsgKdsOrderDisplay,Bestellanzeige
MsgKdsCompletedBecomes,Abgeschlossen wird
MsgKdsBump,Stoß
MsgKdsBumped,Zusammengestoßen
MsgKdsClosed,Geschlossen
MsgKdsByItem,nach Produkt
MsgKdsByOrder,nach Bestellung
MsgKdsAsUndo,als Annullierung
MsgKdsTimeDisplay,Zeitanzeige:
MsgKdsTimeElapsed,Vergangene Zeit
MsgKdsTimeReceived,Zeit erhalten
MsgKdsSounds,Geräusche:
MsgKdsOn,Aktiv
MsgKdsOff,Deaktiviert
MsgKdsClearCache,Cache leeren
MsgKdsSaveClose,Speichern & Schließen
MsgKdsOrderDetails,Bestelleinzelheiten:
MsgKdsShowiPadCallNumber,iPad-Rufnummer anzeigen:
MsgKdsModifiers,Modifikatoren
MsgKdsCompletedOrderBlinking,Abgeschlossene Bestellung blinkt:
MsgKdsGroupIdenticalProducts,Identische Artikel zusammenführen:
MsgKdsThemeColor,Themenfarbe:
MsgKdsWhite,Weiß
MsgKdsBlack,Schwarz
MsgKdsTimers,Timer:
MsgKdsMin,%d Min.
MsgKdsMarkCompletedBy,Markieren abgeschlossen um:
MsgKdsTipWorksInRegularView,nur für Reguläre Ansicht
MsgKdsVersionEstab,Version: %@\nFilialen-ID: %d\nStationsname: %@\nURL: %@
MsgKdsVersionPleaseCheckConfiguration,Version: %@\nPrüfen Sie bitte die Konfiguration
MsgKdsTotalRowsCountInDb,Gesamtzahl Reihen in DB beträgt %d
MsgKdsMaxStorageLimitInDb,Max. Lagerlimit in DB beträgt %d
MsgKdsTheRemovableRowsCount,Die Anzahl entfernbarer Reihen beträgt %d
MsgKdsAreYouSure,Sind Sie sich sicher?
MsgKdsSeparateByModifier,Nach Modifikator trennen
MsgKdsGroupByProduct,Gruppieren nach Produkt
MsgKdsGroupByOrder,Gruppe nach Bestellung
MsgKdsGroupByItem,Gruppe nach Artikel
MsgKdsGroupByTime,Gruppieren nach Zeit
MsgKdsQuantity09,Menge 0-9
MsgKdsQuantity90,Menge 9-0
MsgKdsItemNameAZ,Produktname A-Z
MsgKdsItemNameZA,Produktname Z-A
MsgKdsDiningOption,Restaurant\nOption
MsgKdsSpecialRequest,Besonderer\nWunsch
MsgKdsEnterPasscode,Kennwort Eingeben
MsgKds5FailedPasscodeAttempts,5 fehlgeschlagene Kennwortversuche
MsgKdsEnterYourRestrictionsPasscode,Geben Sie Ihr Einschränkungskennwort ein
MsgKdsDishName,Name des Gerichts
MsgKdsKdshasntBeenInitializedYet,"KDS noch immer nicht initialisiert. Bitte klicken Sie auf den OK Knopf, um in die Einstellungsansicht fortzufahren."
MsgKdsKdsIsStillNotInitialized,"KDS noch immer nicht initialisiert. Bitte klicken Sie auf den Aktualisieren Knopf, um die Einstellungen vom Backend aus herunterzuladen."
MsgKdsThisKdsAndThePosAreOnIncompatible,"Dieses KDS und POS haben nicht kompatible Versionen, was zu Datenkorruption führen kann. Bitte aktualisieren Sie Ihr KDS."
MsgKdsVersion,Version: %@
MsgKdsKdsName,KDS-Name: %@
MsgKdsCheckYourNetwork,Prüfen Sie Ihr Netzwerk
MsgKdsSorry,Entschuldigen Sie!
MsgKdsThisWillDeleteAllRecords,Dies wird alle Daten aus der lokalen Datenbank löschen.
MsgKdsDatabasePurged,Datenbank gereinigt.
MsgKdsOrder#,Bestellnummer %@
MsgKdsTrainingMode,***SCHULUNGSMODUS***
MsgKdsPrinterNotResponding,"Der Drucker reagiert nicht. Bitte prüfen Sie, dass der Drucker eingeschaltet ist."
MsgKdsNothing,Nichts
MsgKdsWhatWouldYouLikeToDoWithTheOrder,Was möchten Sie mit der Bestellung tun?
MsgKdsTileExpediteSeat,Platz %@ /
MsgKdsTileExpediteCourse,Gang %@ /
MsgKdsKdshasntBeenInitializedTheUpdatedSettings,"KDS wurde nicht initialisiert. Die aktualisierten Einstellungen können nicht auf den Server hochgeladen werden. Um zu initialisieren, gehen Sie auf die Einstellungen-Ansicht und klicken Sie auf den Aktualisieren-Knopf"
MsgKdsHasntBeenSynchronizedWithPos,"KDS wurde nicht mit dem POS synchronisiert. Bitte versuchen Sie, in 1 Min. erneut zu aktualisieren"
MsgKdsTheSettingsAreDownloadedSuccessfully,Die Einstellungen wurden erfolgreich heruntergeladen.
MsgKdsTheCurrentDeviceDoesNotExistInTheEstablishment,Dieses Gerät ist in der Filiale %d nicht vorhanden.
MSgKdsServerCommunicationIssuePleaseCheckYourNetwork,Probleme bei der Kommunikation mit dem Server. Bitten prüfen Sie Ihr Netzwerk
MsgKdsWaiting,Wartet
MsgKdsInProgressMode,„In Bearbeitung“-Modus:
MsgKdsDoubleTapToComplete,"Zweifach antippen, um Abzuschließen"
MsgKdsInProgress,In Bearbeitung
MsgKdsLanguagePackHasBeenUpdated,"Sprache wird aktualisiert. Bitte, starten Sie das Küchendisplay neu"
MsgKdsPrint,Drucken
MsgKdsTapDoneonWaitingOrders,"Berühren Sie \""Fertig\"" für wartende Bestellungen"
