LocaleIdentifier,FR
MsgTableTimersTableEstTimeUntilAvail,Temps estimé\navant la disponibilité
MsgTableTimersTableTimeSinceSeated,Temps\ndepuis l’installation à la table
MsgTableTimersTableTotal,Total
MsgTableTimersTableCustomer,Client
MsgTableTimersTableOrderNo,Cmd N°
MsgTableTimersTableEmployee,Employé
MsgTableTimersResetting,Remise à zéro
MsgDonations,Dons
MsgCustomerFeedbackTitle,%@ a visité %d %@ %@.
MsgCustomerFeedbackTime,fois
MsgCustomerFeedbackTimes,fois
MsgCustomerFeedbackPeriodWeek,cette semaine
MsgCustomerFeedbackPeriodMonth,ce mois-ci
MsgCustomerFeedbackPeriod3Months,les 3 derniers mois
MsgCustomerFeedbackFavorites,Favoris
MsgCustomerFeedbackSales,Total des paiements : %@
MsgCustomerFeedbackRefunds,Total des remboursements %@ : %@
MsgCustomerFeedbackDiscounts,Total des réductions %@ : %@
BtnFiscalReadX,Rapport X
BtnFiscalReadZ,Rapport Z
BtnFiscalSetupSettings,Paramètres d’installation
BtnFiscalSettingsMenu,Paramètres
MsgFiscalRecordsByDate,Dossiers fiscaux par date
MsgNonFiscalRecordsByDate,Données non fiscales par date
MsgFiscalRecordsByZNumber,Dossiers fiscaux par numéro de rapport Z
MsgNonFiscalRecordsByZNumber,Données non fiscales par numéro Z du rapport
MsgFiscalDiagnosticInfoReport,Informations de diagnostic fiscal
MsgFiscalSelectReport,Sélectionner le rapport
MsgFiscalDetailedReport,Rapport détaillé
MsgFiscalRecordsByDateReport,Bilans financiers par date de rapport
MsgNonFiscalRecordsByDateReport,Données non fiscales par date du rapport
MsgFiscalRecordsByZNumberReport,Bilans financiers par numéro de rapport Z
MsgNonFiscalRecordsByZNumberReport,Données non fiscales par numéro Z du rapport
MsgFiscalRecordsStartZNumber,Numéro Z de départ
MsgFiscalRecordsEndZNumber,Numéro Z de fin
BtnFiscalReport,Rapport fiscal
BtnNonFiscalReport,Rapport non fiscal
BtnFiscalZReports,Liste des rapports
MsgZReportFetchFail,Impossible de récupérer le rapport Z Veuillez réimprimer
MsgFiscalExistingPaymentsCompleteOrderAnotherStation,Cette commande a déjà fait l’objet d’un paiement sur un autre TPV. Veuillez vous rendre sur le terminal %@ pour terminer la commande.
MsgZReportEmailSubject,Rapport Z
MsgZReportEmailMessage,Rapport fiscal Z
MsgFetchingPrinterData,Etat de récupération d'information
MsgWrongTaxCountry,Code QR non valide
MsgBadUserCode,Le code-barres devrait avoir entre 4 et 16 caractères
MsgBadUserPassword,Le code-barres devrait avoir entre 4 et 16 caractères
MsgSRMFetchFailed,Échec de la récupération des informations de la carte.
MsgTransactionNotPrinted,Transaction non capturée
MsgPrintClosingReceipt,Imprimer un reçu de cadeau
MsgDocumentNotPrinted,Impossible d'imprimer
MsgStatusCheck,Statut
MsgSendingDocument,Envoi du paiement
MsgGeneratingTransaction,Transactions actives
MsgSendingTransaction,Transactions de crédit
MsgContinuousMode,Continuer
MsgSelectMode,Sélectionner la commande
MsgUserCode,Saisir le code-barres
MsgUserPassword,Saisir un mot de passe
MsgUseAsDefault,Utiliser l’image par défaut
MsgGeneralInformation,Informations sur la commande
MsgSerialNumber,Numéro de série
MsgEstablishmentName1,Numéro de l’établissement
MsgEstablishmentName2,Numéro de l’établissement
MsgEstablishmentAddress1,Établissement
MsgEstablishmentAddress2,Établissement
MsgEstablishmentAddress3,Établissement
MsgStatus,Statut
MsgStatusDate,Statut
MsgPhysicalLocation,Caisses réelles
MsgSalesSummaryFrequency,Résumé des ventes
MsgLastSalesSummaryDate,Résumé des ventes
MsgDateDifference,Différence
MsgPOSConnectionType,Délai d’attente de connexion au PinPad
MsgPrinterConnectionType,Délai d’attente de connexion au PinPad
MsgPrinterBrand,Imprimante
MsgPrinterModel,Détails de l’imprimante
MsgPrintReports,Imprimer le rapport
MsgSalesSummaryReport,Résumé des ventes
MsgPeriodicSalesSummaryReport,Résumé des ventes
MsgSalesDetailBySRMTransactionNumberReport,Veuillez saisir un numéro de transaction.
MsgTransactionalAnalysisReport,Transactions
MsgSpecialOptions,Instructions spéciales
MsgPrintDuplicateOfGuestCheck,Imprimer\nReçu du client
MsgMonthly,Mois
BtnContinueWith,Rester en service
MsgOrderDetailsOrderDetails,Détails de la commande N°%@
MsgOrderDetailsOrderDetailsWebOrder,Détails de la commande N°%@ [Commande Web]
MsgOrderDetailsInvoiceDetails,Détails de la facture N°%@
MsgOrderDetailsSelectaTime,Sélectionner une heure
MsgOrderDetailsSelectaDateTime,Sélectionner une date et une heure
MsgOrderDetailsDeliveryEstimatedTime,Heure d’arrivée estimée:
MsgOrderDetailsDeliveryEstimatedDeliveryTime,Heure de livraison estimée
MsgOrderDetailsDeliveryOrderNotSent,Commande non envoyée
MsgOrderDetailsDeliveryCustomerNotSet,Client non défini
MsgOrderDetailsDeliveryCustomerNoDeliveryAddress,Aucune adresse de livraison.
MsgOrderDetailsDeliveryCouldNotResolveRoute,Impossible de résoudre l’adresse.
MsgOrderDetailsDeliveryDriver,Chauffeur-livreur:
MsgOrderDetailsNotYetAssigned,Pas encore désigné
MsgOrderDetailsNotYetClockedOut,N’a pas encore pointé au départ
MsgOrderDetailsNotYetClockedIn,N’a pas encore pointé à l’arrivée
MsgOrderDetailsGuestCount,Nombre de clients:
MsgOrderDetailsSelectGuestCount,Sélectionner le nombre de clients
MsgOrderDetailsTableBarTab,Table/Note de bar:
MsgOrderDetailsBar,Bar %d
MsgOrderDetailsCustomerRefCode,Code\nde référence
MsgOrderDetailsCustomerEditInfo,Modifier les informations
MsgOrderDetailsCustomerDisplayInfo,Unité d’affichage
MsgOrderDetailsOpened,Ouvert:
MsgOrderDetailsClosed,Fermé :
MsgOrderDetailsDiscounts,Réduction(s) :
MsgOrderDetailsAddDiscount,Ajouter une réduction
MsgOrderDetailsDiscountEffAmount,Montant effectif
MsgOrderDetailsAutogratuity,Pourboire automatique :
MsgOrderDetailsPayments,Paiement(s) :
MsgOrderDetailsServiceFees,Frais de service :
MsgOrderDetailsMaxOrderAmount,Montant maximum de la commande :
MsgOrderDetailsMaxInvoiceAmount,Montant maximum de la facture :
MsgOrderDetailsAddSF,Ajouter $F
BtnOrderDetailsViewOrder,Afficher la commande
MsgOrderDetailsReadOnlyTitle,Lecture seule
MsgOrderDetailsDeliveryCustomerRemovalTitle,Supprimer le client
MsgOrderDetailsDeliveryCustomerRemovalMessage,"Si le client est supprimé de la commande, celle-ci ne s’affichera plus dans la console de gestion des livraisons."
MsgOrderDetailsSelectedTimeIsInThePast,La date sélectionnée est au passé. Veuillez sélectionner la date à venir
MsgOrderDetailsAddCustomer,Ajouter un nouveau client
MsgReservationSelectService,Sélectionner un service
MsgReservationDurationTitle,Durée
MsgReservationDurationValueFull,%dh. %dmin.
MsgReservationDurationValueMinutes,%dmin.
MsgReservationDurationValueHours,%dh.
MsgReservationDurationValueNA,Non défini
MsgReservationSelectCustomer,Sélectionner un client
BtnReservationNewCustomer,Nouveau client
BtnReservationCreateAppointment,Créer une réservation
BtnReservationEditCustomerInfo,Modifier les informations
BtnReservationEditCustomer,Modifier client
BtnReservationConfirmCreate,Créer
BtnReservationTimeBlockCancelBlock,Annuler la tranche horaire
MsgReservationConfirmTitle,Nouvelle réservation avec %@
MsgReservationConfirmCustomer,Client:
MsgReservationConfirmCustomerName,Nom
MsgReservationConfirmCustomerAddress,Adresse:
MsgReservationConfirmCustomerNotes,Notes
MsgReservationConfirmType,Confirmé par:
MsgReservationConfirmTypeText,Texte
MsgReservationConfirmTypeEmail,E-mail
MsgReservationConfirmAppointmentNotes,Commentaire
MsgReservationConfirmService,Service
MsgReservationConfirmDuration,Durée
MsgReservationConfirmDate,Date
MsgReservationConfirmStartTime,Heure de début
MsgReservationDetailsInactiveProviderMessage,L’employé désigné n’est plus disponible pour réaliser ce service.
MsgReservationDetailsInactiveServiceMessage,Ce service n’est plus disponible.
MsgReservationDetailsInactiveServiceAndProviderMessage,Ce service et les employés désignés ne sont plus disponibles.
MsgReservationDetailsModifyOrCancelAppointment,Veuillez modifier ou annuler la réservation.
BtnReservationDetailsModifyAppointment,Modifier la réservation
MsgReservationDetailsTitle,Réservation avec %@
BtnReservationDetailsCancelAppointment,Annuler une réservation
BtnReservationDetailsGoToTab,Aller à la note
MsgReservationDetailsConfirmed,Confirmé:
MsgReservationDetailsDuration,Heure
MsgReservationDetailsCancelConfirmation,Ceci annulera une réservation. Voulez-vous vraiment continuer ?
MsgReservationTimeBlockCancelConfirmation,Ceci annulera une tranche horaire. Voulez-vous vraiment continuer ?
MsgReservationConfirmEndTime,Heure de fin
MsgReservationConfirmEnterLabel,Saisir l'étiquette
MsgReservationConfirmCreateIntersectingAppointment,Cela va créer des réservations croisées. Voulez-vous vraiment continuer ?
MsgReservationConfirmCreateIntersectingTimeBlock,Il faudrait peut-être changer l’heure des rendez-vous déjà prévus pour cet horaire. Continuez ?
MsgReservationTimeBlockNewBlockTitle,Nouvelle tranche horaire pour %@
MsgReservationTimeBlockEditBlockTitle,Modifier la tranche horaire pour %@
MsgReservationTimeBlockAllDay,Toute la journée
MsgReservationTimeBlockRepeats,Répétitions
MsgReservationTimeBlockRepeatSelectionNever,Jamais
MsgReservationTimeBlockRepeatSelectionTitle,Sélectionner Paramètres de répétition
MsgReservationTimeBlockRepeatSelectionEndDate,Date de fin
MsgReservationTimeBlockRepeatSelectionAll,Tous
MsgReservationTimeBlockRepeatSelectionMonday,L
MsgReservationTimeBlockRepeatSelectionTuesday,M
MsgReservationTimeBlockRepeatSelectionWednesday,M
MsgReservationTimeBlockRepeatSelectionThursday,J
MsgReservationTimeBlockRepeatSelectionFriday,V
MsgReservationTimeBlockRepeatSelectionSaturday,S
MsgReservationTimeBlockRepeatSelectionSunday,D
MsgReservationCalendarTitle,Carnet de réservations
MsgReservationTimeBlockRepeatSelectionDateUntil,jusquà
BtnReservationNewAppointment,Nouvelle réservation
BtnReservationNewTimeBlock,Tranche horaire
BtnReservationShowAllDay,Jour
BtnReservationShowAllWeek,Semaine
MsgReservationNoDateSelected,Aucune date sélectionnée
MsgReservationEditTitle,Modifier la réservation
MsgReservationEditSubtitle,Que souhaitez-vous modifier?
MsgReservationEditTimeAndEmployee,Heure et employé
MsgReservationEditService,Service
MsgReservationNavNext6Weeks,6 semaines
MsgReservationEmailConfirmationSubject,Vous avez une réservation.
MsgReservationEmailConfirmationContent,Vous avez une réservation pour %@ le %@ à %@.
MsgReservationTimeBlockInvalid,La tranche horaire devrait durer au moins 5 min.
MsgReservationChooseRangeTitle,Choisir la tranche horaire
MsgReservationChooseRangeMessageEdit,Vous éditez une tranche horaire répétitive. À qu’elle plage horaire souhaitez-vous appliquer vos modifications?
MsgReservationChooseRangeMessageCancel,Vous annulez une tranche horaire répétitive. À qu’elle plage horaire souhaitez-vous appliquer vos modifications ?
MsgReservationChooseRangeDay,Journée
MsgReservationChooseRangeAll,Tous
MsReservationTimeBlockWasDeletedForSelectedDay,La tranche horaire a été supprimée sur le terminal TPV principal pour le jour sélectionné.
MsgReservationSelectProviderTitle,Sélectionner un prestataire pour %@
MsgReservationServiceProvider,Prestataire de service
MsgReservationServiceProviderShowAll,Afficher tous\nles prestataires
MsgSSMCCheckInTime,Enregistrement
MsgEnterCustomIDLabel,Saisir %@
PaymentCustom,Personnaliser
MsgEntityLoading,Chargement
MsgEntitySaving,Enregistrement
MsgEntityChangedSaveFailed,"%@ a été changé sur le terminal principal, les données locales ont été écrasées."
MsgEntityChangedSaveFailedOnMain,"%@ a été modifié sur un terminal secondaire, données locales ont été écrasées"
MsgEntityMainNotReachable,Le terminal principal est inaccessible
MsgEntityOrder,Commande
MsgEntityCustomer,Client
MsgEntityAppointment,Réservation
MsgEntityTimeBlock,Tranche horaire
MsgEntityPushNotification,Notification Push
MsgEntityTableReservation,Réservation de table
MsgEntitySmsIncoming,Sms entrant
MsgEntitySmsOutcoming,Sms sortant
MsgEntityPhysicalInventorySection,Caisses réelles
MsgUpgrade,Mettre à jour
MsgUpgradePOS,Mettre à jour le TPV? \nVeuillez cliquer sur le bouton “Installer” sur le prochain popup et mettre l’application en arrière-plan en appuyant sur le bouton d’accueil.
MsgUpgradeCDS,Mettre à jour le TPV et le système d’affichage client ?\nVeuillez cliquer sur le bouton  “Installer” sur le prochain popup et mettre les applications en arrière-plan en appuyant sur le bouton d’accueil.
MsgUpgradeKDS,Mettre à jour le TPV et le(s) système(s) d’affichage en cuisine ?\nVeuillez cliquer sur le bouton  “Installer” sur le prochain popup et mettre les applications en arrière-plan en appuyant sur le bouton d'accueil.
MsgUpgradePOSKDSCDS,"Mettre à jour le TPV, le(s) système(s) d’affichage en cuisine et d’affichage client?\nVeuillez cliquer sur  “Installer” sur le prochain popup et mettre les applications en arrière-plan en appuyant sur le bouton d'accueil."
MsgTyroPayment,Paiements Tyro
MsgTyroPaymentConfigure,Configuration de Tyro
MsgTyroPaymentServiceFeeError,"Le client a utilisé une carte %@.  Les frais de service ne correspondent pas à la carte insérée.\nVeuillez retirer les frais %@, appliquer les frais corrects et réinsérer la carte."
MsgTyroPaymentServiceFeeErrorKiosk,Les frais de service ne correspondent pas à la carte insérée.\nVeuillez vous adresser à un caissier.
MsgUploadLog,Télécharger le journal
MsgSignIn,S’inscrire
MsgBackdoor,Backdoor
MsgEnterEstablishmentID,Saisir l’ID de l’établissement
MsgEnterLogin,Saisir l’identifiant
MsgSorryServerCouldNotBeReached,"Désolé, impossible de joindre le serveur"
MsgSorryServerThereAreNoEstablishments,"Désolé, aucun établissement ne correspond à cet utilisateur"
MsgSorryServerThereAreNoUsers,"Désolé, aucun utilisateur ne correspond à ces informations de connexion."
MsgSorryServerAuthenticationFailed,"Désolé, échec d'autentification"
MsgPleaseSelectEstablishment,Veuillez sélectionner l’établissement
MsgPleaseSelectAnEstablishment,Merci de sélectionner un établissement
MsgWelcomeToTheNewStandardPOS,Vers le nouveau standard de Point de vente™
MsgWelcomeTheNewStandardPOS,Le nouveau standard de Point de vente™
MsgWelcomeToTheNewStandardPOSQB,Vers la 1ère solution de Point de vente™
MsgWelcomeTheNewStandardPOSQB,La 1ère solution de Point de vente™
MsgFisalPrinterFailedCommand,Impossible d’exécuter l’ordre
MsgDemoModeStartOverConfirmation,Êtes-vous là? Toutes les données seront bientôt réinitialisées!
MsgShippingOptions,Option d’expédition
MsgShipmentDetails,Détails d’expédition
MsgCustomerDetails,Paiement du client
MsgDeliveryOptions,Options de livraison
MsgShipDate,Date d’expédition
MsgPackaging,Conditionnement
MsgConfirmUpdateShippingPackage,L’adresse de ce client n’est pas valide.\nSouhaitez-vous la modifier ?
MsgUpdateShipping,Expédition
MsgRequireSignature,Demander\nSignature
MsgAddressLine1,Adresse Ligne 1
MsgAddressLine2,Adresse Ligne 2
MsgEnterNotes,Entrer les remarques
MsgCalculateShippingCosts,Calculer les frais d'expédition
MsgStateProvince,État/Région
MsgPostalCode,Code postal
MsgTaxOptions,Options de taxes
MsgLocalTax,Taxe local
MsgDestinationBasedTax,Taxe basée sur la destination
MsgNoTax,Aucune taxe
MsgNoDeliveryOptionsMatchingInShipTable,Aucune correspondance d’options de livraison n’est disponible dans le tableau
MsgOrderHasShipPackagePleaseUseShippingScreenForEditingCustomer,La commande dispose d’un emballage de livraison. Veuillez passer par l’écran de livraison pour modifier les données du client
MsgOrderDate,Date de la commande
MsgMyPackaging,Mon emballage
MsgUPSLetter,UPS Enveloppe
MsgPAK,PAK
MsgUPSExpressBox,UPS Express Box
MsgUPS25KGBox,Boîte UPS 25 KG
MsgUPS10KGBox,Boîte UPS 10 KG
MsgPallet,Palette
MsgSmallExpressBox,Petite Express Box
MsgMediumExpressBox,Express Box moyenne
MsgLargeExpressBox,Grande Express box
MsgFlats,Flats
MsgParcels,Parcels
MsgBPM,BPM
MsgFirstClass,First Class
MsgPriority,Priority
MsgMachinables,Machinables
MsgIrregulars,Irregulars
MsgParcel Post,Parcel Post
MsgBPMParcel,BPM Parcel
MsgMedia Mail,Media Mail
MsgBPMFlat,BPM Flat
MsgStandardFlat,Standard Flat
MsgParcelPost,Parcel Post
MsgTube,Tube
MsgMediaMail,Media Mail
MsgPlsCloseCurrentOrder,Veuillez fermer la commande en cours.
MsgCouldNotShipOrder,Impossible d’expédier la commande
MsgYourpackaging,Votre emballage
Msg10KGBox,Boîte de 10 kg
Msg25KGBox,Boîte de 25 kg
MsgBox,Boîte
MsgEnvelope,Enveloppe
MsgExtraLargeBox,Très grande boîte
MsgLargeBox,Grande boîte
MsgMediumBox,Boîte moyenne
MsgPak,PAK
MsgSmallBox,Petite boîte
MsgWaitingForInformation,En attente %@ d’informations
MsgDeliveryDate,Date de livraison estimée:
MsgShippingOrders,Commandes d’expédition
MsgIncompleteOrders,Incomplètes\nCommandes
MsgUnshippedQueue,Non-expédiées\nFile d’attente
MsgShippedOrders,Expédiées\nCommandes
BtnIncomplete,Terminer
BtnUnshipped,Non-expédiées\nFile d’attente
BtnShipped,Expédié
MsgModifyOptions,Modifier\nOptions
MsgGetLabel,Obtenir une étiquette
MsgGetRates,Obtenir des tarifs
MsgUpdateRates,Mettre à jour les RPI
MsgPrintLabel,Imprimer\nune étiquette
MsgPrintShippingLabel,Imprimer l’étiquette
MsgEmailOrder,Email\nCommande
MsgEmailShippingOrder,Email\nCommande
MsgItemLowerCase,Produit
MsgItems,Produits
MsgEditItems,Ajouter des produits
MsgTrackingNumber,Numéro de suivi
MsgFetchShipOrders,Récupération des ordres d’expédition...
MsgFetchEmployeePosReports,Récupération de rapports…
MsgPlsAdditemsToPackage,Veuillez ajouter des éléments au colis.
MsgOrderHasNoItemsToShip,Cette commande n’a pas de points.
MsgTargetShipDate,Date d’expédition cible
MsgActualShipDate,Date d’expédition
MsgOrderWillBeShipped,La commande sera envoyée à %@. Voulez-vous vraiment continuer ?
MsgWaitingSyncOrder,En attente de la synchronisation de la commande
MsgReturnOrderToUnshipped,Replacer la commande dans la catégorie Non envoyée
MsgWouldYouLikeToPlaceThisOrderBackToUnshippedQueue,Souhaitez-vous replacer cette commande dans la liste des commandes Non envoyées ?
MsgPleaseEnterANeededFields,Veuillez remplir les champs requis
MsgUpdatePackageFailed,Échec de la mise à jour du colis
MsgNeedEmailAddress,Adresse Email nécessaire
MsgIncorrectTimeRange,Tranche horaire incorrecte
MsgChooseACustomDateRange,Choisir une période de temps personnalisée
MsgPageOf,Page %d sur %d
MsgTaxRatesRetrievalFailed,Échec de la récupération des taux de taxe
MsgRetrievingTaxRates,Récupération des taux de taxe
MsgMissedAddress,adresse ratée
MsgSomeFieldsHasChanged,Certaines informations ont été modifiées. Veuillez recalculer les coûts de livraison
MsgShippingOrdersDoNotSupportSplitBills,Les commandes d’expédition n’acceptent pas les additions divisées.
MsgSelectDeliveryOptionsPlease,Merci de sélectionner les options de livraison
MsgNoShippingServiceConfigured,Aucun service d'expédition configuré
MsgShippingLabelSizeTitle,Taille
MsgRemoveShipping,Expédition
MsgShippingConfirmRemove,Voulez-vous vraiment supprimer cette adresse ?
MsgUpdateWeight,Saisir le poids
MsgUndo,en tant qu’Annulation
MsgShippingMethod,Méthode de saisi
MsgSignatureOptionNone,Aucun
MsgSignatureOptionRequire,Demander\nSignature
MsgSignatureOptionRequireAdult,Demander\nSignature
MsgSignatureOptionRequireDirect,Demander\nSignature
MsgSignatureOptionRequireIndirect,Demander\nSignature
MsgSignatureOptionDefault,Utiliser l’image par défaut
MsgShippingTracking,Numéro de suivi
MsgShippingNoAvailableServices,Frais de service non imposables
MsgDuSettingsEnableSignature,Activer la signature
MsgDuSettingsEnableTips,Activer les pourboires
MsgDuSettingsShowSwipePrompt,Afficher l’invite pour utiliser la carte
MsgDuSettingsWelcomeMessage,Message de bienvenue
MsgDuSettingsEnableProductImages,Activer les images du produit
MsgDuSettingsEnablePrintReceipts,Imprimer des reçus
MsgDuSettingsEnableEmailReceipts,Envoyer les reçus par courrier électronique
MsgDuNoTip,Aucun pourboire
MsgDuRewardOrPhone,N°Récompense ou N°téléphone:
MsgDuEmailAddressIsEmpty,L’adresse est vide.
MsgDuLast4Digits,4 derniers chiffres: %@
MsgDuChooseBackgroundImage,Choisir une image d’arrière-plan
MsgDuChooseBackgroundVideo,Choisissez la vidéo de l’arrière-plan
MsgDuBackgroundImageIsFilled,L’image de l’arrière-plan en plein écran
MsgDuBackgroundVideoIsFilled,La vidéo couvre tout lécran et passe en arrière-plan lorsque lunité d’affichage est en état de repos.
MsgDuUseDefault,Utiliser l’image par défaut
MsgDuFromImagePicker,Depuis ImagePicker
MsgDuLogoImageIsLocated,L’image du logo est située en haut à gauche de l’écran. La taille privilégiée est 231 X 95
MsgDuLogoImageIsLocatediPhone,L’image du logo est située en haut à gauche de l’écran sans redimensionnement. La taille privilégiée est 151 X 71
MsgDuChooseLogoImage,Choisir l’image du logo
MsgDuCongratulations,Félicitations !
MsgDuYouveEarnedARewardRedeemNow,Vous avez gagné une récompense. Voulez-vous lutiliser maintenant ?
MsgDuCashRoundedTotal,Total des espèces arrondies : %@
MsgDuDiscountsTotal,Total des réductions
MsgDuOrgPrice,Prix orig.
MsgDuNumberWasNotFoundPleaseTryAgain,Le numéro est introuvable. Veuillez réessayer.
MsgDuIncludesServiceFee,Comprend les frais de service : %@
MsgDuPleaseWait,Veuillez patienter.
MsgDuPleaseEnterRewardCardNumber,Veuillez saisir le N°de la carte cadeau ou le N° de téléphone.
MsgDuThisCdsAndThePosAreOnIncompatible,Les versions de cette unité d’affichage et du TPV sont incompatibles ce qui peut provoquer une corruption de données. Merci de mettre à jour votre unité d’affichage.
MsgDuExpensifyConfirmSendAutomatically,Voulez-vous envoyer automatiquement les Reçus à Expensify depuis cet établissement?
MsgDuRedeem,Déduire
MsgDuDontRedeem,Ne pas déduire
MsgSelectEmailTitle,Sélectionner une caisse
MsgDUWelcomeTourTitleScreen1,Bienvenue au Système d'affichage client Revel 
MsgDUWelcomeTourTitleScreen6,Configuration de votre Système d'affichage client Revel 
MsgDUWelcomeTourTextScreen1,"Pour afficher un message spécial ou un slogan pour vos clients, vous pouvez personnaliser l'écran de \""Bienvenue\"" depuis le menu du paramétrage."
MsgDUWelcomeTourTextScreen2,"Les commandes des clients s'affichent dès qu'elles sont crées par vos employés, avec les montants et toutes les réductions appliquées."
MsgDUWelcomeTourTextScreen3,"Si les pourboires sont activés sur votre console de gestion, les options de pourboire s'afficheront avec des montants et des pourcentages divers."
MsgDUWelcomeTourTextScreen4,Effectuez les paiements et faites signer vos clients directement sur l'unité d'affichage client.
MsgDUWelcomeTourTextScreen5,"Une fois les paiements effectués, vos clients auront le choix d’imprimer ou non le reçu, ou bien de le recevoir par Email."
MsgDUWelcomeTour6AdditionalText,"Une fois le système d'affichage client configuré sur la console de gestion par votre administrateur Revel, il sera prêt !"
MsgDUWelcomeTourTextScreen6,"Si besoin d'assistance, merci d'appeler"
MsgDUWelcomeTour6PhoneNumber,1.415.744.1433
MsgKdsPosTriesToConnectToCds,Le TPV essaie d’établir une connexion avec le service d’affichage client. Veuillez vérifier votre configuration.
MsgKdsPosTriesToConnectToPos,Le TPV essaie d’établir une connexion avec un autre TPV. Veuillez vérifier votre configuration.
MsgKdsRecall,Rappeler
MsgKdsRecallOrder,Retirer la commande
MsgKdsCompleted,Terminé
MsgKdsVoid,Annuler
MsgKdsOrderUp,COMMANDE PRÊTE!
MsgKdsWorking,EN COURS
MsgKdsAllDayView,Vue journalière
MsgKdsRegularView,Vue régulière
MsgKdsGroupBy,Grouper par
MsgKdsOrderBy,Commander par
MsgKdsItemName,Nom du produit
MsgKdsHideItem,Cacher le produit
MsgKdsOrderStatus,STATUT DE LA COMMANDE
MsgKdsClearAll,Supprimer tout
MsgKdsOldestOnTop,La plus ancienne en haut
MsgKdsNewestOnTop,La plus récente en haut
MsgKdsMove,Déplacer:
MsgKdsCompletedToTop,Terminées en haut
MsgKdsKitchenDisplaySettings,Paramètres d’affichage de la cuisine
MsgKdsDisplayStylePreview,Aperçu du style d’affichage:
MsgKdsExpedite,Pour envoi
MsgKdsTileExpedite,Commandes pour envoi
MsgKdsKitchen,Cuisine
MsgKdsOrderDisplay,Affichage des commandes
MsgKdsCompletedBecomes,Terminée devient
MsgKdsBump,Transmettre
MsgKdsBumped,Transmis
MsgKdsClosed,Fermé
MsgKdsByItem,par Produit
MsgKdsByOrder,par Commande
MsgKdsAsUndo,en tant qu’Annulation
MsgKdsTimeDisplay,Affichage du temps:
MsgKdsTimeElapsed,Temps écoulé
MsgKdsTimeReceived,Heure de réception
MsgKdsSounds,Sons :
MsgKdsOn,Activés
MsgKdsOff,Désactivés
MsgKdsClearCache,Effacer le cache
MsgKdsSaveClose,Enregistrer et quitter
MsgKdsOrderDetails,Détails de la commande:
MsgKdsShowiPadCallNumber,Afficher le numéro d’appel de l’Ipad:
MsgKdsModifiers,Modificateurs
MsgKdsCompletedOrderBlinking,Clignotement des commandes terminées:
MsgKdsGroupIdenticalProducts,Regrouper les produits identiques:
MsgKdsThemeColor,Couleur du thème:
MsgKdsWhite,Blanc
MsgKdsBlack,Noir
MsgKdsTimers,Compteurs:
MsgKdsMin,%d min
MsgKdsMarkCompletedBy,Indiquer Terminée par:
MsgKdsTipWorksInRegularView,uniquement pour la Vue régulière
MsgKdsVersionEstab,Version : %@\nID de l’établissement: %d\nNom du terminal: %@\n URL: %@
MsgKdsVersionPleaseCheckConfiguration,Version : %@\nVeuillez vérifier la configuration
MsgKdsTotalRowsCountInDb,Le nombre de rangées totales dans la DB est %d
MsgKdsMaxStorageLimitInDb,La limite maximum de stockage de la DB est %d
MsgKdsTheRemovableRowsCount,Le total des rangées à retirer est %d
MsgKdsAreYouSure,Voulez-vous vraiment continuer ?
MsgKdsSeparateByModifier,Séparer par modificateurs
MsgKdsGroupByProduct,Grouper par produit
MsgKdsGroupByOrder,Grouper par commande
MsgKdsGroupByItem,Grouper par produit
MsgKdsGroupByTime,Grouper par durée
MsgKdsQuantity09,Quantité de 0 à 9
MsgKdsQuantity90,Quantité de 9 à 0
MsgKdsItemNameAZ,Nom du produit de A à Z
MsgKdsItemNameZA,Nom du produit de Z à A
MsgKdsDiningOption,Option\nde restauration
MsgKdsSpecialRequest,Demande\nspéciale
MsgKdsEnterPasscode,Saisir le mot de passe
MsgKds5FailedPasscodeAttempts,5 tentatives échouées pour saisir le mot de passe
MsgKdsEnterYourRestrictionsPasscode,Saisissez votre code pour les restrictions
MsgKdsDishName,Nom du plat
MsgKdsKdshasntBeenInitializedYet,Affichage cuisine n'a toujours pas été initialisé. Merci de cliquer OK pour accéder à l'affichage de paramétrage.
MsgKdsKdsIsStillNotInitialized,Le système d’affichage en cuisine n’est pas initialisé. Veuillez cliquer sur Actualiser pour télécharger les paramètres depuis la console de gestion.
MsgKdsThisKdsAndThePosAreOnIncompatible,Le système d’affichage en cuisine et le TPV ont des versions différentes ce qui peut provoquer une corruption des données. Veuillez mettre à jour votre système d’affichage en cuisine.
MsgKdsVersion,Version : %@
MsgKdsKdsName,Nom du système d’affichage en cuisine : %@
MsgKdsCheckYourNetwork,Veuillez vérifier votre réseau.
MsgKdsSorry,Désolé !
MsgKdsThisWillDeleteAllRecords,Ceci effacera tous les enregistrements de la base de données locale.
MsgKdsDatabasePurged,Base de données vidée.
MsgKdsOrder#,Commande N° %@
MsgKdsTrainingMode,*** MODE FORMATION ***
MsgKdsPrinterNotResponding,L’imprimante ne répond pas. Merci de vérifier qu’elle est sous tension.
MsgKdsNothing,Rien
MsgKdsWhatWouldYouLikeToDoWithTheOrder,Que souhaitez-vous faire avec la commande ?
MsgKdsTileExpediteSeat,Place %@ /
MsgKdsTileExpediteCourse,Plat %@ /
