LocaleIdentifier,IT
MsgKdsKdshasntBeenInitializedYet,KDS hasn't been initialized yet. Please click OK to proceed to Settings view.-KDS non è ancora stato inizializzato. Si prega di clicare su OK per procedere alla impostazioni.
MsgKdsKdsIsStillNotInitialized,Schermo cucina non è ancora stato usato. Clicca sul pulsante “Aggiorna” per scaricare le impostazioni dal backend
MsgKdsThisKdsAndThePosAreOnIncompatible,Schermo cucina e POS hanno versioni incompatibili che possono causare la corruzione di dati. Aggiorna schermo cucina.
MsgKdsVersion,Versione: %@
MsgKdsKdsName,Nome schermo cucina: %@
MsgKdsCheckYourNetwork,Controlla rete
MsgKdsSorry,Scusa
MsgKdsThisWillDeleteAllRecords,Questo eliminerà tutti i dati registrati dal database locale.
MsgKdsDatabasePurged,Database eliminato definitivamente.
MsgKdsOrder#,Ordine # %@
MsgKdsTrainingMode,*** MODALITÀ ALLENAMENTO ***
MsgKdsPrinterNotResponding,La stampante non risponde. Verifica che la stampante sia accesa
MsgKdsNothing,Niente
MsgKdsWhatWouldYouLikeToDoWithTheOrder,Cosa desideri fare con ordine?
MsgKdsTileExpediteSeat,Posto %@/
MsgKdsTileExpediteCourse,Portata %@/
MsgKdsKdshasntBeenInitializedTheUpdatedSettings,Schermo cucina non è stato ancora inizializzato. Le impostazioni aggiornate non possono essere caricate sul server. Per inizializzare vai su visualizzazione Impostazioni e premi sul pulsante aggiorna
MsgKdsHasntBeenSynchronizedWithPos,Schermo cucina non è stato sincronizzato con POS. Riprova ad effettuare l’aggiornamento tra 1 min
MsgKdsTheSettingsAreDownloadedSuccessfully,Le impostazioni sono scaricate con successo
MsgKdsTheCurrentDeviceDoesNotExistInTheEstablishment,Il dispositivo attuale non esiste nel punto vendita %d
MSgKdsServerCommunicationIssuePleaseCheckYourNetwork,Problema di comunicazione del server. Controlla la rete.
MsgKdsWaiting,In attesa
MsgKdsInProgressMode,Modalità “in corso”:
MsgKdsDoubleTapToComplete,Tocca due volte per completare
MsgKdsInProgress,In corso
MsgKdsLanguagePackHasBeenUpdated,Il pacchetto lingua è stato aggiornato. Riavviare KDS.
MsgKdsPrint,Stampa
MsgKdsTapDoneonWaitingOrders,Tocca “Fatto” sugli ordini in attesa
MsgKDSWelcomeTourTitleScreen1,Benvenuti al sistema di visualizzazione della cucina di Revel
MsgKDSWelcomeTourTextScreen1,Schermo cucina presenta un'ottimo modo per migliorare l'efficienza ed accelerare la comunicazione tra parte anteriore e parte posteriore dello stabilimento
MsgKDSWelcomeTourTextScreen2,Scegliere tra diversi stili di visualizzazione  secondo le preferenze del personale di cucina.
MsgKDSWelcomeTourTextScreen3,Schermo cucina di Revel è completamente personalizzabile e offre possibilità d'impostare modalità di visualizzazioni diverse.
MsgKDSWelcomeTourTitleScreen4,Configurazione schermo cuicina di Revel
MsgKDSWelcomeTour4AdditionalText,Per poter utilizzare schermo cucina è necessario configurarlo da parte d'amministratore nella consolle di gestione.
MsgKDSWelcomeTourTextScreen4,Se hai bisogno di assistenza chiama il numero
MsgKDSWelcomeTour4PhoneNumber,1.415.744.1433
MsgKdsMarkAllComplete,Contrassegnato come tutto fatto
MsgKdsMarkAsDone,Contrassegnato come fatto
MsgKdsContinued,Continuato
MsgProductAdded,Prodotto aggiunto
MsgSelectACategory,Seleziona una categoria
MsgSelectASubcategory,Seleziona una sottocategoria
MsgSelectAProduct,Seleziona un prodotto
MsgFailedOrders,Lista di ordini non riusciti
MsgFailedTitle,Articolo non riuscito
MsgDescription,Descrizione
MsgRetriesCount,Numero prove
MsgOrderInfoDescription,Ordine: %@
MsgOrderInfoCreated,Creato: %@
MsgOrderInfoCreatedNoArgs,Crea
MsgCustomerInfoUpdated,Info cliente aggiornato
MsgManagerSyncLog,Log di sincronizzazione
MsgManagerSyncLogMaxRetries,Sinc. log - tentativi massimi
MsgSalesReportError,Impossibile recuperare report di vendita.
MsgManagerRunEOD,Processo di fine giornata
MsgManagerNeedsToRunEOD,Processo di fine giornata deve essere eseguito
MsgManagerEOD,Fine giornata
MsgManagerEODTaskCloseNullOrders,"Chiudere ordini a saldo 0,00"
MsgManagerEODCloseNullOrdersProgress,"Chiusura ordini a saldo 0,00"
MsgManagerEODTaskReconcileOrders,Riconciliare ordini aperti?
MsgManagerEODTaskProcessCreditCards,Elaborare tutte carte di credito
MsgManagerEODTaskDeclinedPayments,Pagamenti rifiutati
MsgManagerEODTaskOfflinePayments,Pagamenti off-line
MsgManagerEODTaskConfirmTimeCards,Confermare le schede orarie dei dipendenti
MsgManagerEODTaskCloseAllTills,Chiudere tutti cassetti
MsgManagerEODVoidRefundButton,Cancella/\nRimborsa
MsgManagerEODCloseCashButton,Chiudere\na contanti
MsgManagerEODCloseToCreditPlusButton,Chiudi a\nCredit +
MsgManagerEODCarryNextDayButton,Trasferire al\ngiorno prossimo
MsgManagerEODGoToOrderButton,Va al\nOrdine
MsgManagerEODPrintReport,Stampa riepilogo
MsgManagerEODPrintFiscalReports,Stampa report fiscali
MsgManagerEODTaskAdditionalTasks,Attività aggiuntive
MsgManagerEODCloseTillButton,Chiudi cassa
MsgManagerEODCloseVirtualTillButton,Chiudi cassa virtuale
MsgManagerEODTillsOpened,Aperto
MsgManagerEODPosStation,Stazione POS
MsgManagerEODContinueShift,Continua turno
MsgManagerEODClockOutAll,Registra in uscita tutti
MsgManagerEODNoTasksAlert,Nessuna attività da eseguire
MsgManagerEODMarkComplete,Segna come completo
MsgManagerEODProcessSuccess,Il processo di fine giornata è completo. Tutte le stazioni POS ora si aggiorneranno.
MsgManagerEODProcessSuccessMain,Processo di fine giornata è completo. Tutte le stazioni POS si aggiorneranno.
MsgManagerEODReportsAllEmployees,Tutti i dipendenti
MsgManagerEODReportsAllEmployeesAgg,Tutti i dipendenti (aggregato)
MsgManagerEODReportsAllStationsAgg,Tutte stazioni (Aggregate)
MsgManagerEODRunPrompt,Eseguire la “procedura di fine giornata”
MsgManagerEODGoToNextStep,Fase successiva
MsgManagerEODUnableToRun,Impossibile eseguire Fine giornata
MsgManagerEODCurrentOrderOpen,L’ordine #%@ è aperto! Chiudi l’ordine prima di eseguire il “Fine giornata”
MsgManagerEODActiveTransactionsError,Ci sono operazioni attive. Si prega di compilare tutte le operazioni prima di eseguire procedura di Fine giornata.
MsgManagerEODActivePumpAuthorizationError,C'è un'autorizzazione attiva sul distributore in attesa per l'azione dell'utente. Si prega di compilare l'autorizzazione prima di eseguire\n’Fine giornata'.
MsgManagerEODError,Non è possibile continuare con le procedure di fine giornata
MsgPrintReportsBEError,Stampa report l'errore di backend.
MsgManagerEODCustomStepsCompleted,Tutte le attività supplementari sono completate per oggi.
MsgManagerEODFiscalReportPrinted,Il report è già stampato per oggi.
MsgManagerEODClockOutEmployees,Effetua il clock-out dei dipendenti
MsgManagerEODBatchClockOutError,Impossibile effetuare clock-out per uno o più dipendenti.\nPassa alla fase sucessiva comunque?
MsgManagerEODPrintReportUsersEmpty,Niente da stampare. Nessuna transazione trovata per utenti/punto vendita.
MsgManagerEODChildsError,Stazione(i) %@ non sincronizzati con POS principale.\nProcedere comunque?
MsgManagerEODSelectPrintOptions,Si prega di selezionare le opzioni di stampa
MsgManagerEODEmployeesCaption,Dipendenti
MsgManagerEODSynLogMenu,Fine giornata
MsgManagerEODSynLogStarted,Fine giornata iniziato
MsgManagerEODSynLogFinished,Fine giornata finito
MsgManagerEODFiscalPrintersNotFoundError,"Stampanti fiscali non trovati, si prega di controllare le impostazioni"
MsgManagerEODFiscalPrinterBusyError,"Stampante fiscale è occupata, riprova più tardi"
MsgManagerEODBusinessDayNotClosed,Non tutte le stazioni hanno completato giorno lavorativo.\nChiudi il giorno lavorativo per forza?
MsgManagerEODSendingFinishLog,L’invio del log finale
MsgManagerEODOfflineStanford,Pagamenti CS Gold off-line
MsgManagerEODSkipStep,Salta il punto
MsgManagerEODFiscalReportCompletedOnAllStations,Tutti i POS hanno stampato i report fiscali con successo.
MsgManagerEODFiscalReportPrintFailedOnStations,POS seguenti non sono riusciti a stampare report fiscale:
MsgManagerEODFiscalReportPrintRetryOption,Vuoi riprovare a stampare su(i) POS o proseguire con la stampa fiscale manualmente?
MsgManagerEODFiscalReportPrintManually,Stampa manualmente riepilogo(i) fiscale diretamente da terminale(i) falito(i) prima di proseguire
MsgManagerEODErrorUnsyncedOrdersCheck,Controllo degli ordini non sincronizzati
MsgManagerEODErrorFollowingStationsDidNotRespond,Le seguenti stazioni non hanno risposto
MsgManagerEODErrorFollowingStationsHaveOrdersSyncing,I POS seguenti hanno degli ordini che stanno sincronizzando (probabilmente per causa dei problemi con la rete)
MsgManagerEODErrorAndTheFollowingUnsyncedOrders,e gli ordini seguenti non sincronizzati
MsgManagerEODErrorFollowingStationsHaveOrdersUnsynced,Le stazioni seguenti hanno dei ordini non sincronizzati
BtnManagerEODExitWizard,Esci Wizard
BtnManagerEODReSync,Re-sincronizza
BtnManagerEODRetrySync,Riprova sincronizzazione
MsgManagerEODErrorThereAreStillUnsyncedOrders,Ci sono degli ordini che stanno sincronizzando e/o gli ordini non sincronizzati.\n\nSi raccomanda che gli utenti sincronizzano manualment ogni terminale prima di eseguire la procedura di fine giornata.
MsgManagerEODFollowInstructionsBellow,Ti preghiamo di seguire le instruzioni:
MsgManagerEODInstructionsStep1,"Da ogni POS (non principale), premi pulsante 'Ordini' e seleziona 'Ordini non sincronizzati'."
MsgManagerEODInstructionsStep1BoldOrders,Ordini
MsgManagerEODInstructionsStep1BoldUnsyncedOrders,Ordini non sincronizzati
MsgManagerEODInstructionsStep2,Premi su ogni ordine non sincronizzato a sincronizzarlo con POS prinipale.
MsgManagerEODInstructionsLastLines,"Se gli ordini non si sincronizzano, controlla la tua connessione sulla rete.\nSe gli ordini non si sincronizzano ancora, contatta il supporto."
MsgManagerEODLockChildStations,Sospendi terminali sincronizzati
MsgManagerEODHasBeenInitiated,Il processo Fine giornata è stato avviato.
MsgManagerEODTerminalWillReactive,Questo POS riattiverà dopodiché processo di fine giornata è finito o abbandonato
MsgManagerEODTerminalWillAutologout,Questo terminale si auto-disconneterà e sospenderà l'attività in %@. Effettua il logout
MsgManagerEODFollowingStationsUsersLoggedIn,POS seguenti hanno alcuni utenti ancora registrati
MsgManagerEODLockedStationsFoundMessage,"La lista sarà cambiata automaticamente appena gli utenti fanno registrazione in uscita da questi POS.\nLa guida proseguirà subito dopo.\n\nSe vuoi proseguire con alcuni utenti ancora connessi sul sistema, premi 'Avanti'.\nSeguenti utenti saranno disconnessi dal %@."
MsgManagerEODLockStationNoConnection,Nessuna conessione
MsgManagerEODLockStationWaitingForResponse,In atesa della risposta
MsgManagerEODMinutesSingular,minuto
MsgManagerEODMinutesPlural,minuti
MsgManagerSyncLogSignatures,Firme
MsgManagerSyncLogOrders,Ordini
MsgManagerSelectLogItem,Seleziona articolo log per visualizzare
MsgManagerSyncShowButton,Visualizza
MsgNotSupportedForIphoneApp,Non supportato per iPhone app
MsgFullProductDetails,Dettagli prodotto completi
MsgSyncStatusDownloaded,Scaricato
MsgSyncStatusPercentComplete,Percento completato
MsgAgeVerification,Verifica dell’età
MsgCustomerBirthdateMessage,I clienti devono essere nati prima di %@ per acquistare questo prodotto.\nVerificare ID e data di nascita del cliente
MsgItemDetailsBIN,CESTINO
MsgItemDetailsDetails,Dettagli prodotto
BtnItemDetailsInventoryLookup,Ricerca\nInventario
MsgWarningDeleteSignature,Sicuro di voler eliminare le informazioni di firma?
MsgDeleteSignatureError,Impossibile eliminare la firma dal disco
MsgBLECheckedIn,Registrazione utente via bluetooth
MsgOrderDetailsCustomerCheckInfo,Controlla cliente
MsgAggregate,Aggregato
MsgVoidServiceProduct,Prodotto
MsgVoidServicePrice,Prezzo
MsgVoidSelectItems,Articolo(i) da annullare
MsgReturnSelectItems,Articolo(i) da rendere
MsgVoidReturnSelectItems,Articolo(i) da rendere
MsgCompSelectItems,Articolo(i) da stornare
MsgVoidQtyLeft,Qtà rimasta
MsgRPIUpdateConfirm,Questo aggiornerà il Raspberry PI. Sei sicuro?
MsgRPIUpdateSuccess,Raspberry PI aggiornato correttamente
MsgRPIUpdateFail,Aggiornamento Raspberry PI non riuscito
MsgRPICommunicationFail,Comunicazione con la rete fallita. Ricollega il cavo di rete o riavvia switch
MsgRPIDevicesInfo,Ver. RPI %@ - info dispositivi
MsgRPIConnectedDevices,Dispositivi connessi
MsgRPINonMappedDevices,Dispositivi non mappati
MsgReceiptTitleGuestCheck,ASSEGNO OSPITE
MsgReceiptTitleHeldOrders,RAPPORTO DI ORDINI SOSPESI
MsgReceiptNumberOfHeldOrders,Ordini sospesi
MsgReceiptTotalSumOfHeldOrders,Totale
MsgOrderExchangeFrom,[da %@]
MsgOrderExchangeExceedsPurchaseAmountTitle,Aggiungi più articoli
MsgOrderExchangeExceedsPurchaseAmountMessage,Il valore di cambio supera l’importo di acquisto. Aggiungere articoli per utilizzare i fondi restanti.
MsgSelectItemsToExchangeSelectItemsToExchange,Seleziona articolo(i) da cambiare
MsgSelectItemsToExchangePleaseSelectItems,Selezionare gli articoli da cambiare
MsgSelectItemsToExchangeExchangeCoupons,Order has coupons.
MsgSelectItemsToExchangeItemsToExchange,Articolo(i) da cambiare
MsgSelectItemsToExchangeQtyLeft,Qtà rimasta
MsgSelectItemsToExchangeExchange,Scambia
MsgSelectItemsToExchangeOrderHasCoupon,Questo ordine dispone di un buono.  Il buono influisce sul prezzo dell’articolo(i) cambiato?
MsgSelectItemsToExchangeOrderHasCoupons,Questo ordine dispone di buoni.  Seleziona i buoni che influiscono sul prezzo dell’articolo(i) cambiato.
MsgSpecifyReasonForExchangeSpecifyReasonForExchange,Specificare motivo del cambio
MsgSpecifyReasonForExchangeGrandTotal,Somma totale:
MsgReceiptEXCHANGE,SCAMBIA
BtnOTEPShowAllOrders,Mostra tutti ordini aperti
BtnOTEPShowAllTodaysOrders,Mostra tutti ordini di oggi
BtnOTEPTables,Tavoli
BtnOTEPBarTabs,Posti al bar
BtnOTEPBarTab,Posto al bar
BtnTablesNewOrder,+ Nuovo ordine
BtnTablesNewTab,+ Nuova sedia
BtnTablesNewParty,+ Nuovo ospite
MsgTransferOrdersTableHeader,Trasferire ordini | Selezionare tavolo(i) e/o tabulazione(i)
BtnTransferOrdersTransfer,Trasferire
BtnTransferOrdersHideClockedOutEmployees,Nascondi impiegato registrato in uscita
BtnTransferOrdersAllEmp,Tutti dipendenti 
BtnTransferOrdersClockedIn,Entrata registrata
MsgTransferOrdersTransfersFailed,Trasferimento non riuscito
MsgTransferOrdersTransfersFailedForOrders,Trasferimenti non riusciti per ordini con id:
BtnTransferOrdersClockedInOnly,Solo registrati in entrata
BtnTransferOrdersAllEmployees,Tutti i dipendenti
MsgExistingDiscounts,Sconti esistenti sull’articolo(i)
MsgItemName,Nome articolo
MsgDiscountName,Nome articolo
MsgReplaceDiscountAmount,Importo sconto
MsgReplaceDiscount,Sostituire sconto?
MsgTheseItemsHaveDiscounts,Questi articoli dispongono già di sconti. Sostituire sconti?
MsgStanfordPhotoConfirmation,Controllare e confermare foto
MsgStanfordCheckBalance,Controllare il saldo
MsgWaitingForFoodNonFood,In attesa di selezione mancia
MsgEditEntry,Modifica registrazione
MsgAssignTable(s),Assegna tavolo(i)
MsgSendMessage,Invia messaggio
MsgRemoveEntry,Rimuovi registrazione
MsgPleaseFillPhoneNumberProceedToEditTheReservation,Inserire numero di telefono. Procedere per modificare la prenotazione?
MsgSendSMSmessageTo,Invia messaggio SMS a %@
MsgSendEmailTo,Invia e-mail a %@
MsgSendingFailed,Invio non riuscito
MsgYouHaveAnReservation,Hai una prenotazione
MsgNextReservation,Prenotazione successiva
MsgPreviousAssignment,Assegnazione precedente
MsgEditReservation,Modifica Prenotazione
MsgAddReservation,Aggiungi Prenotazione
MsgWaitlist,Lista d’attesa
MsgAddNewParty,Aggiungi nuova festa
MsgAllChangesWillBeLostContinue,Tutte le modifiche andranno perse. Continuare?
MsgBirthday,Compleanno
MsgNoTable(s)Assigned,Nessun tavolo assegnato
MsgPleaseFillName,Inserire nome
MsgPleaseFillPhoneNumber,Inserire numero di telefono
MsgPleaseFillRefCode,Inserisci codice di riferimento
MsgThereArentAvailableSeatsWouldYouLike,Non esistono posti disponibili. Desideri creare nuova prenotazione?
MsgWalkIn,Entrata
MsgCallIn,Chiamata
MsgShortManual,M: %lD
MsgPartyNSize,Numero \nospiti
MsgPartySize,Numero ospiti
MsgEnterPartySize,Inserire numero ospiti
MsgCheckNIn,Registrazione\nin entrata
MsgThisTableIsOccupiedWhatWouldYouLikeToDo,Questo tavolo è occupato. Cosa vorresti fare?
MsgMerge,Unisci
MsgKeepSeparate,Tieni separato
MsgSeated,Seduto
MsgPleaseSelectAnyTable,Seleziona un tavolo
MsgAssign,Assegna autista
MsgPleaseSelectTableSections,Selezionare sezioni tavolo
MsgTables,Tavoli
MsgTable(s),Tavolo(i)
MsgHistory,Cronologia
MsgPresent,Presente
MsgWaiting,Tempo da aspettare
MsgWaited,Tempo atteso
MsgTargeted,Data
MsgTimeNSeatedNRemoved,Tempo\nSeduto\nRimosso
MsgRemovalReason,Motivo
MsgReasonForRemoval,Motivo
MsgReturnToWaitlist,Torna a lista d’attesa
MsgEst.TimeNUntilReady,Tempo\nfinchè pronto
MsgEditNEntry,Modifica\nvoce
MsgSeatNParty,Posto\nGruppo
MsgNewParty,+ Nuovo ospite
MsgReservationsDashboard,Tabella prenotazioni
MsgCapacityUtilization,Capacità utilizzazione
MsgRefreshing,Aggiornamento in corso
MsgIncludedTags,Eticchette incluse
MsgDaysIncludedInAverage,Giorni inclusi nella media
MsgQuotedWait,Attesa stimata
MsgPartyDetails,Dettagli ospite
MsgTablePreferences,Preferenze di tavolo
MsgAddToWaitlist,Aggiungi a lista d’attesa
MsgFilterByPreferences,Filtra per preferenze
MsgNParties,Gruppi
MsgTotalGuests,Totale ospiti
MsgAvailableTables,Tavoli disponibili
MsgAvailableCapacity,Capacità disponibile
MsgReservations,Prenotazioni
MsgSendMessage(s),Invia messaggio(i)
MsgHistoryIsNotSupportedNow,La cronologia non è supportata ora.
MsgSections,Sezioni
MsgSuggestions,Suggerimenti
MsgAllTables,Tutti i tavoli
MsgSeating,Occupato da
MsgDay(s),giorno(i)
MsgSomeChangesHaveBeenMade,Alcune modifiche effettuate. Desideri salvarle prima di continuare?
MsgOrderCanceled,Ordine cancellato
MsgOrderClosed,Ordine chiuso
MsgKeyTableStatus,Key - stato tavolo
MsgPartyAutoNotify,Avviso automatico da testo
MsgWaitlistSearchPlaceholder,Inserisci numero tavolo o nome cliente
MsgFieldRequiredToSaveCustomerRecord,%@ è richiesto a salvare il profilo cliente nel sistema Revel come configurato. Scarta questa finestra e inserisci unico e valido nome cliente %@ o premi 'continua' per fare prenotazione senza salvare il profilo cliente definitivamente.
MsgWaitlistPhoneNumber,Numero di telefono
MsgIncomingSms,SMS in entrata
MsgOutcomingSms,SMS in uscita
MsgGasStationStartFueltransactionConfirmation,Desideri autorizzare transazione per %@?\n\nTubo numero: %d\nVolume: %.2f\nPrezzo %.2f\nPrezzo totale: %.2f
MsgGasStationSelectClearType,Selezionare un clear type
MsgGasStationFailedToClearTransactionPleaseTryAgain,"Cancellazione di operazione non riuscita, si prega di riprovare"
MsgGasStationInternalErrorNoFuelTransactionFound,Errore interno. Non è stata trovata nessuna transazione carburante
MsgSomeTransactionsAreNotCleared,%d transazione(i) non rimossa(e)
MsgForecourtSuccessfullyUpdated,Forecourt controller successfully updated
MsgForecourtController,Controllore dell’area di rifornimento
MsgForecourtControllerPriceUpdateFailed,Forecourt controller successfully updated
BtnMoveOrdersMove,Sposta
BtnMoveOrdersMerge,Unisci
BtnMoveOrdersTablesInUse,Mostra tavoli in uso
BtnMoveOrdersTablesNotInUse,Mostra tavoli non in uso
MsgMoveOrdersIsNotPossible,Non è possibile eseguire lo spostamento perché la destinazione o l’ordine di origine non è sincronizzato con il POS principale.
MsgMoveOrdersTableHeader,Sposta ordini | Seleziona tavolo(i) e/o etichetta(e)
MsgMoveOrdersPleaseSelectOrders,Si prega di selezionare uno o più ordini
MsgMoveOrdersOtherOrders,Altri ordini
MsgMoveOrdersSortBy,Ordina per
MsgMoveOrdersTableOrTab,Tavolo / Sedia
MsgMoveOrdersOrderStatus,Stato ordine
BtnMoveOrdersTodaysOrdersByEmp,Ordini di oggi
BtnMoveOrdersTodaysOrdersByTab,Ordini di oggi
BtnMoveOrdersTodaysOrdersByCap,Ordini di oggi
BtnMoveOrdersTodaysOrdersBySec,Ordini di oggi
BtnMoveOrdersTodaysOrdersByOrdS,Ordini di oggi
BtnMoveOrdersTodaysOrdersByOrd,Ordini di oggi
MsgMoveOrdersAllSections,Tutte le sezioni
MsgMoveOrdersSelectDestination,Seleziona destinazione
MsgMoveOrdersRefundManually,Si possono spostare solo gli articoli.  I pagamenti sull’ordine %@ non possono essere spostati e devono essere rimborsati manualmente
MsgMergeOrdersWhichToKeep,Quale ordine desideri conservare?
MsgMergeOrdersTableHeader,Unire ordine | Selezionare l’ordine da unire
MsgMoveOrdersPaymentsRefundManually,Pagamenti sull’ordine: %@ non possono essere spostati e devono essere rimborsati manualmente
MsgMoveOrdersPaymentsDiscountMove,Gli sconti sugli ordini non possono essere spostati e devono essere riapplicati manualmente
MsgMoveOrdersPaymentsServiceFeeMove,Le tariffe dei servizi non possono essere spostate e devono essere riapplicate manualmente
MsgMergeOrderSplitBillsClear,Conti suddivisi sull’ordine: %@ verranno cancellati. Sei sicuro?
MsgMoveMergeOrderPaymentMoved,Pagamento originale spostato a ordine
MsgMergeOrders,Unisci ordini
MsgMoveOrdersIsNotPossibleDueDestinationOrder,L’unione non è possibile perché l’ordine# %@ di destinazione dispone di conti separati e pagamenti. Eliminare manualmente i conti suddivisi.
MsgGiftCardBlances,I nuovo saldi sono visualizzati di seguito
MsgBLEServiceGiftRewardCaption,Gift Card / Reward Card
MsgOrderCustomerTrackingNumber,"Numero ordine, cliente, numero di tracciamento"
MsgOrderCustomer,"N. ordine, cliente"
MsgShipped,Spedito
MsgNormal,Normale
MsgComments,Commenti
MsgKdsShowQuantity,Mostra la quantità
MsgKdsCallNameFontSize,Dimensione carattere nome chiamata:
MsgKdsDoubleTapDoneonWaitingOrders,Premere due volte su “Fatto” sugli ordini in attesa
MsgAddNewCheck,Aggiungere nuova ricevuta
MsgWetstockOverviewHeader,Gestione Wetstock - Panoramica
MsgWetstockPumpManagementHeader,Gestione Westock - Gestione distributori
BtnWetstockEndOfDay,Fine giornata
BtnWetstockEndOfMonth,Fine mese
BtnWetstockInitialization,Inizializzazione
BtnWetstockReconcile,Reconcile-Conciliare
BtnWetstockDetails,Dettagli
MsgWetstockReconcileHeader,Pump Meter Reconcilation
MsgWetstockDateTime,Data / ora
MsgWetstockEvent,Evento
MsgWetstockAmtDispenced,Imp. Erogato
MsgWetstockAmtonMeter,Imp. su misuratore
MsgWetstockGrade,Grado
MsgWetstockAllHoses,Tutti i tubi
MsgWetstockTransactionSale,Vendita
MsgWetstockTransactionReconcile,Reconcile-Conciliare
MsgWetstockReconcilationNotes,Reconcilation Notes
BtnWetstockTankTransfer,Trasferimento con cisterna
BtnWetstockPrintForecourtMap,Stampa mappa piazzale
MsgWetstockPumpNotResponding,Not Responding
MsgWetstockPumpNotInstalled,Not Installed
MsgWetstockPumpBusy,Busy
MsgWetstockManualPump,Manual Pump
MsgWetstockFullyOperational,Fully Operational
MsgWetstockFuelPumps,Fuel Pumps
MsgWetstockTanks,Tanks
BtnWetstockViewDetails,View\nDetails
MsgWetstockTotalFuelBookstock,Total Fuel Bookstock
MsgWetstockTotalValueFuelRemaining,Total Value Fuel Remaining
MsgWetstockFuelStock,Fuel Stock
MsgWetstockTankInfo,Tank Info
MsgWetstockAllTanks,All-Tanks
MsgWetstockTankManagement,Tank Management
MsgWetstockTransactionPumpTest,Controllo distributore
MsgWetstockTransactionTankTransfer,Intertank Transfer
MsgWetstockFuelType,Fuel Type
MsgWetstockFullCapacity,Full Capacity
MsgWetstockSafeWorkingCapacity,Safe Working Capacity
MsgWetstockCurrentVolume,Current Volume
MsgWetstockUllage,Ullage
MsgWetstockWaterLevel,Water Level
MsgWetstockOperational,Operational
MsgWetstockBlocked,Blocked
MsgWetstockTransferAmount,Transfer Amount
MsgWetstockTransferTankNotPossibleToTransfer,Its not possible to transfer fuel into the same tank
MsgWetstockTransactionPumpTestReturn,Pump Test Return
MsgFailedToUpdateTips,Impossibile aggiornare le mance
MsgNothingToUpdate,Non c’è nulla da aggiornare
MsgTransferTo,Trasferire a
MsgHours,ora(e)
MsgLoggedInAs,Logged in as
MsgPriceChangesWaiting,Modificazioni prezzo sono in attesa di essere accettati
MsgPriceChangesTapHere,Tocca qui per continuare
MsgPriceRefreshInProcess,Prezzo aggiornamento in corso ...
MsgPriceChanges,Modificazioni prezzo
MsgPriceChangesPriceChangesAvailable,Modificazioni prezzo sono disponibili
MsgPriceChangesLogoutMessage,Si prega di logout ed aggiornamento verrà avviato automaticamente.
MsgPriceChangesAcceptMessage,"Se accetti, l'aggiornamento si avvierà automaticamente."
MsgPriceChangesNote,Si prega di accettare le modifiche sulla stazione di configurazione %@ pure
MsgPriceChangesNoteWait,"Se attendi, ti ricorderà tra 5 minuti."
MsgPriceChangesNoteWaitXMinutes,"Se attendi, ti ricorderà tra 5 minuti."
MsgPriceChangesWarning,Attenzione: La stazione di configurazione non è impostata sul backend. Il controllore del piazzale non verrà aggiornato.
MsgPriceChangesCurrentPrice,Prezzo attuale
MsgPriceChangesNewPrice,Nuovo prezzo
MsgPriceChangesWetstockMessage,Modifiche di prezzo per Wetstock sono disponibili.
MsgGasStationSettingsRefreshRequired,Impostazioni di aggiornamento e/o variazioni di prezzo sono in attesa di essere accettati.
MsgAppliedPumpPricePrice,Applicata Sell Out (vendere tutto) prezzo
MsgSmsMessageSuccessfullySentTo,SMS inviato con successo al %@.
MsgSentSmsIsNotDelivered,SMS al %@ non è stato consegnato.
MsgCanceledByPhone,Cancellato da telefono
MsgSalesDailyCashDescription,"L’elenco dettagliato delle transazioni in contanti, da contante iniziale a quello stimato nella cassa."
MsgSalesDailyPaymentSummaryDescription,Riassunte dei pagamenti totali per ogni tipo di pagamento.
MsgSalesDailyPaymentLogDescription,"L’elenco dettagliato dei pagamenti ricevuti, ordinati per tipo di pagamento."
MsgSalesReportDescription,"Report delle vendite, comprensivo e configurabile. Include i dati dei riepiloghi vendite, sconti, annullamenti, pagamenti e passività."
MsgSalesReportDescriptionRevelLite,"Report delle vendite, comprensivo e configurabile. Include i dati dei riepiloghi vendite, sconti, annullamenti, pagamenti e passività."
MsgSalesSummaryCashLog,Log di riepilogo vendite giornaliere
MsgSalesSummaryPaymentSummary,Riepilogo pagamento giornaliero 
MsgSalesSummarySalesReport,Report vendite
MsgOrderIsNotCompliant,Ordine non condiscendente
MsgITLUpdatePrices,Aggiorna i prezzi
MsgITLSetupForecourt,Impostazione dell’area di rifornimento
MsgITLUpdateForecourt,Aggiornamento dell’area di rifornimento
MsgITLForecourtConnectionStatus,Stato di conessione dell’area di rifornimento
MsgITLActiveTransactions,Transazioni attive
MsgITLUpdateLogs,Aggiorna log
MsgITLSendToSupport,Invia al supporto
MsgITLFullLogs,Log interi
MsgITLRequestFailedUnknownStatus,Richiesta falita con status sconosciuto
MsgITLLogOut,Logout
MsgITLLogIn,Login
MsgITLAllDataWillBeErased,Tutti i dati saranno cancellati appena l'installazione è completa. Sei sicuro di voler rifare la lconfigurazione dell'area di rifornimento.
MsgITLPleaseDisconnect,Disconneti prima di aggiornare
MsgITLFetchingStatus,Riprendendo lo stato
MsgITLMeterReadings,Letture contatore
MsgITLSendMeterReadings,Invia letture contatore
MsgITLFetchingMeterReadings,Riprendendo letture contatore
