LocaleIdentifier,RU
MsgWarningDeleteSignature,Удалить информацию о подписи?
MsgDeleteSignatureError,Не удается удалить подпись с диска.
MsgBLECheckedIn,Регистрация клиента по Bluetooth
MsgOrderDetailsCustomerCheckInfo,Проверка клиента
MsgAggregate,Итого
MsgVoidServiceProduct,Продукт
MsgVoidServicePrice,Цена
MsgVoidSelectItems,Позиция(-и) для аннулирования
MsgReturnSelectItems,Позиция(-и) для возврата
MsgVoidReturnSelectItems,Позиция(-и) для возврата
MsgCompSelectItems,Позиция(-и) для добавл. в бесплатные
MsgVoidQtyLeft,Оставшееся кол-во
MsgRPIUpdateConfirm,Данное действие приведет к обновлению PI-устройства. Вы уверены?
MsgRPIUpdateSuccess,PI-устройство обновлено.
MsgRPIUpdateFail,Не удалось обновить PI-устройство.
MsgRPICommunicationFail,Не удалось установить связь с хабом. Извлеките и снова вставьте сетевой кабель или перезапустите хаб.
MsgRPIDevicesInfo,Информация о Устройствах RPI v. %@
MsgRPIConnectedDevices,Подсоединенные устройства
MsgRPINonMappedDevices,Неназначенные устройства
MsgReceiptTitleGuestCheck,ГОСТЕВОЙ ЧЕК
MsgReceiptTitleHeldOrders,Список приостановленых заказов
MsgReceiptNumberOfHeldOrders,Отложенные заказы
MsgReceiptTotalSumOfHeldOrders,Итого
MsgOrderExchangeFrom,[с %@]
MsgOrderExchangeDoneAddItems,Позиция обменяна.  Добавьте новые позиции к заказу.
MsgOrderExchangeExceedsPurchaseAmountTitle,Добавить позиции
MsgOrderExchangeExceedsPurchaseAmountMessage,"Стоимость обмениваемых товаров превышает сумму покупки. Добавьте позиции, чтобы использовать остаток суммы."
MsgSelectItemsToExchangeSelectItemsToExchange,Выберите позицию(-и) для обмена.
MsgSelectItemsToExchangePleaseSelectItems,Выберите позиции для обмена.
MsgSelectItemsToExchangeExchangeCoupons,В этом заказе используются купоны.
MsgSelectItemsToExchangeItemsToExchange,Позиция(-и) для обмена
MsgSelectItemsToExchangeQtyLeft,Оставшееся кол-во
MsgSelectItemsToExchangeExchange,Обменять
MsgSelectItemsToExchangeOrderHasCoupon,В этом заказе используется купон.  Данный купон влияет на стоимость обмениваемых позиций?
MsgSelectItemsToExchangeOrderHasCoupons,"В этом заказе используются купоны.  Выберите купоны, влияющие на стоимость обмениваемых позиций."
MsgSpecifyReasonForExchangeSpecifyReasonForExchange,Укажите причину обмена.
MsgSpecifyReasonForExchangeGrandTotal,Итого:
MsgReceiptEXCHANGE,ОБМЕН
BtnOTEPShowAllOrders,Показать все открытые заказы 
BtnOTEPShowAllTodaysOrders,Показать все сегодняшние заказы
BtnOTEPTables,Столики
BtnOTEPBarTabs,Счета за бар
BtnOTEPBarTab,Счет за бар
BtnTablesNewOrder,Новый заказ
BtnTablesNewTab,=+Новая вкладка
BtnTablesNewParty,=+новая группа
MsgTransferOrdersTableHeader,Перенос заказов | Выберите столик(-и) и/или счет(-а) за бар
BtnTransferOrdersTransfer,Перенести
BtnTransferOrdersHideClockedOutEmployees,Скрыть отработавших сотр.
BtnTransferOrdersAllEmp,Все сотрудники
BtnTransferOrdersClockedIn,Время прихода
MsgTransferOrdersTransfersFailed,Ошибка переноса
MsgTransferOrdersTransfersFailedForOrders,Не удалось перенести следующие заказы:
BtnTransferOrdersClockedInOnly,только отметиться
BtnTransferOrdersAllEmployees,Все сотрудники
MsgExistingDiscounts,Существующие скидки на позицию(-и)
MsgItemName,названию позиции
MsgDiscountName,Наим. скидки
MsgReplaceDiscountAmount,Сумма скидки
MsgReplaceDiscount,Заменить скидку?
MsgTheseItemsHaveDiscounts,К данным позициям уже применена скидка. Заменить скидки?
MsgStanfordPhotoConfirmation,Проверить и подтвердить фото
MsgStanfordCheckBalance,Проверить баланс
MsgWaitingForFoodNonFood,Ожидание выбора размера чаевых
MsgEditEntry,Редактировать запись
MsgAssignTable(s),Назначить столик(-и)
MsgSendMessage,Отправить сообщение
MsgRemoveEntry,Удалить запись
MsgPleaseFillPhoneNumberProceedToEditTheReservation,Укажите номер телефона. Перейти к редактированию брони?
MsgSendSMSmessageTo,Отправить SMS на %@
MsgSendEmailTo,Отправить эл. письмо на %@
MsgSendingFailed,Ошибка отправки
MsgYouHaveAnReservation,У вас имеется бронь.
MsgNextReservation,Следующая бронь
MsgPreviousAssignment,Предыдущее назначение
MsgEditReservation,Редактировать бронь
MsgAddReservation,Добавить бронь
MsgWaitlist,Лист ожидания
MsgAddNewParty,Добавить группу гостей
MsgAllChangesWillBeLostContinue,Все изменения будут утеряны. Продолжить?
MsgBirthday,Дата рождения
MsgNoTable(s)Assigned,Нет назначенных столиков.
MsgPleaseFillName,Укажите имя.
MsgPleaseFillPhoneNumber,Укажите номер телефона.
MsgPleaseFillRefCode,Введите справочный код
MsgThereArentAvailableSeatsWouldYouLike,Нет свободных мест. Создать новое бронирование?
MsgWalkIn,Без предв. записи
MsgCallIn,По звонку
MsgShortManual,Ручн.: %ld
MsgPartyNSize,Кол-во\nчеловек
MsgPartySize,Кол-во человек
MsgEnterPartySize,Укажите кол-во человек.
MsgCheckNIn,Время\nприбытия
MsgThisTableIsOccupiedWhatWouldYouLikeToDo,Данный столик занят. Что вы хотите сделать?
MsgMerge,Объединить
MsgKeepSeparate,Оставить раздельно
MsgSeated,Рассажены
MsgPleaseSelectAnyTable,Выберите любой столик.
MsgAssign,Назначить
MsgPleaseSelectTableSections,Выберите секции.
MsgTables,Столики
MsgTable(s),Столик(-и)
MsgHistory,История
MsgPresent,Присутствует
MsgWaiting,Время ожидания
MsgWaited,Время ожидания
MsgTargeted,Предполагаемое время
MsgTimeNSeatedNRemoved,время\n сидящий\n освобожден
MsgRemovalReason,Причина удаления
MsgReasonForRemoval,Причина удаления
MsgReturnToWaitlist,Вернуться к листу ожидания
MsgEst.TimeNUntilReady,Предположительное Время\nДо Готовности
MsgEditNEntry,Редактировать\nзапись
MsgSeatNParty,Рассадить\nгруппу гостей
MsgNewParty,=+новая группа
MsgReservationsDashboard,Панель бронирований
MsgCapacityUtilization,Утилизация объема
MsgRefreshing,Обновление
MsgIncludedTags,Добавленные тэги
MsgDaysIncludedInAverage,Включено дней в среднем
MsgQuotedWait,Указанное время ожидания
MsgPartyDetails,Данные о группе гостей
MsgTablePreferences,Предпочтения к столику
MsgAddToWaitlist,Добавить в лист ожидания
MsgFilterByPreferences,Фильтрировать по предпочтениям
MsgNParties,Группы гостей
MsgTotalGuests,Всего гостей
MsgAvailableTables,Свободные столики
MsgAvailableCapacity,Вместимость
MsgReservations,Бронирования
MsgSendMessage(s),Отправить сообщение(-я):
MsgHistoryIsNotSupportedNow,Сейчас история не доступна.
MsgSections,Секции
MsgSuggestions,Предложения
MsgAllTables,Все столики
MsgSeating,Места
MsgDay(s),дн.
MsgSomeChangesHaveBeenMade,Были внесены изменения. Сохранить и продолжить?
MsgOrderCanceled,заказ отменен
MsgOrderClosed,заказ закрыт
MsgKeyTableStatus,Ключ - статус/состояние стола
MsgPartyAutoNotify,ауто нотификация сообщением
MsgWaitlistSearchPlaceholder,Ввести номер столика и имя клиента
MsgFieldRequiredToSaveCustomerRecord,"Введите %@, чтобы сохранить данные клиента в системе Revel. Закройте это окно и введите правильный и уникальный %@ клиента или нажмите \""Продолжить\"", чтобы заказать столик без сохранения данных клиента."
MsgWaitlistPhoneNumber,Номер телефона
MsgIncomingSms,Входящие SMS-сообщения
MsgOutcomingSms,Исходящие Sms 
MsgGasStationStartFueltransactionConfirmation,Разрешить транзакцию %@?\n\nШланг номер: %d\nКол-во: %.2f\nЦена: %.2f\nОбщая стоимость: %.2f
MsgGasStationSelectClearType,Выберите тип расчета.
MsgGasStationFailedToClearTransactionPleaseTryAgain,"Не удалось завершить транзакцию. Пожалуйста, повторите."
MsgGasStationInternalErrorNoFuelTransactionFound,Внутренняя ошибка Не найдена транзакция с топливом.
MsgSomeTransactionsAreNotCleared,%d транзакция(ции) не завершена(ны)
MsgForecourtSuccessfullyUpdated,Контроллер Forecourt удачно обновлен
MsgForecourtController,Установлено соединение с заправочным терминалом.
MsgForecourtControllerPriceUpdateFailed,Контроллер Forecourt удачно обновлен
BtnMoveOrdersMove,Переместить
BtnMoveOrdersMerge,Объединить
BtnMoveOrdersTablesInUse,Показать занятые столики
BtnMoveOrdersTablesNotInUse,Показать свободные столики
MsgMoveOrdersIsNotPossible,"Перемещение невозможно, т. к. конечный или исходный заказ не синхронизирован с главной POS-станцией."
MsgMoveOrdersTableHeader,Перемещение заказов | Выберите столик(-и) и/или счет(-а) за бар
MsgMoveOrdersPleaseSelectOrders,"Пожалуйста, выберите один или несколько заказов"
MsgMoveOrdersOtherOrders,Другие заказы
MsgMoveOrdersSortBy,Сортировать по
MsgMoveOrdersTableOrTab,Таблица/ стол / Tab
MsgMoveOrdersOrderStatus,Статус заказа
BtnMoveOrdersTodaysOrdersByEmp,Сегодняшние заказы - по EMP.
BtnMoveOrdersTodaysOrdersByTab,Сегодняшние заказы - по табл 
BtnMoveOrdersTodaysOrdersByCap,Сегодняшние заказы - по объему
BtnMoveOrdersTodaysOrdersBySec,Сегодняшние заказы - по Sec.
BtnMoveOrdersTodaysOrdersByOrdS,Сегодняшние заказы - по статусу заказа
BtnMoveOrdersTodaysOrdersByOrd,Сегодняшние заказы - по Ord .
MsgMoveOrdersAllSections,Все секции
MsgMoveOrdersSelectDestination,Выберите пункт назначения
MsgMoveOrdersRefundManually,Можно перемещать только позиции.  Платежи по заказу %@ не могут быть перемещены и должны быть возмещены вручную.
MsgMergeOrdersWhichToKeep,Какой из заказов необходимо сохранить?
MsgMergeOrdersTableHeader,Объединение заказов | Выберите заказы для объединения
MsgMoveOrdersPaymentsRefundManually,Платежи по заказам %@ не могут быть перемещены и должны быть возмещены вручную.
MsgMoveOrdersPaymentsDiscountMove,Скидки по заказам не могут быть перемещены и должны быть применены вручную.
MsgMoveOrdersPaymentsServiceFeeMove,Сборы за обслуживание по заказам не могут быть перемещены и должны быть применены вручную.
MsgMergeOrderSplitBillsClear,Раздельные счета по заказу %@ будут удалены. Вы уверены?
MsgMoveMergeOrderPaymentMoved,Исходный платеж перемещен в заказ
MsgMergeOrders,Объединить заказы
MsgMoveOrdersIsNotPossibleDueDestinationOrder,"Объединение невозможно, так как в конечном заказе № %@ имеются раздельные счета и платежи. Удалите раздельные счета вручную."
MsgGiftCardBlances,Новые балансы отображены ниже.
MsgBLEServiceGiftRewardCaption,Подарочная карта / Бонусная карта
MsgOrderCustomerTrackingNumber,"Номер заказа, клиент, номер для отслеживания"
MsgOrderCustomer,"Номер заказа, Клиент"
MsgShipped,Отправлено
MsgNormal,Стандартный
MsgComments,Комментарии
MsgKdsShowQuantity,Показать кол-во
MsgKdsCallNameFontSize,Размер шрифта имени для обращения:
MsgKdsDoubleTapDoneonWaitingOrders,Дважды нажмите «Готово» для ожидающих заказов.
MsgAddNewCheck,Добавить новый чек
MsgWetstockOverviewHeader,Контроль и учет нефтепродуктов — Обзор
MsgWetstockPumpManagementHeader,Контроль и учет нефтепродуктов — Управление колонкой
BtnWetstockEndOfDay,Конец дня
BtnWetstockEndOfMonth,Конец месяца
BtnWetstockInitialization,Инициализация
BtnWetstockReconcile,Сверить
BtnWetstockDetails,Детали
MsgWetstockReconcileHeader,Сверка данных со счетчика
MsgWetstockDateTime,Дата/Время
MsgWetstockEvent,Событие
MsgWetstockAmtDispenced,Сумма Залито
MsgWetstockAmtonMeter,Сумма на счетчике
MsgWetstockGrade,Сорт
MsgWetstockAllHoses,Все шланги
MsgWetstockTransactionSale,Продажа
MsgWetstockTransactionReconcile,Сверить
MsgWetstockReconcilationNotes,Отметка о сверке данных
BtnWetstockTankTransfer,Перекачка из цистерны
BtnWetstockPrintForecourtMap,Распечатать карту заправочной площадки
MsgWetstockPumpNotResponding,Не отвечает
MsgWetstockPumpNotInstalled,Не установлен
MsgWetstockPumpBusy,Занят
MsgWetstockManualPump,Ручной насос
MsgWetstockFullyOperational,Работающий в полном объеме
MsgWetstockFuelPumps,Топливный насос
MsgWetstockTanks,Баки
BtnWetstockViewDetails,Показать\n детали
MsgWetstockTotalValueFuelRemaining,Общая стоимость оставшегося топлива
MsgWetstockFuelStock,Запас топлива
MsgWetstockTankInfo,Информация о баке
MsgWetstockAllTanks,Все - баки
MsgWetstockTankManagement,Управление баками
MsgWetstockTransactionPumpTest,Тестировка насоса
MsgWetstockTransactionTankTransfer,Трансфер между баками
MsgWetstockFuelType,Вид топлива
MsgWetstockFullCapacity,Полный объем
MsgWetstockSafeWorkingCapacity,Безопасный объем
MsgWetstockCurrentVolume,Текущий объем
MsgWetstockUllage,Утечка
MsgWetstockWaterLevel,Уровень воды
MsgWetstockOperational,Работающий
MsgWetstockBlocked,Заблокирован
MsgWetstockTransferAmount,Объем для трансфера
MsgWetstockTransferTankNotPossibleToTransfer,Невозможно переместить топливо в тот же бак
MsgFailedToUpdateTips,Не удалось обновить чаевые.
MsgNothingToUpdate,Нет данных для обновления
MsgTransferTo,Перенести в
MsgHours,час(-ов)
MsgLoggedInAs,Вошёл в систему как
MsgPriceChangesWaiting,Ожидаем принятие цен
MsgPriceChangesTapHere,"Нажмите здесь, чтобы продолжить"
MsgPriceRefreshInProcess,обновление цены в прогрессе 
MsgPriceChanges,Изменения цен
MsgPriceChangesPriceChangesAvailable,Изменения цен доступны .
MsgPriceChangesLogoutMessage,"Пожалуйста,  log out и обновление начнется автоматически."
MsgPriceChangesAcceptMessage,"Если вы принимаете , обновление начнется автоматически."
MsgPriceChangesNote,"Пожалуйста, примите изменения в конфигурации станции %@ "
MsgPriceChangesNoteWait,"podozhdete, вы будете уведомлены в течение 5 минут ."
MsgPriceChangesNoteWaitXMinutes,"podozhdete, вы будете уведомлены в течение 5 минут ."
MsgPriceChangesWarning,Внимание : Ваша конфигурация станции не установлена на внутреннем интерфейсе . Ваш Forecourt контроллер не будет обновляться .
MsgPriceChangesCurrentPrice,Текущая цена
MsgPriceChangesNewPrice,Новая цена
MsgPriceChangesWetstockMessage,Измененные цены на Wetstock доступны .
MsgGasStationSettingsRefreshRequired,ожидаем принятия обновленных настроек и / или измененных цен 
MsgAppliedPumpPricePrice,приложенная Sell Out цена
MsgSmsMessageSuccessfullySentTo,Сообщение успешно отправлено %@.
MsgSentSmsIsNotDelivered,Смс сообщение к %@ не доставлено.
MsgCanceledByPhone,Отменено по телефону
MsgSalesDailyCashDescription,"Подробный список наличных трансакций, от начинающих до ожидаемых денежных средств"
MsgSalesDailyPaymentSummaryDescription,Сумма платежей по каждому виду платежа 
MsgSalesDailyPaymentLogDescription,"Подробный список платежей, полученных , сгруппированные по типу оплаты."
MsgSalesReportDescription,"обширный, конфигурируемый отчет о продажах. Включает в себя данные о сумме продаж, скидках, аннуляциях, возвратах, платежах и обязательствах."
MsgSalesReportDescriptionRevelLite,"обширный, конфигурируемый отчет о продажах. Включает в себя данные о сумме продаж, скидках, аннуляциях, возвратах, платежах и обязательствах."
MsgSalesSummaryCashLog,Ежедневный журнал денежных средств
MsgSalesSummaryPaymentSummary,сумма/итог дневных заказов
MsgSalesSummarySalesReport,Отчет о продажах
MsgOrderIsNotCompliant,Заказ не соответствует правилам
MsgITLUpdatePrices,Обновить цены
MsgITLSetupForecourt,Установить Forecourt
MsgITLUpdateForecourt,Обновить Forecourt
MsgITLForecourtConnectionStatus,Состояние соединения Forecourt 
MsgITLActiveTransactions,Активные транзакции
MsgITLUpdateLogs,Обновить записи в регистрационном журнале
MsgITLSendToSupport,Отправить в службу поддержки
MsgITLFullLogs,Все записи в регистрационном журнале
MsgITLRequestFailedUnknownStatus,Запрос не удался. Статус неизвестен.
MsgITLLogOut,Выход из системы
MsgITLLogIn,Вход в систему
MsgITLAllDataWillBeErased,"Имейте ввиду, все данные будут удалены, как только установка завершится, если вы собираетесь полностью перенастроить forecourt "
MsgITLPleaseDisconnect,"Пожалуйста, отключите перед обновлением"
MsgITLFetchingStatus,Получаем статус
MsgITLMeterReadings,Показания счетчика
MsgITLSendMeterReadings,Отправить показания счетчика
MsgITLFetchingMeterReadings,Получаем показания счетчика
MsgITLFetchingMeterReadingsFailed,Не удалось получить
MsgHintPosSettings,Настройки POS-станции
MsgHintPosSettingsMsg,"В этом разделе вы можете позволить сотрудникам настроить кассовые аппараты, отключить автономные платежи кредитными карточками, включить тестовый режим и многое другое."
MsgHintLock,Заблокировать POS терминал
MsgHintLockMsg,"Используйте этот раздел, чтобы ограничить доступ к отдельным POS-терминалам. (Имейте ввиду, что сотрудники с правами владельца или менеджера всегда имеют доступ к любому терминалу.)"
MsgHintFinancials,Финансовые отчеты
MsgHintFinancialsMsg,"На этом экране вы найдете краткие финансовые отчеты, которые можно распечатать. Более исчерпывающие отчеты, можно найти в бэк-офис консоли управления (вкладка Отчеты ) ."
MsgHintOfflinePayments,Автономные платежи
MsgHintOfflinePaymentsMsg,"Если процесс \""Конец Дня\"" (настраивается в консоли управления ) не включает обзор автономных платежей, Вы можете просматривать и обрабатывать автономные платежи, которые не были обработаны автоматически, на этом экране. (Автономная обработка обычно происходит, как только ваше соединение к Интернету было восстановлено.) Вы увидите идентификатор транзакции, имена владельцев карт (если клиент сохранен в системе ), последние четыре цифры платежных карт, дату/время транзакции, и общие суммы оплаты (включая чаевые).\n\nНажмите \""Запустить\"" в верхней части экрана, чтобы обработать указанные платежи. Если какие-либо платежи будут отклонены, они будут перемещены на экран отклоненных платежей. (Примечание: Если вы просматриваете автономные платежи в рамках процесса \""Конец Дня\"" и POS по-прежнему находится в автономном режиме, процесс не сможет быть завершен, пока подключение к сети не будет восстановлено.)"
MsgHintDeclinePayments,Отклоненные платежи
MsgHintDeclinePaymentsMsg,"Вы можете использовать этот экран, чтобы просмотреть отклоненные платежи, если процедура Конец Дня (настраивается в консоли управления) уже не требуюет их пересмотра. Вы увидите подробную информацию о каждом отклоненном платеже, включая причины отклонения (например, недействительный номер карты).\n\nНажмите кнопку Повторить, чтобы повторить попытку обработки платежа.\n.\nЕсли платеж все еще отклонен—и если вы исчерпали все попытки получить платеж/получили платеж за пределами Revel—проведите пальцем вправо, чтобы удалить его из таблицы. Если вы выберите опцию Удалить, вы увидите предупреждение, подтверждающее, что вы собираетесь удалить платеж."
MsgHintSyncLog,Журнал синхр.
MsgHintSyncLogMsg,Этот раздел поможет службе поддержки Revel с решением проблем синхронизации iPad-сервера.
MsgHintTroubleShoot,Режим поиска и устранения неисправностей
MsgHintTroubleShootMsg,"В случае, если вам нужно обратиться в службу поддержки, вам может быть предложено использовать режим Troubleshoot - находится здесь - чтобы отправить нам полезную информацию о вашей установке."
MsgHintBatchProcess,Обработка партии
MsgHintBatchProcessMsg,"На экране Обработка партии, можно установить и записать все чаевые, вместе или по-отдельности.\n\nЧтобы сделать это по-отдельности, введите сумму чаевых в поле Чаевые, затем нажмите синюю кнопку Обработать, которая находится справа.\n\nДругой вариант заключается в заполнении всех полей чаевых для заказов; вы можете нажать Обработать в правом верхнем углу экрана, чтобы одновременно обработать все транзакции."
MsgHintEodProcess,"Процедура \""Конец Дня\"""
MsgHintEodProcessMsg,"Процедуру \""Конец Дня\"" можно адаптировать так, чтобы закрыть все транзакции текущего дня и подготовить систему для след. рабочего дня. Эта функция гарантирует последовательное и своевременное завершение важных бизнес-процессов.\n \nВ Консоли Управления > Настройки > Расширенные Настройки POS, администратор может настроить оповещения, чтобы побудить сотрудников запустить процесс \""Конец Дня\"".\n\nЭкран POS проведет вас через процесс \""Конец Дня\"". После этого, можно генерировать отчет \""Конец Дня\"". Журнал активности можно получить в Консоли Управления."
MsgHintManageItem,Режим редактирования позиции
MsgHintManageItemMsg,"Вы можете использовать Режим редактирования позиции, чтобы сделать быстрые изменения с помощью iPad в списке меню/продукт. Вы можете добавить новые категории, подкатегории, и продукты, или внести изменения в существующие категории, подкатегории, или продукты."
MsgHintTable,Экран стола
MsgHintTableMsg,"Нажмите на столик, чтобы начать новый заказ или открыть существующий. Серый цвет значит, что стол свободен. Синий, зеленый или красный цвет значит, что стол занят, и каждый цвет соответствует определенному статусу заказа. Нажмите и задержите кнопку немного дольше, чтобы получить доступ к дополнительным опциям (Передвинуть Заказ, Передать Заказ, Посмотреть Детали Таймера). Проведите пальцем по экрану(влево или вправо) для переключения секций ресторана (добавленных в консоли управления).\n\nВы можете использовать значок детали, который находится под Новый Заказ, чтобы увидеть больше деталей в Table List.\n\nЧтобы открыть или искать секции бара, нажмите на вкладки бара в верхней части экрана.\n\nЕсли включены, вкладки Список ожидания и Список резерваций также доступны."
MsgHintBar,Экран Счет за бар
MsgHintBarMsg,"Нажмите на серый квадрат, чтобы начать новый заказ для бара, или синий, чтоб открыть существующий заказ. Нажмите и задержите кнопку немного дольше, чтобы получить доступ к дополнительным опциям (Передвинуть Заказ, Передать Заказ, Посмотреть Детали Таймера). Используйте увеличительное стекло слева от Новая Вкладка, чтобы сделать поиск по имени клиента, идентификационному номеру заказа, или номеру вкладки."
MsgHintOrderMenuTable,Экран заказа: Режим Меню
MsgHintOrderMenuTableMsg,"Используйте правую сторону этого экрана, чтобы добавить предметы к заказам. Нажмите Категории и Подкатегории, чтобы перейти к нужному пункту в разделе Продукты, затем нажмите предмет, чтобы добавить его в заказ—вы увидите название предмета, его количество, цену, и обновленную сумму с левой стороны экрана. Чтобы найти элементы в списке меню/продукты, нажмите Поиск в правом верхнем углу.\n\nНажмите на синюю кнопку Отправить Заказ, чтобы отправить заказ на кухню/Кухонный Дисплей (при его наличии). Вы можете отменить заказ (перед его отправкой на кухню) с помощью кнопки Отменить Заказ. Для выхода из заказа и чтобы вернуться к нему позже, нажмите Удержать заказ—нажмите кнопку Заказы в верхней части экрана, когда вы будете готовы открыть этот заказ.\n\nЧтобы открыть панель с опциями для модификации продукта, нажмите любой элемент в окне заказа, закрашенный белым или синим цветом (отправленные на кухню заказы выделены серым цветом и имеют ограниченные возможности для модификации).\n\nВ заключение, вы увидите множество круглых кнопок в левом нижнем углу экрана; наличие разных кнопок зависит от конфигурации POS, но общие конфигурации включают в себя: применить скидки, добавить цену за услуги, переместить заказы между столами или передать заказы новым сотрудникам."
MsgHintOrderMenuRetail,Экран заказа: Режим Меню
MsgHintOrderMenuRetailMsg,"Используйте правую сторону этого экрана, чтобы добавить товары к заказам. Нажмите Категории и Подкатегории, чтобы перейти к нужному пункту в разделе Продукты, затем выберите товар, чтобы добавить его в заказ—вы увидите его название, количество, цену, и обновленную сумму с левой стороны экрана. Чтобы найти элементы в списке меню/продукты, нажмите Поиск в правом верхнем углу. Вы также можете добавить товары к заказу просканировав их штрих-код.\n\nВы можете отменить заказ (до того как он сохранен) с помощью кнопки Отменить Заказ. Чтобы выйти из заказа и вернуться к нему позже, нажмите Удержать Заказ—нажмите кнопку Заказы в верхней части экрана, чтобы к нему вернуться, когда вы будете готов.\n\nЧтобы открыть панель с опциями для модификации продукта, нажмите любой элемент в окне заказа, закрашенный белым или синим цветом (товары, которые уже сохранены, выделены серым цветом и имею ограниченные возможности для модификации).\n\nВ заключение, вы увидите множество круглых кнопок в левом нижнем углу экрана; наличие разных кнопок зависит от конфигурации POS, но общие конфигурации включают в себя: применить скидки, добавить цену за услуги, открыть кассу."
MsgHintOrderPaymentsTable,Экран заказа: Режим Платежей
MsgHintOrderPaymentsTableMsg,"После нажатия на синюю кнопку Pay с левой стороны на Экране Заказов, вы ввойдете в режим платежей и увидите новую панель, скользящую по списке меню/продукт.\n\nСумма задолженности синего цвета находится в верхнем левом углу панели. Эта сумма будет собрана с помощью выбранного способа оплаты. Вы можете ввести предполагаемую сумму на PinPad перед выбором способа оплаты. Если оплата производится наличными, сдача будет отображаться красным цветом в поле сдача.\n\nНажмите Сумма Чаевых, чтобы добавить чаевые к завершенному платежу. Нажмите OK, чтобы введенные чаевые к транзакции, или Отмена, чтобы выйти без добавления чаевых.\n\nНажмите Электронная почта, чтобы ввести адрес электронной почты для отправки чека​. Распечатать напечатает дополнительную квитанцию.\n\nНажмите Возмещение Платежей, чтобы возместить некоторые или все транзакции без удаления заказа или товаров в заказе.\n\nПосле того, как заказ завершен, нажмите Готово, чтобы его закрыть."
MsgHintOrderPaymentsRetail,Экран заказа: Режим Платежей
MsgHintOrderPaymentsRetailMsg,"После нажатия на синюю кнопку Pay с левой стороны на Экране Заказов, вы ввойдете в режим платежей и увидите новую панель, скользящую по списке меню/продукт.\n\nСумма задолженности синего цвета находится в верхнем левом углу панели. Эта сумма будет собрана с помощью выбранного способа оплаты. Вы можете ввести предполагаемую сумму на PinPad перед выбором способа оплаты. Если оплата производится наличными, сдача будет отображаться красным цветом в поле сдача.\n\nНажмите Электронная почта, чтобы ввести адрес электронной почты для отправки чека​. Распечатать напечатает дополнительную квитанцию.\n\nНажмите Возмещение Платежей, чтобы возместить некоторые или все транзакции без удаления заказа или товаров в заказе.\n\nПосле того, как заказ завершен, нажмите Готово, чтобы его закрыть."
MsgCustomPrinterErrorHasBeenHappened,"Произошла ошибка принтера. Пожалуйста, свяжитесь с технической службой."
MsgCustomPrinterErrorCode,Код ошибки
MsgCustomPrinterNearPaperEnd,"Бумага заканчивается! Пожалуйста, замените."
MsgCustomPrinterPaperEnd,"Ошибка, потому-что заканчивается бумага. Пожалуйста, замените бумагу."
MsgCustomPrinterEjFull,"Электронный журнал заполнен! Пожалуйста, замените или обратитесь в службу технической поддержки."
MsgCustomPrinterEjNearlyFull,"Электронный журнал почти заполнен! Пожалуйста, замените или обратитесь в службу технической поддержки."
MsgCustomPrinterPleaseCheckTheCoverIsClose,"Пожалуйста, проверьте или крышка закрыта."
MsgCustomPrinterCustomerDisplayIsDisconnected,Дисплей клиента отключен.
MsgItemNotReturnable,Эта вещь не принадлежит возврату.
MsgHouseAccountPaymentHistory,Платежи
MsgHouseAccountFetchingData,Внутренние счета
MsgHouseAccountFailedToFetch,Не удалось получить отчет. Проверьте подключение к Интернету и повторите попытку.
MsgHouseAccountPaymentType,Способ оплаты
MsgHouseAccountDisplayHouseAccountPayments,Показать только внутренние счета
MsgHouseAccountUnpaidHouseAccountOrders,Внутренние счета
MsgHouseAccountErrorAccountNotEnabledForEstablishment,Текущее устройство отсутствует в организации %d.
MsgHouseAccountErrorAccountNotEnabledForCustomer,сумма ENT была возвращена на карту
MsgHouseAccountErrorFailedToSyncPayment,Не удалось обновить запись платежа.
MsgHouseAccountPayment,Внутренние счета
MsgHouseAccountPayments,Внутренние счета
MsgHouseAccountLocked,Заказ был отредактирован %@ на станции %@.
MsgOnboardingEstablishmentNotSet,Не задана организация.\nОбновите POS.
MsgOnboardingFailedToSaveBackendSettings,Не удалось обновить чаевые.
MsgOnboardingFailedToSaveSupportTopics,Не удалось обновить чаевые.
BtnOnboardingCloseWizard,Закрыть заказ
MsgOnboardingBusinessType,Вид топлива
MsgOnboardingAdditionalSetUpAssistance,Дополнительные действия
BtnOnboardingRetail,Розница
BtnOnboardingQuickService,Услуга
BtnOnboardingTableService,Обл. нал. сборы за обсл.
MsgOnboardingPaymentMethods,Выберите способ оплаты.
MsgOnboardingBusinessName,Название адреса
MsgOnboardingAddress1,Адрес
MsgOnboardingAddress2,Адрес
MsgOnboardingProvince,Штат/провинция
MsgOnboardingTaxName,Контактное лицо
MsgOnboardingPointOfSale,Бонусные баллы
MsgOnboardingIsRequired,* Все поля обязательны для заполнения.
MsgOnboardingPaymentType,ПЛАТЕЖИ
MsgOnboardingPrintReceipt,ЧЕК ПО ВНЕСЕНИЮ
MsgOnboardingPaymentProcessors,Обработка платежей
MsgOnboardingSelectYourProcessor,Выберите продукты.
MsgOnboardingReturns,Возвраты
MsgOnboardingHowWouldYoLikeToHandleReturns,Выберите способ оплаты.
MsgOnboardingDebitCard,Кредитная карта
MsgOnboardingCreditPlus,Credit +
MsgOnboardingAllowReturnsWithoutReceipt,Распечатать чек?
