LocaleIdentifier,QA
MsgPleaseFillRefCode,ЖPlease fill Ref. Code
MsgThereArentAvailableSeatsWouldYouLike,ЖThere aren't available seats. Would you like to create new reservation?
MsgWalkIn,ЖWalk In
MsgCallIn,ЖCall In
MsgShortManual,ЖM: %ld
MsgPartyNSize,ЖParty\nSize
MsgPartySize,ЖParty Size
MsgEnterPartySize,ЖEnter Party Size
MsgCheckNIn,ЖCheck\nin
MsgThisTableIsOccupiedWhatWouldYouLikeToDo,ЖThis table is occupied. What would you like to do?
MsgMerge,ЖMerge
MsgKeepSeparate,ЖKeep Separate
MsgSeated,ЖSeated
MsgPleaseSelectAnyTable,ЖPlease select any table
MsgAssign,ЖAssign
MsgPleaseSelectTableSections,ЖPlease Select Table Sections
MsgTables,ЖTables
MsgTable(s),ЖTable(s)
MsgHistory,ЖHistory
MsgPresent,ЖPresent
MsgWaiting,ЖTime Waiting
MsgWaited,ЖTime Waited
MsgTargeted,ЖTime Targeted
MsgTimeNSeatedNRemoved,ЖTime\nSeated/\nRemoved
MsgRemovalReason,ЖRemoval reason
MsgReasonForRemoval,ЖReason for removal
MsgReturnToWaitlist,ЖReturn to Waitlist
MsgEst.TimeNUntilReady,ЖEst. Time\nUntil Ready
MsgEditNEntry,ЖEdit\nEntry
MsgSeatNParty,ЖSeat\nParty
MsgNewParty,Ж+ New Party
MsgReservationsDashboard,ЖReservations Dashboard
MsgCapacityUtilization,ЖCapacity Utilization
MsgRefreshing,ЖRefreshing
MsgIncludedTags,ЖIncluded Tags
MsgDaysIncludedInAverage,ЖDays included in Average
MsgQuotedWait,ЖQuoted Wait
MsgPartyDetails,ЖParty Details
MsgTablePreferences,ЖTable Preferences
MsgAddToWaitlist,ЖAdd to Waitlist
MsgFilterByPreferences,ЖFilter By Preferences
MsgNParties,Ж\nParties
MsgTotalGuests,ЖTotal Guests
MsgAvailableTables,ЖAvailable Tables
MsgAvailableCapacity,ЖAvailable Capacity
MsgReservations,ЖReservations
MsgSendMessage(s),ЖSend Message(s):
MsgHistoryIsNotSupportedNow,ЖHistory is not supported now.
MsgSections,ЖSections
MsgSuggestions,ЖSuggestions
MsgAllTables,ЖAll Tables
MsgSeating,ЖSeating
MsgDay(s),Жday(s)
MsgSomeChangesHaveBeenMade,ЖSome changes have been made. Would you like to save before continuing?
MsgOrderCanceled,ЖOrder Canceled
MsgOrderClosed,ЖOrder Closed
MsgKeyTableStatus,ЖKey - Table Status
MsgPartyAutoNotify,ЖAuto notify by text
MsgWaitlistSearchPlaceholder,ЖEnter Table # or Customer Name
MsgFieldRequiredToSaveCustomerRecord,"Ж%@ is required to save a customer record in the Revel system as configured.  Please dismiss this window and enter the valid and unique customer %@ or press \""continue\"" to book the party without saving a customer record permanently."
MsgWaitlistPhoneNumber,ЖPhone number
MsgReserved,ЖReserved
MsgNoShow,ЖNo Show
MsgReservation,ЖReservation
MsgTableReservations,ЖTable Reservations
MsgIncomingSms,ЖIncoming Sms
MsgOutcomingSms,ЖOutcoming Sms
MsgGasStationStartFueltransactionConfirmation,ЖWould you like to authorize transaction for %@?\n\nHose Number: %d\nVolume: %.2f\nPrice: %.2f\nTotal Price: %.2f
MsgGasStationSelectClearType,ЖSelect a Clear Type
MsgGasStationFailedToClearTransactionPleaseTryAgain,"ЖFailed to clear transaction, please try again"
MsgGasStationInternalErrorNoFuelTransactionFound,ЖInternal error. No fuel transaction found
MsgSomeTransactionsAreNotCleared,Ж%d transaction(s) are not cleared
MsgForecourtSuccessfullyUpdated,ЖForecourt controller successfully updated
MsgForecourtController,ЖForecourt Controller
MsgForecourtControllerPriceUpdateFailed,ЖForecourt Controller price update failed. Please update manually
MsgForecourtControllerTimeNotMatch,ЖForecourt Controller and POS time does not match.
MsgForecourtControllerTapHere,ЖTap here
MsgForecourtControllerTimeNotMatchBriefText,"ЖForecourt Controller and POS time does not match. This can cause issues with reporting and fiscal devices. Please check POS time, and if it is correct, contact Support for further assistance"
BtnMoveOrdersMove,ЖMove
BtnMoveOrdersMerge,ЖMerge
BtnMoveOrdersTablesInUse,ЖShow Tables in Use
BtnMoveOrdersTablesNotInUse,ЖShow Tables Not in Use
MsgMoveOrdersIsNotPossible,ЖMoving is not possible because the destination or source order is not synced to the main POS.
MsgMoveOrdersTableHeader,ЖMove/Merge Orders
MsgMoveOrdersPleaseSelectOrders,ЖPlease select one or more orders
MsgMoveOrdersOtherOrders,ЖOther Orders
MsgMoveOrdersSortBy,ЖSort by
MsgMoveOrdersTableOrTab,ЖTable / Tab
MsgMoveOrdersOrderStatus,ЖOrder Status
BtnMoveOrdersTodaysOrdersByEmp,ЖToday's Orders - by Emp.
BtnMoveOrdersTodaysOrdersByTab,ЖToday's Orders - by Tab.
BtnMoveOrdersTodaysOrdersByCap,ЖToday's Orders - by Cap.
BtnMoveOrdersTodaysOrdersBySec,ЖToday's Orders - by Sec.
BtnMoveOrdersTodaysOrdersByOrdS,ЖToday's Orders - by OrdS.
BtnMoveOrdersTodaysOrdersByOrd,ЖToday's Orders - by Ord.
MsgMoveOrdersAllSections,ЖAll Sections
MsgMoveOrdersSelectDestination,ЖSelect a destination
MsgMoveOrdersRefundManually,ЖOnly items can be moved.  The payments on order %@ cannot be moved and must be manually refunded
MsgMergeOrdersWhichToKeep,ЖWhich Order Would You Like to Keep?
MsgMergeOrdersTableHeader,ЖMerge Orders | Select Orders to Merge
MsgMoveOrdersPaymentsRefundManually,ЖThe payments on orders: %@ cannot be moved and must be manually refunded
MsgMoveOrdersPaymentsDiscountMove,ЖThe discounts on orders cannot be moved and must be manually reapplied
MsgMoveOrdersPaymentsServiceFeeMove,ЖThe service fees on orders cannot be moved and must be manually reapplied
MsgMergeOrderSplitBillsClear,ЖSplit bills on order: %@ will be cleared. Are you sure?
MsgMoveMergeOrderPaymentMoved,ЖOriginal Payment Moved To Order
MsgMergeOrders,ЖMerge Orders
MsgMoveOrdersIsNotPossibleDueDestinationOrder,ЖMerge is not possible because the destination Order# %@ has split bills and payment(s). Please clear split bills manually.
MsgGiftCardBlances,ЖYour new balances are displayed below
MsgBLEServiceGiftRewardCaption,ЖGift Card / Reward Card
MsgOrderCustomerTrackingNumber,"ЖOrder #, customer, tracking number"
MsgOrderCustomer,"ЖOrder #, Customer"
MsgShipped,ЖShipped
MsgNormal,ЖNormal
MsgComments,ЖComments
MsgKdsShowQuantity,ЖShow Quantity
MsgKdsCallNameFontSize,ЖCall Name Font Size:
MsgKdsDoubleTapDoneonWaitingOrders,ЖDouble Tap Done on Waiting Orders
MsgAddNewCheck,ЖAdd New Check
MsgGiftWithPurchase,ЖGift With Purchase
MsgOrderQualifiesForGifts,ЖThis order qualifies for the following gift(s)
MsgWetstockOverviewHeader,ЖWetstock Management - Overview
MsgWetstockPumpManagementHeader,ЖWetstock Management - Pump Management
BtnWetstockEndOfDay,ЖEnd of Day
BtnWetstockEndOfMonth,ЖEnd of Month
BtnWetstockInitialization,ЖInitialization
BtnWetstockReconcile,ЖReconcile
BtnWetstockDetails,ЖDetails
MsgWetstockReconcileHeader,ЖPump Meter Reconcilation
MsgWetstockDateTime,ЖDate / Time
MsgWetstockEvent,ЖEvent
MsgWetstockAmtDispenced,ЖAmt. Dispenced
MsgWetstockAmtonMeter,ЖAmt. on Meter
MsgWetstockGrade,ЖGrade
MsgWetstockAllHoses,ЖAll Hoses
MsgWetstockTransactionSale,ЖSale
MsgWetstockTransactionReconcile,ЖReconcile
MsgWetstockReconcilationNotes,ЖReconcilation Notes
BtnWetstockTankTransfer,ЖTank Transfer
BtnWetstockPrintForecourtMap,ЖPrint Forecourt Map
MsgWetstockPumpNotResponding,ЖNot Responding
MsgWetstockPumpNotInstalled,ЖNot Installed
MsgWetstockPumpBusy,ЖBusy
MsgWetstockManualPump,ЖManual Pump
MsgWetstockFullyOperational,ЖFully Operational
MsgWetstockFuelPumps,ЖFuel Pumps
MsgWetstockTanks,ЖTanks
BtnWetstockViewDetails,ЖView\nDetails
MsgWetstockTotalFuelBookstock,ЖTotal Fuel Bookstock
MsgWetstockTotalValueFuelRemaining,ЖTotal Value Fuel Remaining
MsgWetstockFuelStock,ЖFuel Stock
MsgWetstockTankInfo,ЖTank Info
MsgWetstockAllTanks,ЖAll-Tanks
MsgWetstockTankManagement,ЖTank Management
MsgWetstockTransactionPumpTest,ЖPump Test
MsgWetstockTransactionTankTransfer,ЖIntertank Transfer
MsgWetstockFuelType,ЖFuel Type
MsgWetstockFullCapacity,ЖFull Capacity
MsgWetstockSafeWorkingCapacity,ЖSafe Working Capacity
MsgWetstockCurrentVolume,ЖCurrent Volume
MsgWetstockUllage,ЖUllage
MsgWetstockWaterLevel,ЖWater Level
MsgWetstockOperational,ЖOperational
MsgWetstockBlocked,ЖBlocked
MsgWetstockTransferAmount,ЖTransfer Amount
MsgWetstockTransferTankNotPossibleToTransfer,ЖIt's not possible to transfer fuel into the same tank
MsgWetstockTransactionPumpTestReturn,ЖPump Test Return
MsgFailedToUpdateTips,ЖFailed to update tips
MsgNothingToUpdate,ЖNothing to update
MsgTransferTo,ЖTransfer To
MsgHours,Жhour(s)
MsgLoggedInAs,ЖLogged in as
MsgPriceChangesWaiting,ЖPrice changes are waiting to be accepted.
MsgPriceChangesTapHere,ЖTap here to continue
MsgPriceRefreshInProcess,ЖPrice update is in progress...
MsgPriceChanges,ЖPrice Changes
MsgPriceChangesPriceChangesAvailable,ЖPrice changes are available.
MsgPriceChangesLogoutMessage,ЖPlease log out and update will start automatically.
MsgPriceChangesAcceptMessage,"ЖIf you accept, update will start automatically."
MsgPriceChangesNote,ЖPlease accept changes on configuration station %@ as well
MsgPriceChangesNoteWait,"ЖIf you wait, you will be reminded in 5 minutes."
MsgPriceChangesNoteWaitXMinutes,"ЖIf you wait, you will be reminded in %d minute(s)"
MsgPriceChangesWarning,ЖWarning: Your configuration station is not set on the backend. Your Forecourt Controller will not be updated.
MsgPriceChangesCurrentPrice,ЖCurrent Price
MsgPriceChangesNewPrice,ЖNew Price
MsgPriceChangesWetstockMessage,ЖPrice changes for Wetstock are available.
MsgGasStationSettingsRefreshRequired,ЖSettings update and/or price changes are waiting to be accepted.
MsgAppliedSelloutPrice,ЖApplied Sell Out Price
MsgSmsMessageSuccessfullySentTo,ЖSms message successfully sent to %@.
MsgSentSmsIsNotDelivered,ЖSms message to %@ was not delivered.
MsgCanceledByPhone,ЖCanceled by phone
MsgSalesDailyCashDescription,"ЖAn itemized list of cash transactions, from starting cash to cash expected in till."
MsgSalesDailyPaymentSummaryDescription,ЖSummarized payment totals for each payment type.
MsgSalesDailyPaymentLogDescription,"ЖAn itemized list of payments received, grouped by payment type."
MsgSalesReportDescription,"ЖA comprehensive, configurable sales report. Includes summarized sales, discounts, voids, refunds, payments and liabilities data."
MsgSalesSummaryCashLog,ЖDaily Cash Log
MsgSalesSummaryPaymentSummary,ЖDaily Payment Summary
MsgSalesSummarySalesReport,ЖSales Report
MsgOrderIsNotCompliant,ЖOrder is not compliant
MsgITLUpdatePrices,ЖUpdate Prices
MsgITLSetupForecourt,ЖSetup Forecourt
MsgITLUpdateForecourt,ЖUpdate Forecourt
MsgITLForecourtConnectionStatus,ЖForecourt connection status
MsgITLActiveTransactions,ЖActive transactions
MsgITLUpdateLogs,ЖUpdate Logs
MsgITLSendToSupport,ЖSend to Support
MsgITLFullLogs,ЖFull logs
MsgITLRequestFailedUnknownStatus,ЖRequest failed with unknown status
MsgITLLogOut,ЖLog out
MsgITLLogIn,ЖLog in
MsgITLAllDataWillBeErased,ЖAll data will be erased once setup is completed. Please be sure if you are going to reconfigure forecourt completely
MsgITLPleaseDisconnect,ЖPlease disconnect before update
MsgITLFetchingStatus,ЖFetching status
MsgITLMeterReadings,ЖMeter readings
MsgITLSendMeterReadings,ЖSend Meter Readings
MsgITLFetchingMeterReadings,ЖFetching meter readings
MsgITLFetchingMeterReadingsFailed,ЖFetch failed
MsgHintPosSettings,ЖPOS Settings
MsgHintPosSettingsMsg,"ЖFrom this section, you can allow employees to set cash drawers, disable offline credit card payments, enable Test Mode, and more."
MsgHintLock,ЖLock to POS Terminal
MsgHintLockMsg,ЖUse this section to restrict certain employees to individual POS terminals. (Note that employees with Owner or Manager permissions can always log in to any terminal.)
MsgHintFinancials,ЖFinancials
MsgHintFinancialsMsg,"ЖOn this screen, you'll find concise, printable financial reports. For more exhaustive reporting options, visit the Back-Office Management Console (Reports tab)."
MsgHintOfflinePayments,ЖOffline Payments
MsgHintOfflinePaymentsMsg,"ЖIf your End-of-Day Process (configured in the Management Console) does not already include an offline payments review, this screen allows you to view and process offline payments that were not reprocessed automatically (this usually happens as soon as your connection to the Internet is restored). You'll see transaction IDs, cardholder names (if the customer is saved in the system), the payment cards' last four digits, transaction dates/times, and total payment amounts (including any tips).\n\nTap Force at the top of the screen to process the listed payments. If any payments are declined, they'll be moved to the Declined Payments screen. (Note: If you are reviewing offline payments as part of the End-of-Day Process and the POS is still in Offline Mode, the Process will not be able to be completed until your network connection is restored.)"
MsgHintDeclinePayments,ЖDeclined Payments
MsgHintDeclinePaymentsMsg,"ЖIf your End-of-Day Process (configured in the Management Console) does not already require a review of declined payments, you can use this screen to address them. You'll see details about each declined payment, including the reason for the decline (an invalid card number, for example).\n\nTap the Retry button to attempt to process the payment again.\n\nIf the payment is still declined and if you have exhausted all other options for reclaiming the declined payment / have reclaimed it outside of Revel - you'll need to swipe right to delete it from the table. If you select the Delete option, you'll see a warning confirming that you're about to delete the payment."
MsgHintSyncLog,ЖSync Log
MsgHintSyncLogMsg,ЖThis section will assist Revel Support in resolving iPad-server sync problems.
MsgHintTroubleShoot,ЖTroubleshoot Mode
MsgHintTroubleShootMsg,"ЖIn the event you need to contact Support, you may be asked to use Troubleshoot Mode to send us useful information about your setup."
MsgHintBatchProcess,ЖBatch Process
MsgHintBatchProcessMsg,"ЖWith the Batch Process screen, it's possible to adjust and capture all tips either at once or individually.\n\nTo do this individually, enter the tip amount in the tip field for an order, then tap the blue Capture button to the right.\n\nThe other option is to fill in all the tip fields for orders; you can then tap Capture in the top-right corner of the screen to capture all transactions at once."
MsgHintEodProcess,ЖEnd-of-Day Process
MsgHintEodProcessMsg,"ЖA customized End-of-Day Process can be created to settle the current day’s activity and reset the system for the next business day. This feature ensures that important business procedures are completed in a consistent and timely manner.\n\nAn administrator can configure (via the Management Console > Settings > Advanced POS Settings) an alert at a time of his/her choosing to prompt employees to run the End-of-Day Process.\n\nThe POS screen will guide you through the End-of-Day Process. Afterward, an End-of-Day Report can be generated at the point of sale, and a log of activity is available in the Management Console."
MsgHintManageItem,ЖManage Item Mode
MsgHintManageItemMsg,"ЖYou can use Manage Item Mode to make quick changes to your menu/product list straight from the iPad. You can add new Categories, Subcategories, and Products, or tap existing Categories, Subcategories, or Products to make changes. "
MsgHintTable,ЖTable Screen
MsgHintTableMsg,"ЖQuick tap a table to start an order or open an existing order. Tables are gray when unoccupied, and colored (blue, green, or red) depending on the status of the order. Long Tap to access additional options (Move Order, Transfer Order, View Timer Details). Swipe left or right to switch restaurant sections (added in the Management Console).\n\nYou can use the details icon below New Order to switch to a more granular Table List view.\n\nTo open or search for bar tabs, tap Bar Tabs near the top of the screen.\n\nIf enabled for your establishment, Waitlist and Reservation tabs are also available."
MsgHintBar,ЖBar Tab Screen
MsgHintBarMsg,"ЖQuick tap a gray square to start a bar tab, or a blue square to open an existing tab. Long tap to access additional options (Move Order, Transfer Order, View Timer Details). Use the magnifying glass icon to the left of New Tab to search for a tab by customer name, order ID, or tab number."
MsgHintOrderMenuTable,ЖOrder Screen: Menu Mode
MsgHintOrderMenuTableMsg,"ЖUse the right side of this screen to add items to orders. Tap Category and Subcategory squares to drill down to the desired item in the Products section, then tap the item to add it to the order - you'll see the item name, quantity, price, and an updated total on the left side of the screen. To find items in crowded menus/product lists, tap Search in the top-right corner.\n\nTap the blue Send Order button to send the order to your kitchen printer/Kitchen Display (if available). You can cancel an order (before it's sent to the kitchen) with the Cancel Order button. To exit the order and return to it later, tap Hold Order - just use the Orders button at the top of the screen to pull it up when you're ready.\n\nTo open a pane with product modification options, tap any item in the order window highlighted in white or blue (items already sent to the kitchen, highlighted in gray, have more limited options available).\n\nFinally, you'll see a set of round buttons at the bottom-left corner of the screen; the buttons that appear depend on your POS configuration, but common configurations include options to apply discounts, add service fees, move orders between tables, or transfer orders to new employees."
MsgHintOrderMenuRetail,ЖOrder Screen: Menu Mode
MsgHintOrderMenuRetailMsg,"ЖUse the right side of this screen to add items to orders. Tap Category and Subcategory squares to drill down to the desired item in the Products section, then tap the item to add it to the order - you'll see the item name, quantity, price, and an updated total on the left side of the screen. To find items in crowded menus/product lists, tap Search in the top-right corner.  You may also add items to the order by scanning their barcode.\n\nYou can cancel an order (before it's saved) with the Cancel Order button. To exit the order and return to it later, tap Hold Order - just use the Orders button at the top of the screen to pull it up when you're ready.\n\nTo open a pane with product modification options, tap any item in the order window highlighted in white or blue (items already saved, highlighted in gray, have more limited options available).\n\nFinally, you'll see a set of round buttons at the bottom-left corner of the screen; the buttons that appear depend on your POS configuration, but common configurations include options to apply discounts, add service fees, or open the cash drawer."
MsgHintOrderPaymentsTable,ЖOrder Screen: Payments Mode
MsgHintOrderPaymentsTableMsg,"ЖAfter clicking the blue Pay button on the left side of the Order Screen, you'll enter Payments Mode and see a new panel slide over your menu/product list.\n\nThe balance due is located in the panel's top-left corner in blue. This amount will be collected via the payment option designated.  You may type in the amount tendered using the pin pad prior to selecting the payment option.  If the payment is cash, any change due will display in red in the change field.\n\nTap Tip Amount to add a tip to a completed payment. Press OK to add the entered tip amount to that transaction, or Cancel to exit without adding the tip.\n\nPress Email to enter an email address to send the receipt to. Reprint will print an extra receipt.\n\nTap Refund Payments to refund some or all of a transaction without deleting the order or the items in the order.\n\nOnce the order is settled, tap Done to close it."
MsgHintOrderPaymentsRetail,ЖOrder Screen: Payments Mode
MsgHintOrderPaymentsRetailMsg,"ЖAfter clicking the blue Pay button on the left side of the Order Screen, you'll enter Payments Mode and see a new panel slide over your product list.\n\nThe balance due is located in the panel's top-left corner in blue. This amount will be collected via the payment option designated.  You may type in the amount tendered using the pin pad prior to selecting the payment option.  If the payment is cash, any change due will display in red in the change field.\n\nPress Email to enter an email address to send the receipt to. Reprint will print an extra receipt.\n\nTap Refund Payments to refund some or all of a transaction without deleting the order or the items in the order.\n\nOnce the order is settled, tap Done to close it."
MsgCustomPrinterErrorHasBeenHappened,ЖPrinter error has been happened. Please contact the technical service.
MsgCustomPrinterErrorCode,ЖError code
MsgCustomPrinterNearPaperEnd,"ЖThe paper is nearly end, please replace as soon as possible."
MsgCustomPrinterPaperEnd,ЖError because of paper end. Please replace paper.
MsgCustomPrinterEjFull,"ЖThe electronic journal is full, please replace or contact the technical service."
MsgCustomPrinterEjNearlyFull,"ЖThe electronic journal is nearly full, replace as soon as possible or contact the technical service."
MsgCustomPrinterPleaseCheckTheCoverIsClose,ЖPlease check the cover is close.
MsgCustomPrinterCustomerDisplayIsDisconnected,ЖThe customer display is disconnected.
MsgItemNotReturnable,ЖThis item cannot be returned.
MsgHouseAccountPaymentHistory,ЖPayment History
MsgHouseAccountFetchingData,ЖFetching House Account Data
MsgHouseAccountFailedToFetch,ЖUnable to retrieve House Account information. Please check your internet connection and retry later.
MsgHouseAccountPaymentType,ЖPmt Type
MsgHouseAccountDisplayHouseAccountPayments,ЖDisplay House Account Payments
MsgHouseAccountUnpaidHouseAccountOrders,ЖUnpaid House Account Orders
MsgHouseAccountErrorAccountNotEnabledForEstablishment,ЖHouse Accounts have not been enabled for this establishment.
MsgHouseAccountErrorAccountNotEnabledForCustomer,ЖNo House Account has been created for this customer.
MsgHouseAccountErrorAccountLimitReached,ЖUnable to take payment. Maximum House Account limit has been reached.
MsgHouseAccountErrorFailedToSyncPayment,ЖFailed to sync House Account payment.
MsgHouseAccountPayment,ЖHouse Account Payment
MsgHouseAccountPayments,ЖHouse Account Payments
MsgHouseAccountPleaseHoldOrCloseCurrentOrder,ЖPlease hold or close the current order before proceeding to House Accounts.
MsgHouseAccountPleaseWaitUntilAllPaymentsSynced,ЖPlease wait until previous payments are synced to the server before proceeding to the customer House Account.
MsgHouseAccountLocked,ЖHouse Account was edited by %@ on station %@.
MsgHouseAccountCannotChangeCustomer,ЖCannot change customer on order with house account payment.
MsgTransactionID,ЖTransaction ID
BtnSetupInterview,ЖSetup Interview
MsgOnboardingEstablishmentNotSet,ЖNo establishment set.\nPlease refresh the POS.
MsgOnboardingFailedToSaveBackendSettings,ЖFailed to save backend settings
MsgOnboardingFailedToSaveSupportTopics,ЖFailed to save support topics
BtnOnboardingCloseWizard,ЖClose Wizard
BtnOnboardingStartSelling,ЖSTART SELLING
BtnOnboardingAcceptStartBilling,ЖI accept. Start Billing.
MsgOnboardingBusinessType,ЖBusiness Type
MsgOnboardingSelectYourIndustry,"ЖFirst thing's first! In order to set up your new Revel POS, please confirm your industry."
MsgOnboardingAdditionalSetUpAssistance,ЖAdditional Set Up Assistance
MsgOnboardingWhatElseWouldYouLike,"ЖAlong with the basic settings, what else would you like Revel to do for you?"
BtnOnboardingRetail,ЖRetail
BtnOnboardingQuickService,ЖQuick Service
BtnOnboardingTableService,ЖTable Service
BtnOnboardingFoodTruck,ЖFood Truck
BtnOnboardingSalon,ЖSalon
BtnOnboardingGrocery,ЖGrocery
MsgOnboardingLetsGetPersonal,ЖLet's Get Personal
MsgOnboardingInformationForYourBusiness,"ЖThis is the information we have for your business. We will display this information on various reports and customer receipts. If everything looks good, feel free to move on to the next step.\n\nIf you would like to make changes, please do so below."
MsgOnboardingPaymentMethods,ЖPayment Methods
MsgOnboardingWhatTypesOfPaymentsDoYouAccept,ЖWhat types of payments do you accept?
MsgOnboardingBusinessName,ЖBusiness Name
MsgOnboardingAddress1,ЖAddress 1
MsgOnboardingAddress2,ЖAddress 2
MsgOnboardingProvince,ЖProvince
MsgOnboardingEnterYourPrevailingTaxRate,"ЖEnter your tax rate below. For instance, if you charge 8.5%, enter 8.5 in the rate box. Do not enter .085."
MsgOnboardingTaxName,ЖTax Name
MsgOnboardingRatePercentage,ЖRate (%)
MsgOnboardingWhatElseShouldWeCover,ЖWhat else should we cover?
MsgOnboardingWhenYouCompleteThisWizardPOS,"ЖWhen you complete this wizard, a Revel specialist will call you to ensure that you are getting the most out of your new point of sale. Check any point of sale topics below that you would like to discuss during that call."
MsgOnboardingWhenYouCompleteThisWizardManagementConsole,"ЖWhen you complete this wizard, a Revel specialist will call you to ensure that you are getting the most out of the reporting and management system. Check any back office topics below that you would like to discuss during that call."
MsgOnboardingYouHaveCompletedTraining,ЖYou have completed training and setup and are now ready to GO LIVE!
MsgOnboardingCustomerSupportWillCall,ЖA Revel Customer Support Representative will call you to review the topics that you selected during setup.
MsgOnboardingPointOfSale,ЖPoint-of-Sale
MsgOnboardingBackOfficeManagementConsole,ЖBack Office Management Console
MsgOnboardingLetsGetSelling,ЖLet's Get Selling
MsgOnboardingIsRequired,Жis required
MsgOnboardingPaymentType,ЖPAYMENT TYPE
MsgOnboardingAccept,ЖACCEPT
MsgOnboardingPrintReceipt,ЖPRINT RECEIPT
MsgOnboardingCreditPlusTip,ЖEnable this payment type if you use a separate terminal / console to process payments that isn't integrated with Revel.
MsgOnboardingPaymentProcessors,ЖPayment Processor
MsgOnboardingWhoWillBeProcessingCC,"ЖBased on information you have provided us, you will be using the following company to process credit cards in your business. If this is incorrect or has changed, please discuss this when we call you back to continue setup."
MsgOnboardingSelectYourProcessor,ЖSelect Your Processor
MsgOnboardingReturns,ЖReturns
MsgOnboardingHowWouldYoLikeToHandleReturns,ЖHow would you like to handle returns?
MsgOnboardingDebitCard,ЖDebit Card
MsgOnboardingCreditPlus,ЖCredit Plus
MsgOnboardingAllowReturnsWithoutReceipt,ЖAllow returns without a receipt?
MsgOnboardingLimitReceiptlessReturnsTo,ЖLimit receiptless returns to
MsgOnboardingReceiptlessReturnTender,ЖReceiptless Return Tender
MsgOnboardingAnyone,ЖAnyone
MsgOnboardingCashCredit,ЖCash & Credit
MsgOnboardingWouldYouLikeSetUpProducts,"ЖWould you like to set up some categories, sub-categories and products on the iPad now?"
MsgOnboardingYouCanReturnToManageItemMode,ЖYou can return to the Manage Item Mode at any time in the future.
MsgOnboardingYouCanSetUpProductsFromManagementConsole,"ЖAlso, you can set up categories and products from the Management Console or via Bulk Import at any time."
MsgOnboardingPOSProductListMenuOptions,ЖPOS Product List & Menu Options
MsgOnboardingHowWouldYouLikeMenuProductListDisplayed,ЖHow would you like your menu/product list displayed on the point-of-sale?
MsgOnboardingEnableOneTouchMenu,ЖEnable One Touch Menu
MsgOnboardingTurnOnDynamicMenuHeaders,ЖTurn on Dynamic Menu Headers
MsgOnboardingStayOnLastItemAfterProductSelection,ЖStay on Last Item After Product Selection
MsgOnboardingOneTouchMenuTip,"ЖThis allows you to see only your categories on the Menu instead of categories, subcategories, and products. By the clicking on a specific category you will be able to that category’s subcategories. From there you can click on a subcategory and be able to see its’ products. Must be enabled to activate Stay On Last Item After Product Selection."
MsgOnboardingDynamicMenuHeadersTip,"ЖAdds a menu bar to the POS, above categories and products. The menu bars displays the currently selected category/subcategory. These icons can be used to navigate between different categories/subcategories."
MsgOnboardingStayOnLastItemTip,"ЖWhen enabled, the menu stays on the current product set after a product has been selected. Otherwise, it returns you to the category list."
MsgOnboardingAlwaysOnMode,ЖAlways On Mode
MsgOnboardingIfYouLoseConnection,"ЖIf you lose connection to the internet, Revel POS can keep your business up and running. Tell us how you would like to handle transactions while your internet connection is down."
MsgOnboardingEnableOfflineCreditCardPayments,ЖEnable offline credit card payments
MsgOnboardingMaximumAmountForSingleOfflinePayment,ЖMaximum amount for a single offline payment
MsgOnboardingMaximumAmountForUnprocessedOfflinePayments,ЖMaximum amount for all unprocessed offline payments
MsgOnboardingMaximumAmountForUnprocessedDeclinedPayments,ЖMaximum amount for all unprocessed declined payments
MsgOnboardingOneTimeLimit,ЖOne Time Limit
MsgOnboardingCumulativeLimit,ЖCumulative Limit
MsgOnboardingLoggingInOut,ЖLogging In and Out
MsgOnboardingHowWouldYouLikeEmployeesLogInOut,ЖHow would you like your employees to log in and out?
MsgOnboardingAutomaticallyLogOutInactiveEmployees,ЖAutomatically log out inactive employees
MsgOnboardingMaximumLengthOfInactivity,ЖMaximum length of inactivity
MsgOnboardingAutomaticallyLogOutAfterEachTransaction,ЖAutomatically log out after each transaction
MsgOnboardingCloseHeldReceiptsEachNight,ЖClose held receipts each night
MsgOnboardingCloseHeldReceiptsAt,ЖClose held receipts at
MsgOnboardingClockingIn,ЖClocking In
MsgOnboardingHowWouldYouLikeEmployeesToClockIn,ЖHow would you like to require employees to clock in
MsgOnboardingEmployeesMustClockInToAccessiPad,ЖEmployees must clock in to access the iPad
MsgOnboardingRequirePhotoToClockIn,ЖRequire photo to clock in
MsgOnboardingTermsConditions,ЖTerms and Conditions
BtnOnboardingSetUpProducts,ЖSET UP PRODUCTS
MsgOnboardingSecond,Жsecond
MsgOnboardingSeconds,Жseconds
MsgOnboardingEmployeeList,ЖEmployee List
MsgOnboardingWhoWorksForYou,ЖWho works for you?
MsgOnboardingWage,ЖWage
MsgOnboardingPINAlreadyExists,ЖPIN already exists
MsgOnboardingPINValidationFailed,ЖPIN validation failed
MsgOnboardingValidating,ЖValidating
MsgOnboardingAtLeastOnePaymentMethod,ЖAt least one payment method must be ON.
MsgOnboardingShouldCloseAtNonWorkingTime,ЖHeld receipts should be set to close at non-working time
MsgOnboardingSetupInterviewFailedToLoad,ЖSetup Interview failed to load. Please contact Revel Customer Support.
