LocaleIdentifier,PL
MsgShippingOrdersDoNotSupportSplitBills,Rozdzielanie rachunku nie jest możliwe przy zamówieniach wysyłkowych
MsgSelectDeliveryOptionsPlease,Proszę wybrać opcje wysyłki
MsgNoShippingServiceConfigured,Brak konfiguracji usługi wysyłki
MsgUnableToAddShippingCharge,Nie można dodać opłaty transportowej
MsgSelectPrintShippingLabelFormat,"Wybierz format w jakim preferujesz, wydrukować etykietę przesyłki."
MsgShippingLabelSizeTitle,Rozmiar etykiety
MsgShippingPrintLabelError,Etykieta wysyłki nie została wydrukowana!
MsgRemoveShipping,Wysyłka
MsgShippingConfirmRemove,Czy na pewno chcesz usunąć ten adres?
MsgShippingConfirmOrderTypeChange,"Zmieniając typ transakcji na %@, wysyłka zostanie usunięta z transakcji.\nCzy chcesz kontynuować?"
MsgUpdateWeight,Wprowadź wagę
MsgUndo,jako Cofnij
MsgShippingMethod,Metoda wpisu
MsgSignatureOptionNone,Brak
MsgSignatureOptionRequire,Wymagany podpis
MsgSignatureOptionRequireAdult,Wymagany podpis osoby dorosłej
MsgSignatureOptionRequireDirect,Wymagany bezpośredni podpis
MsgSignatureOptionRequireIndirect,Wymagany pośredni podpis
MsgSignatureOptionDefault,Użyj domyślnych
MsgShippingTracking,Monitorowanie
MsgShippingInfo,Informacje o wysyłce:
MsgShippingMultipleFulfilmentAddresses,Wiele adresów realizacji zamówień
MsgShippingFromMultipleLocationNotSupported,"Wysyłka zamówienia z wielu miejsc, które nie są obsługiwane w bieżącej wersji."
MsgShippingShippingLocationNotSetForItems,"Adres realizacji zamówień, nie jest ustawiony dla niektórych z wybranych pozycji."
MsgShippingFulfilmentAddresses,Adresy realizacji zamówień
MsgShippingCheckUPSPhoneNumber,Numer telefonu nie może być mniejszy niż 10 i dłuży niż 15 cyfr
MsgShippingNoAvailableServices,Opłaty serwisowe niepodlegające opodatkowaniu.
MsgDuSettingsEnableSignature,Włącz podpis
MsgDuSettingsEnableTips,Włącz napiwki
MsgDuSettingsShowSwipePrompt,Pokaż komunikat terminalu
MsgDuSettingsWelcomeMessage,Wiadomość powitalna
MsgDuSettingsEnableProductImages,Włącz obrazy towarów
MsgDuSettingsEnablePrintReceipts,Drukuj rachunki
MsgDuSettingsEnableEmailReceipts,Rachunki elektroniczne
MsgDuNoTip,Bez napiwku
MsgDuRewardOrPhone,Nr bonusu lub nr telefonu:
MsgDuEmailAddressIsEmpty,Adres jest pusty
MsgDuLast4Digits,Ostatnie 4 cyfry: %@
MsgDuChooseBackgroundImage,Wybierz obraz tła
MsgDuChooseBackgroundVideo,Wybierz wideo w tłe
MsgDuBackgroundImageIsFilled,Obraz tła wypełnia cały ekran
MsgDuBackgroundVideoIsFilled,"Wideo w tle jest wypełnione po całym ekranie i jest odtwarzane, gdy wyświetlacz jest w stanie bezczynności"
MsgDuUseDefault,Użyj domyślnych
MsgDuFromImagePicker,Z ImagePicker
MsgDuLogoImageIsLocated,Logo znajduje się w lewym górnym rogu ekranu. Zalecane wymiary: 231x95
MsgDuLogoImageIsLocatediPhone,Logo znajduje się w lewym górnym rogu ekranu i nie jest skalowane. Zalecane wymiary: 151x71
MsgDuChooseLogoImage,Wybierz logo
MsgDuCongratulations,Gratulacje!
MsgDuYouveEarnedARewardRedeemNow,Zdobyłeś/aś bonus. Wykorzystać teraz?
MsgDuCashRoundedTotal,Zaokrąglona łączna kwota: %@
MsgDuDiscountsTotal,Rabaty łącznie
MsgDuOrgPrice,Org. cena
MsgDuNumberWasNotFoundPleaseTryAgain,Nie znaleziono numeru. Spróbuj ponownie.
MsgDuIncludesServiceFee,Zawiera opłatę serwisową: %@
MsgDuPleaseWait,Czekaj
MsgDuPleaseEnterRewardCardNumber,Wprowadź nr bonusu lub nr telefonu.
MsgDuThisCdsAndThePosAreOnIncompatible,"Ten CDS i POS są na niekompatybilnych wersjach, co może prowadzić do uszkodzenia danych. Proszę uaktualnić swój CDS."
MsgDuExpensifyConfirmSendAutomatically,"Chcesz, abyśmy automatyczne wysyłali potwierdzenia Expensify z tej lokalizacji?"
MsgDuRedeem,Wykorzystaj
MsgDuDontRedeem,Nie wykorzystuj
MsgSelectEmailTitle,Wybierz kasę
MsgDUWelcomeTourTitleScreen1,Witamy w Systemie Customer Display!
MsgDUWelcomeTourTitleScreen6,Skonfiguruj Twój Customer Display System Revel
MsgDUWelcomeTourTextScreen1,"W celu wyświetlenia swoim klientom jakiejkolwiek konkretnej wiadomości lub marki, ekran \""Witamy\"" można dostosować w menu ustawień."
MsgDUWelcomeTourTextScreen2,"Transakcje klientów pojawiają się, ponieważ są one zamieszczone przez pracownika wraz z sumami i wszelkimi rabatami."
MsgDUWelcomeTourTextScreen3,"Jeśli napiwki są włączone w Twojej konsoli zarządzania, opcje napiwków pojawią się ukazując różne kwoty i procenty."
MsgDUWelcomeTourTextScreen4,Przetwórz płatności i upewnij się aby klienci podpisali bezpośrednio poprzez Customer Display System.
MsgDUWelcomeTourTextScreen5,"Po dokonaniu płatności, klienci będą mieli wybór wydrukowania lub wysyłania emailem paragonu lub w ogóle bez paragonu."
MsgDUWelcomeTour6AdditionalText,"Gdy Customer Display System zostanie skonfigurowany przez administratora na konsoli zarządzania Revel, wtedy będzie on gotowy do pracy!"
MsgDUWelcomeTourTextScreen6,"Jeśli potrzebna jest pomoc, prosimy o kontakt telefoniczny"
MsgDUWelcomeTour6PhoneNumber,1.415.744.1433
MsgKdsPosTriesToConnectToCds,POS próbuje połączyć się z Customer Display System. Sprawdź konfigurację.
MsgKdsPosTriesToConnectToPos,POS próbuje połączyć się z innym POS. Sprawdź konfigurację.
MsgKdsRecall,Cofnij
MsgKdsRecallOrder,Przywołaj transakcję
MsgKdsCompleted,Zakończono
MsgKdsVoid,Unieważnić
MsgKdsOrderUp,ZAMÓWIENIE GOTOWE!
MsgKdsWorking,PRZYGOTOWYWANIE
MsgKdsAllDayView,Widok całego dnia
MsgKdsRegularView,Widok standardowy
MsgKdsGroupBy,Grupuj wg
MsgKdsOrderBy,Transakcja wg
MsgKdsItemName,Nazwa pozycji
MsgKdsHideItem,Ukryj pozycję
MsgKdsOrderStatus,STATUS TRANSAKCJI
MsgKdsClearAll,Wyczyść wszystko
MsgKdsOldestOnTop,Najstarsze na górze
MsgKdsNewestOnTop,Najnowsze na górze
MsgKdsMove,   Przenieś:
MsgKdsCompletedToTop,   Zakończone na górze
MsgKdsKitchenDisplaySettings,Ustawienia ekranów kuchennych
MsgKdsDisplayStylePreview,Podgląd sposobu wyświetlania:
MsgKdsExpedite,Wydawanie
MsgKdsTileExpedite,Tile Expedite
MsgKdsKitchen,Kuchnia
MsgKdsOrderDisplay,Ekran transakcji
MsgKdsCompletedBecomes,Zakończone stają się:
MsgKdsBump,Zakończ z poziomu kuchni
MsgKdsBumped,Zakończono z poziomu kuchni
MsgKdsClosed,Zamknięte
MsgKdsByItem,wg pozycji
MsgKdsByOrder,Wg transakcji
MsgKdsAsUndo,jako Cofnij
MsgKdsTimeDisplay,Ekran czasu:
MsgKdsTimeElapsed,Upłynęło
MsgKdsTimeReceived,Czas przyjęcia
MsgKdsSounds,Dźwięk:
MsgKdsOn,Wł.
MsgKdsOff,Wył.
MsgKdsClearCache,Wyczyść pamięć podręczną
MsgKdsSaveClose,Zapisz i zamknij
MsgKdsOrderDetails,Szczegóły transakcji:
MsgKdsShowiPadCallNumber,Pokaż numer wywołania na iPadzie:
MsgKdsModifiers,Modyfikatory
MsgKdsCompletedOrderBlinking,Miganie zakończonych transakcji:
MsgKdsGroupIdenticalProducts,Grupa identycznych towarów:
MsgKdsThemeColor,Kolor przewodni:
MsgKdsWhite,Biały
MsgKdsBlack,Czarny
MsgKdsTimers,Liczniki:
MsgKdsMin,%d min
MsgKdsMarkCompletedBy,Oznacz zakończone jako:
MsgKdsTipWorksInRegularView,Tylko dla zwykłego widoku
MsgKdsVersionEstab,Wersja: %@\nID placówki: %d\nNazwa stanowiska: %@\n URL: %@
MsgKdsVersionPleaseCheckConfiguration,Wersja: %@\nSprawdź konfigurację
MsgKdsTotalRowsCountInDb,Łączna liczba wierszy w bazie danych: %d
MsgKdsMaxStorageLimitInDb,Maks. ilość miejsca w bazie danych: %d
MsgKdsTheRemovableRowsCount,Liczba możliwych do usunięcia wierszy: %d
MsgKdsAreYouSure,Czy na pewno?
MsgKdsSeparateByModifier,Oddziel wg modyfikatora
MsgKdsGroupByProduct,Grupuj wg towaru
MsgKdsGroupByOrder,Grupuj wg transakcji
MsgKdsGroupByItem,Grupuj wg pozycji
MsgKdsGroupByTime,Grupuj wg czasu
MsgKdsQuantity09,"Ilość, 0–9"
MsgKdsQuantity90,"Ilość, 9–0"
MsgKdsItemNameAZ,"Nazwa pozycji, A–Z"
MsgKdsItemNameZA,"Nazwa pozycji, Z–A"
MsgKdsDiningOption,Opcja\nposiłku
MsgKdsSpecialRequest,Żądanie\nspecjalne
MsgKdsEnterPasscode,Wprowadź kod
MsgKds5FailedPasscodeAttempts,5 razy wprowadzono nieprawidłowy kod
MsgKdsEnterYourRestrictionsPasscode,Wprowadź kod dostępu do ograniczeń
MsgKdsDishName,Nazwa potrawy
MsgKdsKdshasntBeenInitializedYet,"KDS nie został jeszcze zainicjowany. Kliknij przycisk OK, aby przejść do ustawień."
MsgKdsKdsIsStillNotInitialized,"KDS nadal nie jest zainicjowany. Proszę kliknąć przycisk 'odśwież', aby pobrać ustawienia z konsoli zarządzania"
MsgKdsThisKdsAndThePosAreOnIncompatible,Niezgodne wersje ekran kuchni i POS – dane mogą zostać uszkodzone. Zaktualizuj ekran kuchni.
MsgKdsVersion,Wersja: %@
MsgKdsKdsName,Nazwa SEK: %@
MsgKdsCheckYourNetwork,Sprawdź sieć
MsgKdsSorry,Przepraszamy!
MsgKdsThisWillDeleteAllRecords,Wszystkie zapisy zostaną usunięte z lokalnej bazy danych.
MsgKdsDatabasePurged,Baza danych wyczyszczona.
MsgKdsOrder#,Transakcja nr %@
MsgKdsTrainingMode,*** TRYB SZKOLENIA ***
MsgKdsPrinterNotResponding,"Drukarka nie odpowiada. Sprawdź, czy jest włączona."
MsgKdsNothing,Nic
MsgKdsWhatWouldYouLikeToDoWithTheOrder,Co zrobić z tą transakcją?
MsgKdsTileExpediteSeat, Miejsce %@/
MsgKdsTileExpediteCourse, Danie %@/
MsgKdsKdshasntBeenInitializedTheUpdatedSettings,"Nie zainicjowano KDS. Nie można przesłać zaktualizowanych ustawień na serwer. Aby zainicjować, przejdź do ustawień i kliknij przycisk 'odśwież'"
MsgKdsHasntBeenSynchronizedWithPos,Nie zsynchronizowano ekranu kuchni z POS. Spróbuj odświeżyć za 1 min
MsgKdsTheSettingsAreDownloadedSuccessfully,Pomyślnie pobrano ustawienia
MsgKdsTheCurrentDeviceDoesNotExistInTheEstablishment,Brak bieżącego urządzenia w lokalu %d
MSgKdsServerCommunicationIssuePleaseCheckYourNetwork,Problem z komunikacją z serwerem. Sprawdź sieć
MsgKdsWaiting,Oczekiwanie
MsgKdsInProgressMode,"Tryb \""W toku\"":"
MsgKdsDoubleTapToComplete,"Dotknij dwukrotnie, aby zakończyć"
MsgKdsInProgress,W toku
MsgKdsLanguagePackHasBeenUpdated,Zaktualizowano pakiet językowy. Uruchom SEK ponownie.
MsgKdsPrint,Drukuj
MsgKdsTapDoneonWaitingOrders,Dotknij 'gotowe' dla oczekujących transakcji
MsgKDSWelcomeTourTitleScreen1,Witamy na stronie Systemu Ekranu Kuchni Revel!
MsgKDSWelcomeTourTextScreen1,System Ekranu Kuchni Revel (SEK) stanowi doskonały sposób na poprawę efektywności i przyspieszenie komunikacji między przodem i tyłem budynku.
MsgKDSWelcomeTourTextScreen2,Wybierz pomiędzy różnymi stylami widoków w zależności od preferencji personelu kuchennego.
MsgKDSWelcomeTourTextScreen3,Revel SEK jest w pełni konfigurowalny i oferuje opcje ustawień dla każdego trybu widoku.
MsgKDSWelcomeTourTitleScreen4,Konfiguracja Twojego Systemu Ekranu Kuchni
MsgKDSWelcomeTour4AdditionalText,"Gdy System Ekranu Kuchni zostanie skonfigurowany przez administratora Revel na konsoli zarządzania, wtedy będzie on gotowy do pracy!"
MsgKDSWelcomeTourTextScreen4,"Jeśli potrzebna jest pomoc, prosimy o kontakt telefoniczny"
MsgKDSWelcomeTour4PhoneNumber,1.415.744.1433
MsgKdsMarkAllComplete,Zaznacz wszystko jako ukończone
MsgKdsMarkAsDone,Oznacz jako gotowe
MsgKdsContinued,Dalej
MsgProductAdded,Towar dodany
MsgSelectACategory,Wybierz kategorię
MsgSelectASubcategory,Wybierz podkategorię
MsgSelectAProduct,Wybierz towar
MsgFailedOrders,Nieudany spis transakcji
MsgFailedTitle,Błąd pozycji
MsgDescription,Opis
MsgRetriesCount,Ponowiać liczenie
MsgOrderInfoDescription,Transakcja: %@
MsgOrderInfoCreated,Utworzono: %@
MsgOrderInfoCreatedNoArgs,Utwórz
MsgCustomerInfoUpdated,Informacje o kliencie zostały auktualnione
MsgManagerSyncLog,Synchronizuj rejestr
MsgManagerSyncLogMaxRetries,Maks. liczba prób synchr.
MsgSalesReportError,Nie udało się pobrać raportu sprzedaży.
MsgManagerRunEOD,Proces końca dnia
MsgManagerNeedsToRunEOD,Należy przeprowadzić procedurę końca dnia
MsgManagerEOD,Koniec dnia
MsgManagerEODTaskCloseNullOrders,Zamknij transakcje z balansem równym 0.00
MsgManagerEODCloseNullOrdersProgress,Zamykanie transakcji z balansem równym 0.00...
MsgManagerEODTaskReconcileOrders,Sprawdź otwarte transakcje
MsgManagerEODTaskProcessCreditCards,Przetwórz wszystkie karty kredytowe
MsgManagerEODTaskDeclinedPayments,Odrzucone płatności
MsgManagerEODTaskOfflinePayments,Płatności offline
MsgManagerEODTaskConfirmTimeCards,Potwierdź karty czasu pracy
MsgManagerEODTaskCloseAllTills,Zamknij wszystkie kasy
MsgManagerEODVoidRefundButton,Unieważnić\nZwrot
MsgManagerEODCloseCashButton,Zamknij\nSpieniężyć
MsgManagerEODCloseToCreditPlusButton,Zamknij jako\nkarta płatnicza
MsgManagerEODCarryNextDayButton,Przenieś na\nnastępny dzień
MsgManagerEODGoToOrderButton,Przejdź do\ntranskacji
MsgManagerEODPrintReport,Wydrukuj raport
MsgManagerEODPrintFiscalReports,Wydrukuj raporty fiskalne
MsgManagerEODTaskAdditionalTasks,Dodatkowe zadania
MsgManagerEODCloseTillButton,Zamknij kasę
MsgManagerEODCloseVirtualTillButton,Zamknij wirtualną kasę
MsgManagerEODTillsOpened,Otwarte
MsgManagerEODPosStation,Satnowisko POS
MsgManagerEODContinueShift,Kontynuuj zmiane
MsgManagerEODClockOutAll,Zakończ zmiany wszystkich
MsgManagerEODNoTasksAlert,Brak zadań do wykonania
MsgManagerEODMarkComplete,Oznacz jako zakończone
MsgManagerEODProcessSuccess,Procedura 'Koniec dnia' jest zakończona. Wszystkie stanowiska POS zostaną teraz odświeżone.
MsgManagerEODProcessSuccessMain,Proces końca dnia jest zakończony. Stacja POS teraz się odświeży.
MsgManagerEODReportsAllEmployees,Wszyscy pracownicy (łącznie w jednym raporcie)
MsgManagerEODReportsAllEmployeesAgg,Wszyscy pracownicy (łącznie)
MsgManagerEODReportsAllStationsAgg,Wszystkie stanowiska (łącznie)
MsgManagerEODRunPrompt,Proszę uruchomić procedurę 'Koniec dnia'
MsgManagerEODGoToNextStep,Następny krok
MsgManagerEODUnableToRun,Nie można uruchomić procedury 'Koniec dnia'
MsgManagerEODCurrentOrderOpen,"Transakcja #%@ jest otwarta! Proszę zamknąć transakcję przed dokonaniem procedury \""Koniec dnia\""."
MsgManagerEODActiveTransactionsError,Istnieją aktywne transakcje. Proszę zakończyć wszystkie transakcje przed uruchomieniem 'Koniec dnia'.
MsgManagerEODActivePumpAuthorizationError,"Jest aktywna autoryzacja dla pompy, która oczekuje na operację użytkownika. Proszę zakończyć autoryzację przed uruchomieniem\n'Końca dnia'."
MsgManagerEODError,Proces końca dnia nie może być kontynuowany.
MsgPrintReportsBEError,Błąd konsoli zarządzania dla drukowania raportów
MsgManagerEODCustomStepsCompleted,Wszystkie dodatkowe zadania zostały na dziś zakończone.
MsgManagerEODFiscalReportPrinted,Ten raport został już dziś wydrukowany.
MsgManagerEODClockOutEmployees,Zakończ zmiany pracowników...
MsgManagerEODBatchClockOutError,Nie udało się zakończyć zmiany jednego lub więcej pracowników.\nCzy chcesz przejść do następnego kroku pomimo to?
MsgManagerEODPrintReportUsersEmpty,"Nie ma nic do wydrukowania. Nie znaleziono użytkowników, którzy realizowali transakcje dla tej placówki."
MsgManagerEODChildsError,Stanowiska %@ obecnie nie są synchronizowane z głównym terminalem.\nKontynuuj mimo to?
MsgManagerEODSelectPrintOptions,Proszę wybrać opcje drukowania
MsgManagerEODEmployeesCaption,Pracownicy
MsgManagerEODSynLogMenu,Koniec dnia
MsgManagerEODSynLogStarted,Koniec dnia rozpoczęty
MsgManagerEODSynLogFinished,Koniec dnia zakończony
MsgManagerEODFiscalPrintersNotFoundError,"Nie znaleziono drukarki fiskalnej, proszę sprawdzić ustawienia"
MsgManagerEODFiscalPrinterBusyError,"Drukarka fiskalna jest zajęta, proszę spróbować później"
MsgManagerEODBusinessDayNotClosed,Nie wszystkie stanowiska zakończyły dzień roboczy.\nWymusić zamknięcie dnia roboczego?
MsgManagerEODSendingFinishLog,Wysyłanie końcowego rejestru
MsgManagerEODOfflineStanford,Płatności Offline CS Gold
MsgManagerEODSkipStep,Pomiń krok
MsgManagerEODFiscalReportCompletedOnAllStations,Raporty fiskalne zostały pomyślnie wydrukowane na wszystkich stanowiskach.
MsgManagerEODFiscalReportPrintFailedOnStations,Nie udało się wydrukować raportu fiskalnego dla następujących stanowisk:
MsgManagerEODFiscalReportPrintRetryOption,Czy chcesz spróbować ponownie wydrukować raport po nieudanej próbie na stacji(-ach) lub kontynuować do ręcznego drukowania raportu fiskalnego?
MsgManagerEODFiscalReportPrintManually,"Proszę ręcznie wydrukować raport fiskalny(e) bezpośrednio z terminala(ów), który(e) nie wydrukowały raportu przed naciśnięciem 'dalej'"
MsgManagerEODErrorUnsyncedOrdersCheck,Sprawdzanie niezsynchronizowanych transakcji
MsgManagerEODErrorFollowingStationsDidNotRespond,Następujące stanowiska nie zareagowały
MsgManagerEODErrorFollowingStationsHaveOrdersSyncing,"Następujące stanowiska posiadają transakcje, które obecnie są w procesie synchronizacji (najprawdopodobniej z powodu problemu z siecią)"
MsgManagerEODErrorAndTheFollowingUnsyncedOrders,oraz następujące niezsynchronizowane transakcje
MsgManagerEODErrorFollowingStationsHaveOrdersUnsynced,Następujące stanowiska aktualnie posiadają niezsynchronizowane transakcje
BtnManagerEODExitWizard,Wyjdź z opcji wizard
BtnManagerEODReSync,Zsynchronizuj ponownie
BtnManagerEODRetrySync,Ponów próbę synchronizacji
MsgManagerEODErrorThereAreStillUnsyncedOrders,"Istnieją transakcje, które są wciąż w procesie synchronizacji i/lub transakcje nadal nie są zsynchronizowane.\n\nZaleca się, aby użytkownicy przeprowadzili ręczną synchronizację na każdym terminalu, przed przystąpieniem do procedury końca dnia."
MsgManagerEODFollowInstructionsBellow,Należy postępować zgodnie z poniższymi instrukcjami:
MsgManagerEODInstructionsStep1,"Na każdym podrzędnym terminalu, dotknij przycisk “Transakcje” i wybierz “Niezsynchronizowane transakcje”."
MsgManagerEODInstructionsStep1BoldOrders,Transakcje
MsgManagerEODInstructionsStep1BoldUnsyncedOrders,Niezsynchr. transakcje
MsgManagerEODInstructionsStep2,"Dotknij dowolne niezsynchronizowane transakcje, aby je synchronizować z terminalem głównym."
MsgManagerEODInstructionsLastLines,"Jeśli transakcje nie są synchronizowane, należy sprawdzić połączenie sieciowe.\nJeśli transakcje nie są dalszym ciągu zsynchronizowane, prosimy o kontakt z działem obsługi klienta."
MsgManagerEODLockChildStations,Wstrzymaj zsynchronizowane terminale
MsgManagerEODHasBeenInitiated,Proces końca dnia został rozpoczęty.
MsgManagerEODTerminalWillReactive,Ten terminal będzie ponownie aktywny po zakończeniu procedury końca dnia lub gdy procedura zostanie przerwana
MsgManagerEODTerminalWillAutologout,Ten terminal będzie automatyczne wylogowany i wstrzyma czynności w %@. Proszę się wylogować
MsgManagerEODFollowingStationsUsersLoggedIn,Następujące stanowiska wciąż posiadają zalogowanego użytkownika
MsgManagerEODLockedStationsFoundMessage,"Lista zmieni się automatycznie, gdy użytkownik zostanie wylogowany z tych stanowisk.\nWizard rozpocznie się automatycznie.\n\nJeśli chcesz kontynuować z użytkownikami nadal zalogowanymi na stanowiskach, naciśnij \""Dalej\"".\nCi użytkownicy będą automatycznie wylogowani ciągu %@."
MsgManagerEODLockStationNoConnection,Brak połączenia
MsgManagerEODLockStationWaitingForResponse,Oczekiwanie na odpowiedź
MsgManagerEODMinutesSingular,minuta
MsgManagerEODMinutesPlural,minuty
MsgManagerEODRevenueCentersPlural,Centra dochodów
MsgManagerEODCantVoidOrRefundOrder,"Następujące transakcje nie zostały zamknięte, ponieważ ich płatności i sprzedaży nie zgadzają. Prosimy ręcznie przetworzyć te transakcje:\n\nTransakcja nr%@ (%@)"
MsgManagerEODFailedToSyncOrders,Nie udało się zsynchronizować transakcji. Nie można zakończyć procesu końca dnia.
MsgManagerEODCloseToCashActionIsUnavail,Działanie 'Zamknij jako gotówka' jest nie dostępne.\nTo zlecenie nie może być modyfikowane.
MsgManagerEODFailedActionTillsAreNotConfigured,"Obecna konfiguracja systemu wymaga, aby kasa była otwarta i ustawiona przed użyciem tej funkcji."
MsgManagerEODFailedActionOrderHasRequiredOption,Działanie jest nie dostępne.\nZlecenie posiada jakieś wymagane opcje. 
MsgManagerEODUnsyncedQueue,Brak synchronizacji transakcji
MsgManagerEODSyncFailures,Błędy synchronizacji
MsgManagerEODSubmitAllButton,Zatwierdź wszystkie
MsgManagerEODProceedWarning,"Uwaga, istnieją błędy synchronizacji. Kontynuuj mimo to?"
MsgManagerEODUnsyncedOrdersWarning,"Niektóre z tych zleceń nie synchronizowane z serwerem, dlatego raport podsumowania sprzedaży może być niekompletny.\nZalecamy synchronizację wszystkich zleceń przed drukowaniem raportów.\nJeśli chcesz teraz kontynuować, zalecamy drukowanie \""lokalnej\"" wersji raportu obejmującej wszystkie transakcje."
MsgManagerEODPrintLocal,Drukuj lokalną wersję
MsgManagerEODStandard,Drukuj standardową wersję
MsgManagerEODSearhingOrders,Wyszukiwanie transakcji w toku...
MsgManagerEodWarningInProgress,"UWAGA, transakcje są obecnie w toku i należy je zamknąć przed rozpoczęciem procesu końca dnia. Proszę wstrzymać i/lub zamknąć te transakcje bezpośrednio przy odpowiednich terminalach przed kontynuowaniem."
MsgManagerEODOrderInProgress,Transakcja w toku
MsgManagerSyncLogSignatures,Podpisy
MsgManagerSyncLogOrders,Transakcje
MsgManagerSelectLogItem,Wybierz pozycje rejestru do wyświetlenia
MsgManagerSyncShowButton,Pokaż
MsgNotSupportedForIphoneApp,Nieobsługiwane przez aplikację na iPhone’a
MsgFullProductDetails,Pełne dane o produkcie
MsgSyncStatusDownloaded,Pobrano
MsgSyncStatusPercentComplete,Procent wykonania
MsgAgeVerification,Weryfikacja wieku
MsgCustomerBirthdateMessage,Klient musi być urodzony przed %@ aby zakupić ten towar.\nProszę potwierdzić dowód osobisty i datę urodzenia klienta
MsgItemDetailsBIN,BIN
MsgItemDetailsDetails,Szczegóły towaru
BtnItemDetailsInventoryLookup,Wyszukiwanie\nw magazynie
MsgWarningDeleteSignature,Czy na pewno usunąć dane podpisu?
MsgDeleteSignatureError,Can't delete signature from disk
MsgBLECheckedIn,Rejestracja klienta przez Bluetooth
MsgOrderDetailsCustomerCheckInfo,Sprawdź klienta
MsgAggregate,Łącznie
MsgVoidServiceProduct,Towar
MsgVoidServicePrice,Cena
MsgVoidSelectItems,Pozycje do unieważnienia
MsgReturnSelectItems,Pozycje do zwrotu
MsgVoidReturnSelectItems,Pozycje do unieważnienia/zwrotu
MsgCompSelectItems,Pozycje gratisowe
MsgVoidQtyLeft,Pozostała ilość
MsgRPIUpdateConfirm,Nastąpi aktualizacja PI. Czy na pewno?
MsgRPIUpdateSuccess,Aktualizacja PI pomyślna
MsgRPIUpdateFail,Aktualizacja PI nie powiodła się
MsgRPICommunicationFail,Nieudana komunikacja z koncentratorem sieciowym. Podłącz ponownie kabel sieciowy lub uruchom ponownie koncentrator
MsgRPIDevicesInfo,RPI wer. %@ Dane urządzeń
MsgRPIConnectedDevices,Podłączone urządzenia
MsgRPINonMappedDevices,Niezmapowane urządzenia
MsgReceiptTitleGuestCheck,RACHUNEK GOŚCIA
MsgReceiptTitleHeldOrders,RAPORT WSTRZYMANYCH TRANSAKCJI
MsgReceiptNumberOfHeldOrders,Wstrzymane transakcje
MsgReceiptTotalSumOfHeldOrders,Łącznie
MsgOrderExchangeFrom,[od %@]
MsgOrderExchangeDoneAddItems,Pozycje wymienione.  Dodaj nowe pozycje lub kredyt sklepowy do tej transakcji.
MsgOrderExchangeExceedsPurchaseAmountTitle,Dodaj więcej pozycji
MsgOrderExchangeExceedsPurchaseAmountMessage,Wartość wymiany przekracza kwotę zakupu. Proszę dodać pozycje aby wykorzystać pozostałe środki.
MsgSelectItemsToExchangeSelectItemsToExchange,Wybierz pozycje do wymiany
MsgSelectItemsToExchangePleaseSelectItems,Proszę wybrać pozycje do wymiany
MsgSelectItemsToExchangeExchangeCoupons,Transakcja posiada kupony.
MsgSelectItemsToExchangeItemsToExchange,Pozycje do wymiany
MsgSelectItemsToExchangeQtyLeft,Pozostała ilość
MsgSelectItemsToExchangeExchange,Wymiana
MsgSelectItemsToExchangeOrderHasCoupon,Transakcja posiada kupon.  Czy ten kupon ma wpływ na zmianę ceny wymienianej pozycji?
MsgSelectItemsToExchangeOrderHasCoupons,"Transakcja posiada kupony. Proszę wybrać jakieś kupony, które mają wpływ na cenę wymienianej pozycji."
MsgSpecifyReasonForExchangeSpecifyReasonForExchange,Uzasadnij przyczynę wymiany
MsgSpecifyReasonForExchangeGrandTotal,Łączna suma:
MsgReceiptEXCHANGE,WYMIANA
BtnOTEPShowAllOrders,Pokaż wszystkie transakcje
BtnOTEPShowAllTodaysOrders,Show All Today's Orders
BtnOTEPTables,Stoliki
BtnOTEPBarTabs,Rachunki w barze
BtnOTEPBarTab,Rachunek w barze
BtnTablesNewOrder,+ Nowa transakcja
BtnTablesNewTab,+ Nowa zakładka
BtnTablesNewParty,+ Nowe przyjęcie
MsgTransferOrdersTableHeader,Przenieś transakcje
BtnTransferOrdersTransfer,Przenieś
BtnTransferOrdersHideClockedOutEmployees,"Ukryj pracowników, którzy zakończyli zmianę"
BtnTransferOrdersAllEmp,Wszystko puste
BtnTransferOrdersClockedIn,Rozpoczęta zmiana
MsgTransferOrdersTransfersFailed,Przeniesienie nieudane
MsgTransferOrdersTransfersFailedForOrders,Nie udało się przenieść transakcji o ID:
BtnTransferOrdersClockedInOnly,Tylko rozpoczęte zmiany
BtnTransferOrdersAllEmployees,Wszyscy pracownicy
MsgExistingDiscounts,Istniejące rabaty dot. pozycji
MsgItemName,Nazwa pozycji
MsgDiscountName,Nazwa rabatu
MsgReplaceDiscountAmount,Kwota rabatu
MsgReplaceDiscount,Wymienić rabat?
MsgTheseItemsHaveDiscounts,Te pozycje mają już rabaty. Wymień rabaty?
MsgStanfordPhotoConfirmation,Sprawdź i potwierdź zdjęcie
MsgStanfordCheckBalance,Sprawdź bilans
MsgStanfordNonFoodAttention,Niektóre pozycje nie kwalifikują się zgodnie z planem posiłku. Następujące pozycje kwalifikują się do planu posiłków w dolarach. Zapłacić za te pozycje z rachunku posiłków?
MsgStanfordNonFoodAttentionWrongPlan,Żadna z pozycji w transakcji nie kwalifikuje się do planu posiłków Stanford. Proszę użyć innego rodzaju płatności do zakupu towarów nieżywnościowych.
