LocaleIdentifier,ET
MsgKdsThisKdsAndThePosAreOnIncompatible,"KDS-i ja kassa versioonid pole ühilduvad, mis võib põhjustada andmete rikkumist. Täiendage KDS-i."
MsgKdsVersion,: %@ersioon
MsgKdsKdsName,KDS-i nimi: %@
MsgKdsCheckYourNetwork,Kontrollige võrku
MsgKdsSorry,Vabandust!
MsgKdsThisWillDeleteAllRecords,See kustutab kõik kirjed kohalikust andmebaasist.
MsgKdsDatabasePurged,Andmebaas on tühjendatud.
MsgKdsOrder#,Tellimuse number %@
MsgKdsTrainingMode,*** KOOLITUSREŽIIM ***
MsgKdsPrinterNotResponding,"Printer ei vasta. Kontrollige, kas printer on sees"
MsgKdsNothing,Mitte midagi
MsgKdsWhatWouldYouLikeToDoWithTheOrder,Mida soovite tellimusega teha?
MsgKdsTileExpediteSeat, Koht %@ /
MsgKdsTileExpediteCourse, %@. käik /
MsgKdsKdshasntBeenInitializedTheUpdatedSettings,KDS-i ei lähtestatud. Uuendatud seadeid ei saa serverisse üles laadida. Lähtestamiseks avage seadete vaade ja klõpsake nupul Värskenda.
MsgKdsHasntBeenSynchronizedWithPos,KDS-i pole kassaga sünkroonitud. Proovige 1 min pärast uuesti värskendada
MsgKdsTheSettingsAreDownloadedSuccessfully,Seaded on edukalt alla laaditud
MsgKdsTheCurrentDeviceDoesNotExistInTheEstablishment,Praegust seadet pole asutuses %d
MSgKdsServerCommunicationIssuePleaseCheckYourNetwork,Serveri sideprobleem. Kontrollige võrku.
MsgKdsWaiting,Ootel
MsgKdsInProgressMode,Režiimis Pooleli:
MsgKdsDoubleTapToComplete,Lõpetamiseks topelttoksake
MsgKdsInProgress,Pooleli
MsgKdsLanguagePackHasBeenUpdated,Keelepakett on värskendatud. Taaskäivitage Köögikuvasüsteem.
MsgKdsPrint,Prindi
MsgKdsTapDoneonWaitingOrders,Tehke topeltkoputus kirjel Ootel tellimused
MsgKDSWelcomeTourTitleScreen1,Tere tulemast Reveli Köögikuvasüsteemi!
MsgKDSWelcomeTourTextScreen1,Reveli Köögikuvasüsteem (KDS) annab suurepärase vahendi tõhususe tõstmiseks ja suhtluse kiirendamiseks asutuse esi- ja tagakülje vahel.
MsgKDSWelcomeTourTextScreen2,"Valige erinevate vaatelaadide vahel, olenevalt köögipersonali eelistustest."
MsgKDSWelcomeTourTextScreen3,Reveli Köögikuvasüsteem on täielikult kohandatav ja pakub häälestusvalikuid igale vaaterežiimile.
MsgKDSWelcomeTourTitleScreen4,Reveli Köögikuvasüsteemi konfigureerimine
MsgKDSWelcomeTour4AdditionalText,"Kui Köögikuvasüsteem on teie Reveli administraatori poolt halduskonsoolis konfigureeritud, on süsteem töövalmis!"
MsgKDSWelcomeTourTextScreen4,"Kui vajate abi, võtke ühendust"
MsgKDSWelcomeTour4PhoneNumber,1.415.744.1433
MsgKdsMarkAllComplete,Märgi kõik lõpetatuks
MsgKdsMarkAsDone,Märgi tehtuks
MsgKdsContinued,Jätkuv
MsgProductAdded,Toode on lisatud
MsgSelectACategory,Valige kategooria
MsgSelectASubcategory,Valige alamkategooria
MsgSelectAProduct,Valige toode
MsgFailedOrders,Ebaõnnestunud tellimuste loend
MsgFailedTitle,Nurjunud üksus
MsgDescription,Kirjeldus
MsgRetriesCount,Korduskatsete üldarv
MsgOrderInfoDescription,Tellimus: %@
MsgOrderInfoCreated,Loodud: %@
MsgOrderInfoCreatedNoArgs,Loo
MsgCustomerInfoUpdated,Kliendi andmed värskendatud
MsgManagerSyncLog,Sünkroonimislogi
MsgManagerSyncLogMaxRetries,Max sünkroonimiskatseid
MsgSalesReportError,Müügiaruande hankimine ebaõnnestus.
MsgManagerRunEOD,Päevalõpu töötlus
MsgManagerNeedsToRunEOD,Päevalõpu protseduur vajab käitamist
MsgManagerEOD,Päevalõpp
MsgManagerEODTaskCloseNullOrders,"Sulge 0,00 jäägiga tellimused"
MsgManagerEODCloseNullOrdersProgress,"Sulgen 0,00 jäägiga tellimusi..."
MsgManagerEODTaskReconcileOrders,Kooskõlasta täitmata tellimused
MsgManagerEODTaskProcessCreditCards,Töötle kõik maksekaardid
MsgManagerEODTaskDeclinedPayments,Tagasilükatud maksed
MsgManagerEODTaskOfflinePayments,Võrguühenduseta maksed
MsgManagerEODTaskConfirmTimeCards,Kinnita töötaja kellakaardid
MsgManagerEODTaskCloseAllTills,Sulge kõik kassasahtlid
MsgManagerEODVoidRefundButton,Annulleeri/\nMaksa tagasi
MsgManagerEODCloseCashButton,Sulge\nkassajääki
MsgManagerEODCloseToCreditPlusButton,Sulge\nkrediiti +
MsgManagerEODCarryNextDayButton,Kanna\njärgmisesse päeva
MsgManagerEODGoToOrderButton,Mine\ntellimusse
MsgManagerEODPrintReport,Prindi aruanne
MsgManagerEODPrintFiscalReports,Prindi fiskaalaruanded
MsgManagerEODTaskAdditionalTasks,Lisaülesanded
MsgManagerEODCloseTillButton,Sulge kassasahtel
MsgManagerEODCloseVirtualTillButton,Sulge virtuaalne kassasahtel
MsgManagerEODTillsOpened,Avatud
MsgManagerEODPosStation,Müügipunkti jaam
MsgManagerEODContinueShift,Jätka vahetust
MsgManagerEODClockOutAll,Registreeri kõik töölt lahkunuks
MsgManagerEODNoTasksAlert,Täitmiseks ei ole ühtki tööülesannet
MsgManagerEODMarkComplete,Märgi lõpetatuks
MsgManagerEODProcessSuccess,Päevalõpu töötlus on lõpetatud. Nüüd värskendatakse kõik müügipunkti jaamad.
MsgManagerEODProcessSuccessMain,Päevalõpu töötlus on lõpetatud. Nüüd värskendatakse müügipunkti jaam.
MsgManagerEODReportsAllEmployees,Kõik töötajad (koondatud ühte aruandesse)
MsgManagerEODReportsAllEmployeesAgg,Kõik töötajad (summeeri)
MsgManagerEODReportsAllStationsAgg,Kõik jaamad (summeeri)
MsgManagerEODRunPrompt,Käitage 'Päevalõpu protseduur'
MsgManagerEODGoToNextStep,Järgmine samm
MsgManagerEODUnableToRun,Ei saa Päevalõppu avada
MsgManagerEODCurrentOrderOpen,Tellimus #%@ on täitmata! Sulgege tellimus enne 'Päevalõpu' käivitamist.
MsgManagerEODActiveTransactionsError,Aktiivsed tehingud on sooritamisel. Lõpetage kõik tehingud enne 'Päevalõpu' käivitamist
MsgManagerEODActivePumpAuthorizationError,"Pumbale loa andmine on aktiivne ja ootamas kasutaja tegevust. Viige loa andmine lõpule enne, kui käivitate\n'Päevalõpu'."
MsgManagerEODError,Päevalõpu protseduuri ei saa jätkata.
MsgPrintReportsBEError,Tagaserveri tõrge aruannete printimisel.
MsgManagerEODCustomStepsCompleted,Kõik lisaülesanded on tänaseks lõpetatud.
MsgManagerEODFiscalReportPrinted,Tänase päeva kohta on aruanne juba prinditud.
MsgManagerEODClockOutEmployees,Registreeri töölt lahkujateks töötajad...
MsgManagerEODBatchClockOutError,Ühe või enama töötaja töölt lahkumist ei saanud registreerida.\nKas soovite siiski minna järgmise sammu juurde?
MsgManagerEODPrintReportUsersEmpty,Ei ole midagi printida. Ei leitud kasutajate poolt ettevõttele teostatud tehinguid.
MsgManagerEODChildsError,Jaamad %@ ei ole praegu peaterminaliga sünkroonitud.\nKas soovite siiski jätkata?
MsgManagerEODSelectPrintOptions,Valige printimissuvandid
MsgManagerEODEmployeesCaption,Töötajad
MsgManagerEODSynLogMenu,Päevalõpp
MsgManagerEODSynLogStarted,Päevalõpp alustatud
MsgManagerEODSynLogFinished,Päevalõpp lõpetatud
MsgManagerEODFiscalPrintersNotFoundError,"Fiskaalaruande printereid ei leitud, kontrollige seadeid"
MsgManagerEODFiscalPrinterBusyError,"Fiskaalaruande printer on hõivatud, palun proovige hiljem"
MsgManagerEODBusinessDayNotClosed,Kõik jaamad ei ole tööpäeva lõpetanud.\nKas forsseerida tööpäeva sulgemine?
MsgManagerEODSendingFinishLog,Saadan lõpulogi
MsgManagerEODOfflineStanford,Offlain CS Gold maksed
MsgManagerEODSkipStep,Jäta samm vahele
MsgManagerEODFiscalReportCompletedOnAllStations,Kõik jaamad pintisid fiskaalaruande edukalt.
MsgManagerEODFiscalReportPrintFailedOnStations,Fiskaalaruande printimine ebaõnnestus järgmistel jaamadel:
MsgManagerEODFiscalReportPrintRetryOption,Kas sooviksite proovida pintida ebaõnnestunud jaama(de) aruande(d) uuesti või jätkata aruannete printimisega käsitsi?
MsgManagerEODFiscalReportPrintManually,"Printige enne jätka nupule vajutamist fiskaalaruanne/iskaalaruanded käsitsi, otse ebaõnnestunud terminali(de)st"
MsgManagerEODErrorUnsyncedOrdersCheck,Sünkroonimata tellimused
MsgManagerEODErrorFollowingStationsDidNotRespond,Järgmised jaamad ei vastanud
MsgManagerEODErrorFollowingStationsHaveOrdersSyncing,Järgmistel jaamadel on tellimused on hetkel sünkroniseerimisel (kõige tõenäolisemalt võrgu ühendusprobleemide tõttu)
MsgManagerEODErrorAndTheFollowingUnsyncedOrders,ning järgmised sünkroonimata tellimused
MsgManagerEODErrorFollowingStationsHaveOrdersUnsynced,Järgmistel jaamadel on tellimused hetkel sünkroonimata
BtnManagerEODExitWizard,Välju viisardist
BtnManagerEODReSync,Sünkrooni uuesti
BtnManagerEODRetrySync,Proovige uuesti sünkroonida
MsgManagerEODErrorThereAreStillUnsyncedOrders,"Mõned tellimused on ikka veel sünkroonimisel ja/või sünkroonimata.\n\nSoovitatav on, et kasutajad teostaksid enne Päevalõpu protseduuriga jätkamist iga terminali juures käsitsi sünkroonimise."
MsgManagerEODFollowInstructionsBellow,Järgige allesitatud juhiseid:
MsgManagerEODInstructionsStep1,Koputage igast tütarterminalist “Tellimused” nupule ja valige “Sünkroonimata tellimused”.
MsgManagerEODInstructionsStep1BoldOrders,Tellimused
MsgManagerEODInstructionsStep1BoldUnsyncedOrders,Sünkroonimata tellimused
MsgManagerEODInstructionsStep2,Tellimuse sünkroonimiseks peaterminaliga koputage ükskõik millisel sünkroonimata tellimusel.
MsgManagerEODInstructionsLastLines,"Kui tellimusi ei sünkroonita, kontrollige võrguühendust.\nKui tellimusi sellele vaatamata ei sünkroonita, võtke ühendust klienditoega"
MsgManagerEODLockChildStations,Seiska sünkroonitud terminalid
MsgManagerEODHasBeenInitiated,Päevalõpu protsess on käivitatud.
MsgManagerEODTerminalWillReactive,"See terminal aktiveeritakse uuesti pärast seda, kui Päevalõpu protsess on lõpetatud või sellest on väljutud"
MsgManagerEODTerminalWillAutologout,See terminal logitakse automaatselt välja ja peatab tegevuse %@ pärast. Palun logige välja
MsgManagerEODFollowingStationsUsersLoggedIn,"Järgmistes jaamades on ikka veel kasutaja, kes on sisse loginud"
MsgManagerEODLockedStationsFoundMessage,"Loend muutub automaatselt, kui kasutajad on neist jaamadest välja logitud.\nViisard jätkab seejärel automaatselt.\n\nKui soovite jätkata, kui kasutajad on ikka veel jaamades sisse logitud, vajutage “Edasi” nupule.\nNeed kasutajad logitakse automaatselt välja  %@ jooksul."
MsgManagerEODLockStationNoConnection,Ühendus puudub
MsgManagerEODLockStationWaitingForResponse,Ootan vastust
MsgManagerEODMinutesSingular,minut
MsgManagerEODMinutesPlural,minutit
MsgManagerEODRevenueCentersPlural,Müügitulu
MsgManagerEODCantVoidOrRefundOrder,"Käesolevad tellimused ei ole suletud, sest nende maksed ja müügid ei kattu. Palun lahenda need tellimused käsitsi: \n\nTellimus #%@ (%@)"
MsgManagerEODFailedToSyncOrders,Tellimuste sünkroniseerimine ei õnnestunud. Päeva Lõppu ei ole võimalik teostada.
MsgManagerSyncLogSignatures,Allkirjad
MsgManagerSyncLogOrders,Tellimused
MsgManagerSelectLogItem,Valige kuvatav logiüksus
MsgManagerSyncShowButton,Kuva
MsgNotSupportedForIphoneApp,Ei toetata iPhone‘i rakenduse puhul
MsgFullProductDetails,Toote kõik üksikasjad
MsgSyncStatusDownloaded,Alla laaditud
MsgSyncStatusPercentComplete,Lõpetatud protsentuaalselt
MsgAgeVerification,Vanuse verifitseerimine
MsgCustomerBirthdateMessage,Selle toote ostmiseks peab klient olema sündinud enne %@.\nKinnitage kliendi ID ja sünniaeg
MsgItemDetailsBIN,KORV
MsgItemDetailsDetails,Toote üksikasjad
BtnItemDetailsInventoryLookup,Otsing\nvarudest
MsgWarningDeleteSignature,Kas soovite allkirjateabe kindlasti kustutada?
MsgDeleteSignatureError,Allkirja ei saa kettalt kustutada
MsgBLECheckedIn,Bluetooth-kliendi saabumine
MsgOrderDetailsCustomerCheckInfo,Kontrollige klienti
MsgAggregate,Kokku
MsgVoidServiceProduct,Toode
MsgVoidServicePrice,Hind
MsgVoidSelectItems,Vali artiklid tühistamiseks
MsgReturnSelectItems,Artiklid tagastamiseks
MsgVoidReturnSelectItems,Artiklid tagastamiseks
MsgCompSelectItems,Artiklid koondisse
MsgVoidQtyLeft,Järelejäänud kogus
MsgRPIUpdateConfirm,See uuendab PI-d. Kas olete kindel?
MsgRPIUpdateSuccess,PI uuendamine õnnestus
MsgRPIUpdateFail,PI uuendamine nurjus
MsgRPICommunicationFail,Side võrgujaoturiga katkes. Ühendage võrgukaabel uuesti või taaskäivitage jaotur
MsgRPIDevicesInfo,RPI v. %@ Seadmete andmed
MsgRPIConnectedDevices,Ühendatud seadmed
MsgRPINonMappedDevices,Vastendamata seadmed
MsgReceiptTitleGuestCheck,KÜLASTAJA TŠEKK
MsgReceiptTitleHeldOrders,OOTEL TELLIMUSTE ARUANNE
MsgReceiptNumberOfHeldOrders,Ootel tellimused
MsgReceiptTotalSumOfHeldOrders,Kokku
MsgOrderExchangeFrom,[alates %@]
MsgOrderExchangeDoneAddItems,Tooted on muudetud. Palun lisa uued tooted või poekrediit sellele tellimusele.
MsgOrderExchangeExceedsPurchaseAmountTitle,Lisage veel kaubaartikleid
MsgOrderExchangeExceedsPurchaseAmountMessage,Vahetusväärtus ületab ostusummat. Ülejäänud vahendite kasutamiseks lisage artikleid.
MsgSelectItemsToExchangeSelectItemsToExchange,Valige artikkel (artiklid) vahetamiseks
MsgSelectItemsToExchangePleaseSelectItems,Valige artiklid vahetamiseks
MsgSelectItemsToExchangeExchangeCoupons,Tellimusel on kupongid.
MsgSelectItemsToExchangeItemsToExchange,Artikkel (artiklid) vahetamiseks
MsgSelectItemsToExchangeQtyLeft,Järelejäänud kogus
MsgSelectItemsToExchangeExchange,Vahetus
MsgSelectItemsToExchangeOrderHasCoupon,Sellel tellimusel on kupong. Kas see kupong mõjutab vahetatud artikli(te) hinda?
MsgSelectItemsToExchangeOrderHasCoupons,"Sellel tellimusel on kupongid. Valige välja mistahes kupongid, mis mõjutavad vahetatud artikli(te) hinda."
MsgSpecifyReasonForExchangeSpecifyReasonForExchange,Täpsustage vahetuse põhjus
MsgSpecifyReasonForExchangeGrandTotal,Kogusumma:
MsgReceiptEXCHANGE,VAHETUS
BtnOTEPShowAllOrders,Kuva kõik täitmata tellimused
BtnOTEPShowAllTodaysOrders,Kuva kõik tänase päeva tellimused
BtnOTEPTables,Lauad
BtnOTEPBarTabs,Baari lauad
BtnOTEPBarTab,Baarikoht
BtnTablesNewOrder,+ Uus tellimus
BtnTablesNewTab,+ Uus laud
BtnTablesNewParty,+ Uus seltskond
MsgTransferOrdersTableHeader,Teisalda tellimused | Vali lau(a)d ja/või vahekaart(-kaardid)
BtnTransferOrdersTransfer,Teisaldus
BtnTransferOrdersHideClockedOutEmployees,Peida töölt lahkunud töötajad.
BtnTransferOrdersAllEmp,Kõik töötajad
BtnTransferOrdersClockedIn,Registreeris tööle saabumise
MsgTransferOrdersTransfersFailed,Ebaõnnestunud ülekanded
MsgTransferOrdersTransfersFailedForOrders,"Ebaõnnestunud ülekanded tellimustele, mille id on:"
BtnTransferOrdersClockedInOnly,Üksnes tööle saabumise registreerinud
BtnTransferOrdersAllEmployees,Kõik töötajad
MsgExistingDiscounts,Kaubaartikli(-te) olemasolevad hinnaalandused
MsgItemName,Üksuse nimi
MsgDiscountName,Hinnaalanduse nimi
MsgReplaceDiscountAmount,Hinnaalanduse summa
MsgReplaceDiscount,Hinnaalanduse asendamine?
MsgTheseItemsHaveDiscounts,Neil artiklitel on juba hinnaalandused olemas. Kas asendada hinnaalandused?
MsgStanfordPhotoConfirmation,Foto kontrollimine ja kinnitamine
MsgStanfordCheckBalance,Saldo kontrollimine
MsgStanfordNonFoodAttention,Mõned tooted ei sobi eineplaani. Järgnevad tooted sobivad eineplaani dollaritesse. Kas soovite maksta nende toodete eest eineplaani kontoga?
MsgStanfordNonFoodAttentionWrongPlan,"Ükski nendest toodetest sinu tellimuses ei sobi Stanfordi eineplaani. Palun kasutage teist maksetüüpi, et osta mittetoidukaupa."
MsgStanfordFoodNonFood,Toit - Mitte toit
MsgWaitingForFoodNonFood,Jootraha valimise ootel
MsgEditEntry,Kande redigeerimine
MsgAssignTable(s),Eralda lau(a)d
MsgSendMessage,Saada sõnum
MsgRemoveEntry,Eemalda kanne
MsgPleaseFillPhoneNumberProceedToEditTheReservation,Sisestage telefoninumber. Kas jätkata broneerimise redigeerimisega?
MsgSendSMSmessageTo,"Saada SMS-sõnum, kellele: %@"
MsgSendEmailTo,"Saada e-kiri, kellele: %@"
MsgSendingFailed,Saatmine ebaõnnestus
MsgYouHaveAnReservation,Teil on broneering
MsgNextReservation,Järgmine broneering
MsgPreviousAssignment,Eelmine ülesanne
MsgEditReservation,Redigeeri broneeringut
MsgAddReservation,Lisa broneering
MsgWaitlist,Ooteloend
MsgAddNewParty,Lisa uus seltskond
MsgAllChangesWillBeLostContinue,Kõik muudatused lähevad kaotsi. Kas jätkan?
MsgBirthday,Sünnipäev
MsgNoTable(s)Assigned,Ühtki lauda pole eraldatud
MsgPleaseFillName,Sisestage nimi
MsgPleaseFillPhoneNumber,Sisestage telefoninumber
MsgPleaseFillRefCode,Palun täitke viitekood
MsgThereArentAvailableSeatsWouldYouLike,Istekohti ei ole saadaval. Kas sooviksite luua uue broneeringu?
MsgWalkIn,Astu sisse
MsgCallIn,Kasseeri sisse
MsgShortManual,M: %ld
MsgPartyNSize,Seltskonna\nsuurus
MsgPartySize,Seltskonna suurus
MsgEnterPartySize,Sisestage seltskonna suurus
MsgCheckNIn,Kirjuta\nsisse
MsgThisTableIsOccupiedWhatWouldYouLikeToDo,See laud on hõivatud. Mida soovite teha?
MsgMerge,Ühenda
MsgKeepSeparate,Hoia eraldi
MsgSeated,Koh(t)a(de)le paigutatud
MsgPleaseSelectAnyTable,Valige välja ükskõik milline laud
MsgAssign,Määra
MsgPleaseSelectTableSections,Valige lauaosad
MsgTables,Lauad
MsgTable(s),Lau(a)d
MsgHistory,Ajalugu
MsgPresent,Käesolev
MsgWaiting,Ooteaeg
MsgWaited,Oodatud aeg
MsgTargeted,Plaanitud aeg
MsgTimeNSeatedNRemoved,Aeg\nKohale paigutatud/\nEemaldatud
MsgRemovalReason,Eemaldamispõhjus
MsgReasonForRemoval,Eemaldamise põhjus
MsgReturnToWaitlist,Naase ooteloendisse
MsgEst.TimeNUntilReady,Arvestuslik aeg\nvalmiduseni
MsgEditNEntry,Redigeeri\nkannet
MsgSeatNParty,Istekoht\nSeltskond
MsgNewParty,+ Uus seltskond
MsgReservationsDashboard,Broneeringute armatuurlaud
MsgCapacityUtilization,Tootmisvõimsuse rakendatus
MsgRefreshing,Värskendan
MsgIncludedTags,Juurdearvatud sildid
MsgDaysIncludedInAverage,Juurdearvatud päevi keskmiselt
MsgQuotedWait,Fikseeritud ooteaeg
MsgPartyDetails,Seltskonna üksikasjad
MsgTablePreferences,Laua eelistused
MsgAddToWaitlist,Lisage ooteloendisse
MsgFilterByPreferences,Filtreeri eelistuste järgi
MsgNParties,Seltskonnad
MsgTotalGuests,Külastajaid kokku
MsgAvailableTables,Kasutatavad lauad
MsgAvailableCapacity,Kasutatav mahutavus
MsgReservations,Broneeringud
MsgSendMessage(s),Saada sõnum(id):
MsgHistoryIsNotSupportedNow,Ajaloo funktsioonil ei ole praegu tuge.
MsgSections,Sektsioonid
MsgSuggestions,Ettepanekud
MsgAllTables,Kõik lauad
MsgSeating,Istekohad
MsgDay(s),päev(ad)
MsgSomeChangesHaveBeenMade,Tehtud on mõned muudatused. Kas sooviksite need enne jätkamist salvestada?
MsgOrderCanceled,Tellimus tühistatud
MsgOrderClosed,Tellimus lõpetatud
MsgKeyTableStatus,Võti - laua olek
MsgPartyAutoNotify,Saada automaatteavitus tekstisõnumiga
MsgWaitlistSearchPlaceholder,Sisestage laua number või kliendi nimi
MsgFieldRequiredToSaveCustomerRecord,"%@ on nõutav kliendi kirje salvestamiseks Reveli süsteemis konfigureerituna.  Lõpetage see aken ning sisestage kehtiv ja ainuline tellija %@ või vajutage \""jätka\"", et registreerida seltskond kliendi kirjet alaliselt registreerimata."
MsgWaitlistPhoneNumber,Telefoninumber
MsgReserved,Reserveeritud
MsgNoShow,Ei näita
MsgReservation,Broneering
MsgTableReservations,Laua broneeringud
MsgIncomingSms,Sissetulevad SMS-sõnumid
MsgOutcomingSms,Väljaminevad SMS-sõnumid
MsgGasStationStartFueltransactionConfirmation,Kas lubaksite järgmist tehingut: %@?\n\nVooliku number: %d\nKogus: %.2f\nHind: %.2f\nLõplik hind: %.2f
MsgGasStationSelectClearType,Valige lisanditeta sort
MsgGasStationFailedToClearTransactionPleaseTryAgain,"Tehingu tasumine ebaõnnestus, palun proovige uuesti"
MsgGasStationInternalErrorNoFuelTransactionFound,Sisemine tõrge. Ühtki kütusetehingut ei leitud
MsgSomeTransactionsAreNotCleared,%d tehing(ud) ei ole tühistatud
MsgForecourtSuccessfullyUpdated,Platsi juhtimisseade edukalt värskendatud
MsgForecourtController,Plats on ühenduses
MsgForecourtControllerPriceUpdateFailed,Platsi juhtimisseade edukalt värskendatud
BtnMoveOrdersMove,Liiguta
BtnMoveOrdersMerge,Ühenda
BtnMoveOrdersTablesInUse,Kuva kasutusel olevad tabelid
BtnMoveOrdersTablesNotInUse,Kuva kasutusel mitteolevad tabelid
MsgMoveOrdersIsNotPossible,"Teisaldamine ei ole võimalik, kuna sihtpunkt või algtellimus ei ole peakassaga sünkroonitud."
MsgMoveOrdersTableHeader,Liiguta tellimused | Vali tabel(id) ja/või vahekaart(-kaardid)
MsgMoveOrdersPleaseSelectOrders,Vali üks või mitu tellimust
MsgMoveOrdersOtherOrders,Teised tellimused
MsgMoveOrdersSortBy,Sortimiskriteerium
MsgMoveOrdersTableOrTab,Laud / Vahekaart
MsgMoveOrdersOrderStatus,Tellimuse olek
BtnMoveOrdersTodaysOrdersByEmp,Tänased tellimused - töötaja järgi
BtnMoveOrdersTodaysOrdersByTab,Tänased tellimused - laua järgi
BtnMoveOrdersTodaysOrdersByCap,Tänased tellimused - võimsuse järgi
BtnMoveOrdersTodaysOrdersBySec,Tänased tellimused - jaotise järgi
BtnMoveOrdersTodaysOrdersByOrdS,Tänased tellimused - tellimuse järjestuse järgi
BtnMoveOrdersTodaysOrdersByOrd,Tänased tellimused - tellimuse järgi
MsgMoveOrdersAllSections,Kõik sektsioonid
MsgMoveOrdersSelectDestination,Valige sihtkoht
MsgMoveOrdersRefundManually,Teisaldada saab ainult kaubaartikleid. Tellimuse %@ makseid ei saa teisaldada ning need peab tasuma käsitsi
MsgMergeOrdersWhichToKeep,Millist tellimust sooviksite alles jätta?
MsgMergeOrdersTableHeader,Liida tellimused | Vali välja liidetavad tellimused
MsgMoveOrdersPaymentsRefundManually,Tellimuste: %@ makseid ei saa teisaldada ning need peab tasuma käsitsi
MsgMoveOrdersPaymentsDiscountMove,Tellimuste hinnaalandusi ei saa teisaldada ning need peab käsitsi uuesti kohaldama
MsgMoveOrdersPaymentsServiceFeeMove,Tellimuste teenustasusid ei saa teisaldada ning need peab käsitsi uuesti kohaldama
MsgMergeOrderSplitBillsClear,Jagatud arved tellimusele: %@ tasutakse. Kas olete kindel?
MsgMoveMergeOrderPaymentMoved,Algne makse teisaldatud Tellimusse
MsgMergeOrders,Liida tellimused
MsgMoveOrdersIsNotPossibleDueDestinationOrder,"Liitmine ei ole võimalik, kuna sihttellimusel# %@ on jagatud arved ja makse(d). Tasuge jagatud arved käsitsi."
MsgGiftCardBlances,Teie uued saldod on kuvatud allpool
MsgBLEServiceGiftRewardCaption,Kinkekaart / Preemiakaart
MsgOrderCustomerTrackingNumber,"Tellimuse nr, klient, jälgimisnumber"
MsgOrderCustomer,"Tellimuse nr, klient"
MsgShipped,Lähetatud
MsgNormal,Tavaline
MsgComments,Seletused
MsgKdsShowQuantity,Kuva kogus
MsgKdsCallNameFontSize,Kutse Nimi Kirjasuurus:
MsgKdsDoubleTapDoneonWaitingOrders,Tehke topeltkoputus kirje Ootel tellimused Valmis nupul
MsgAddNewCheck,Lisa uus tšekk
MsgGiftWithPurchase,Kink ostuga
MsgOrderQualifiesForGifts,See tellimus kvalifitseerub järgneva(te) kingitus(t)ega
MsgWetstockOverviewHeader,Kütuseinventari käitlemine - ülevaade
MsgWetstockPumpManagementHeader,Kütuseinventari käitlemine - pumbakäitlus
BtnWetstockEndOfDay,Päevalõpp
BtnWetstockEndOfMonth,Kuulõpp
BtnWetstockInitialization,Lähtestamine
BtnWetstockReconcile,Kooskõlasta
BtnWetstockDetails,Üksikasjad
MsgWetstockReconcileHeader,Pumbamõõturi reguleerimine
MsgWetstockDateTime,Kuupäev / aeg
MsgWetstockEvent,Sündmus
MsgWetstockAmtDispenced,Väljajagatud kogus
MsgWetstockAmtonMeter,Kogus mõõturil
MsgWetstockGrade,Sort
MsgWetstockAllHoses,Kõik voolikud
MsgWetstockTransactionSale,Müük
MsgWetstockTransactionReconcile,Kooskõlasta
MsgWetstockReconcilationNotes,Kooskõlastusmärkused
BtnWetstockTankTransfer,Mahuti teisaldus
BtnWetstockPrintForecourtMap,Prindi platsi kaart
MsgWetstockPumpNotResponding,Ei vasta
MsgWetstockPumpNotInstalled,Ei ole paigaldatud
MsgWetstockPumpBusy,Hõivatud
MsgWetstockManualPump,Käsipump
MsgWetstockFullyOperational,Täiesti töökorras
MsgWetstockFuelPumps,Kütusepumbad
MsgWetstockTanks,Mahutid
BtnWetstockViewDetails,Vaata\nüksikasju
MsgWetstockTotalFuelBookstock,Kütuse kirjendatud koguvaru
MsgWetstockTotalValueFuelRemaining,Järelejäänud kütuse koguväärtus
MsgWetstockFuelStock,Kütusevaru
MsgWetstockTankInfo,Andmed mahuti kohta
MsgWetstockAllTanks,Kõik-mahutid
MsgWetstockTankManagement,Mahuti käitlemine
MsgWetstockTransactionPumpTest,Pumbatest
MsgWetstockTransactionTankTransfer,Mahutitevaheline teisaldus
MsgWetstockFuelType,Kütuseliik
MsgWetstockFullCapacity,Kogumahutavus
MsgWetstockSafeWorkingCapacity,Turvaline töövõime
MsgWetstockCurrentVolume,Hetkemaht
MsgWetstockUllage,Täitmata mahuosa
MsgWetstockWaterLevel,Veetase
MsgWetstockOperational,Ekspluateeritav
MsgWetstockBlocked,Blokeeritud
MsgWetstockTransferAmount,Teisaldamiskogus
MsgWetstockTransferTankNotPossibleToTransfer,Kütust ei saa teisaldada samasse mahutisse
MsgWetstockTransactionPumpTestReturn,Naasmine pumbatesti
MsgFailedToUpdateTips,Jootraha värskendamine ebaõnnestus
MsgNothingToUpdate,Ei ole midagi värskendada
MsgTransferTo,Ülekanne kuhu:
MsgHours,töötund(-tunnid)
MsgLoggedInAs,"Logis sisse, kellena:"
MsgPriceChangesWaiting,Hinnamuudatused ootavad heakskiitmist.
MsgPriceChangesTapHere,Jätkamiseks koputage siia
MsgPriceRefreshInProcess,Hinnavärskendus on käimas...
MsgPriceChanges,Hinnamuudatused
MsgPriceChangesPriceChangesAvailable,Hinnamuudatused on kasutusvalmis.
MsgPriceChangesLogoutMessage,Logige välja ja värskendus algab automaatselt.
MsgPriceChangesAcceptMessage,Nõustumise korral algab värskendus automaatselt.
