LocaleIdentifier,LT
MsgOrderInfoCreated,Sukurtas: %@
MsgOrderInfoCreatedNoArgs,Sukurti
MsgCustomerInfoUpdated,Pirkėjo informacija atnaujinta
MsgManagerSyncLog,Sinchronizuoti žurnalą
MsgManagerSyncLogMaxRetries,Sinchronizuoti didžiausią galimą pakartotinių bandymų skaičių
MsgSalesReportError,Nepavyko įkelti pardavimų ataskaitos
MsgManagerRunEOD,Dienos pabaigos procesas
MsgManagerNeedsToRunEOD,"Reikia atlikti \""Dienos pabaigos\"" procedūrą"
MsgManagerEOD,Dienos pabaiga
MsgManagerEODTaskCloseNullOrders,Uždaryti 0.00 sumų užsakymus
MsgManagerEODCloseNullOrdersProgress,Uždaromi 0.00 sumų užsakymai...
MsgManagerEODTaskReconcileOrders,Suderinti atidarytus užsakymus
MsgManagerEODTaskProcessCreditCards,Apdoroti visas kreditines korteles
MsgManagerEODTaskDeclinedPayments,Atmesti mokėjimai
MsgManagerEODTaskOfflinePayments,Nesinchronizuoti mokėjimai
MsgManagerEODTaskConfirmTimeCards,Patvirtinti darbuotojų laiko korteles
MsgManagerEODTaskCloseAllTills,Uždaryti visus kasos terminalo stalčius
MsgManagerEODVoidRefundButton,Anuliuoti/\nGrąžinti
MsgManagerEODCloseCashButton,Uždaryti\nį grynųjų kasą
MsgManagerEODCloseToCreditPlusButton,Uždaryti į \nkreditą +
MsgManagerEODCarryNextDayButton,Perkelti į\nkitą dieną
MsgManagerEODGoToOrderButton,Eiti į\nužsakymą
MsgManagerEODPrintReport,Spausdinti ataskaitą
MsgManagerEODPrintFiscalReports,Spausdinti mokesčių ataskaitą
MsgManagerEODTaskAdditionalTasks,Papildomos užduotys
MsgManagerEODCloseTillButton,Uždaryti kasos terminalo stalčių
MsgManagerEODCloseVirtualTillButton,Uždaryti virtualų kasos terminalo stalčių
MsgManagerEODTillsOpened,Atidaryta
MsgManagerEODPosStation,POS terminalas
MsgManagerEODContinueShift,Tęsti pamainą
MsgManagerEODClockOutAll,Baigti darbo seansą visiems
MsgManagerEODNoTasksAlert,Nėra užduočių vykdymui
MsgManagerEODMarkComplete,Žymėti kaip 'Atlikta'
MsgManagerEODProcessSuccess,Dienos pabaigos procesas baigtas. Visi POS term. dabar atsinaujins
MsgManagerEODProcessSuccessMain,Dienos pabaigos procesas baigtas. POS terminalas dabar atsinaujins
MsgManagerEODReportsAllEmployees,"Visi darbuotojai (kompleksiškai, vienoje ataskaitoje)"
MsgManagerEODReportsAllEmployeesAgg,Visi darb.(bendra atask.)
MsgManagerEODReportsAllStationsAgg,Visi terminal.(bendra atask.)
MsgManagerEODRunPrompt,Prašome atlikti 'Dienos pabaigos' procedūrą
MsgManagerEODGoToNextStep,Kitas žingsnis
MsgManagerEODUnableToRun,Neįmanoma atlikti 'Dienos pabaigos' procedūros
MsgManagerEODCurrentOrderOpen,Užsakymas nr.%@ yra atidarytas! Uždarykite užsakymą prieš paleisdami 'Dienos pabaigos' procedūrą.
MsgManagerEODActiveTransactionsError,Yra aktyvių operacijų. Prašome užbaigti visas operacijas prieš pradedant 'Dienos pabaigos' procedūrą.
MsgManagerEODActivePumpAuthorizationError,Degalų pompa laukia vartotojo veiksmų. Prašome užbaigti visas operacijas prieš pradedant\n'Dienos pabaigos' procedūrą.
MsgManagerEODError,'Dienos pabaigos' procedūros negalima tęsti.
MsgPrintReportsBEError,Ataskaitų spausdinimo duomenų bazių serverio klaida.
MsgManagerEODCustomStepsCompleted,Visos papildomos šios dienos užduotys baigtos.
MsgManagerEODFiscalReportPrinted,Šios dienos ataskaita jau atspausdinta.
MsgManagerEODClockOutEmployees,Užbaigti darbo seansą visiems darbuotojams...
MsgManagerEODBatchClockOutError,Negalima užbaigti seanso vienam ar keliems darbuotojui(-ams).\nAr nieko nepaisant norite tęsti?
MsgManagerEODPrintReportUsersEmpty,Nėra ką spausdinti. Nėra operacijų šioje įstaigoje (filiale).
MsgManagerEODChildsError,Terminalai %@ nėra sinchronizuoti su pagrindiniu terminalu.\nVis tiek norite tęsti?
MsgManagerEODSelectPrintOptions,Pasirinkite spausdinimo parinktis
MsgManagerEODEmployeesCaption,Darbuotojai
MsgManagerEODSynLogMenu,Dienos pabaiga
MsgManagerEODSynLogStarted,'Dienos pabaigos' procedūra pradėta
MsgManagerEODSynLogFinished,'Dienos pabaigos' procedūra baigta
MsgManagerEODFiscalPrintersNotFoundError,"Nerastas fiskalinis spausdintuvas, patikrinkite nustatymus"
MsgManagerEODFiscalPrinterBusyError,"Fiskalinis spausdintuvas užimtas, bandykite vėliau"
MsgManagerEODBusinessDayNotClosed,Ne visi terminalai užbaigė darbo dieną.\nPriverstinai uždaryti darbo dieną visuose terminaluose?
MsgManagerEODSendingFinishLog,Siunčiamas pabaigos žurnalas
MsgManagerEODOfflineStanford,Atjungties veiksenos CS Gold mokėjimai
MsgManagerEODSkipStep,Praleisti žingsnį
MsgManagerEODFiscalReportCompletedOnAllStations,Visi terminalai sėkmingai atspausdino fiskalines ataskaitas.
MsgManagerEODFiscalReportPrintFailedOnStations,Šiam(-iems) terminalui(-ams) nepavyko atspausdinti fiskalinių ataskaitų:
MsgManagerEODFiscalReportPrintRetryOption,"Ar bandyti spausdinti pakartotinai terminaluose, kuriuose nepavyko, ar tęsite fiskal. spausdinimą rankiniu būdu?"
MsgManagerEODFiscalReportPrintManually,"Prieš spaudžiant \""Tęsti\"", prašome rankiniu būdu atspausdinti fiskal. ataskaitą tiesiai iš terminalo, iš kurio nepavyko atspausdinti automatiniu būdu."
MsgManagerEODErrorUnsyncedOrdersCheck,Nesusinchronizuotų užsakymų patikrinimas
MsgManagerEODErrorFollowingStationsDidNotRespond,Nėra ryšio su šiais terminalais
MsgManagerEODErrorFollowingStationsHaveOrdersSyncing,Šiuose terminaluose užsakymai dar sinchronizuojami (greičiausiai dėl ryšio problemų)
MsgManagerEODErrorAndTheFollowingUnsyncedOrders,ir sekantys nesusinchronizuoti užsakymai
MsgManagerEODErrorFollowingStationsHaveOrdersUnsynced,Šiuose terminaluose yra dar nesusinchronizuotų užsakymų
BtnManagerEODExitWizard,Išeiti iš vedlio
BtnManagerEODReSync,Persinchronizuoti
BtnManagerEODRetrySync,Sinchronizuoti iš naujo
MsgManagerEODErrorThereAreStillUnsyncedOrders,"Kai kurie užsakymai dar sinchronizuojasi ir/arba nebuvo susinchronizuoti.\n\nRekomenduojama atlikti užsakymų sinchronizavimą kiekviename terminale rankiniu būdu prieš atliekant \""Dienos pabaigos\"" procedūrą. "
MsgManagerEODFollowInstructionsBellow,Prašome vadovautis šiomis instrukcijomis:
MsgManagerEODInstructionsStep1,"Bakstelėkite \""Užsakymai\"" ir pasirinkite \""Nesusinchronizuoti užsakymai\"" kiekviename dukteriniame terminale."
MsgManagerEODInstructionsStep1BoldOrders,Užsakymai
MsgManagerEODInstructionsStep1BoldUnsyncedOrders,Nesusinchronizuoti užsakymai
MsgManagerEODInstructionsStep2,"Bakstelėkite bet kurį iš nesusinchronizuotų užsakymų, kad susinchronizuotumėte naudodami pagrindinį terminalą."
MsgManagerEODInstructionsLastLines,"Jei nepavyksta atlikti užsakymų sinchronizacijos, patikrinkite prisijungimo prie tinklo būseną.\nJei sinchronizuoti užsakymų vis tiek nepavyksta, prašome kreiptis į klientų aptarnavimą."
MsgManagerEODLockChildStations,Nutraukti terminalų sinchronizavimą
MsgManagerEODHasBeenInitiated,"Pradėta \""Dienos pabaigos\"" procedūra"
MsgManagerEODTerminalWillReactive,"Šis terminalas atnaujins veikimą, kai \""Dienos pabaigos\"" procedūra bus baigta arba nutraukta"
MsgManagerEODTerminalWillAutologout,Šis terminalas automatiškai atsijungs ir nustos veikti po %@. Prašome atsijungti
MsgManagerEODFollowingStationsUsersLoggedIn,Šiuose terminaluose yra dar neatsijungusių sistemos naudotojų
MsgManagerEODLockedStationsFoundMessage,"Sąrašas automatiškai atsinaujins, kai tik bus atjungti naudotojai šiuose terminaluose.\nSistemos vedlys pradės darbą automatiškai.\n\nJei norite tęsti dar neatsijungus visiems sistemos naudotojams terminaluose, spauskite \""Toliau\"".\nŠie naudotojai bus atjungti automatiškai iš %@. "
MsgManagerEODLockStationNoConnection,Nėra ryšio
MsgManagerEODLockStationWaitingForResponse,Laukiama atsako
MsgManagerEODMinutesSingular,minutė
MsgManagerEODMinutesPlural,minutės
MsgManagerEODRevenueCentersPlural,Pajamų Centrai
MsgManagerSyncLogSignatures,Parašai
MsgManagerSyncLogOrders,Užsakymai
MsgManagerSelectLogItem,Pasirinkite rodytiną žurnalo elementą
MsgManagerSyncShowButton,Rodyti
MsgNotSupportedForIphoneApp,Nepalaiko „iPhone“ programa
MsgFullProductDetails,Visa informacija apie produktą
MsgSyncStatusDownloaded,Parsiųsta
MsgSyncStatusPercentComplete,proc. baigta
MsgAgeVerification,Amžiaus patvirtinimas
MsgCustomerBirthdateMessage,"Pirkėjas turi būti gimęs prieš %@, kad galėtų įsigyti šį produktą.\nPrašome patvirtinti informaciją pagal pirkėjo pateiktame dokumente esantį asm. kodą."
MsgItemDetailsBIN,LENTYNA
MsgItemDetailsDetails,Produkto informacija
BtnItemDetailsInventoryLookup,Produktų atsargų aprašo\nperžvalga
MsgWarningDeleteSignature,Ar tikrai norite pašalinti parašo informaciją?
MsgDeleteSignatureError,Nepavyksta iš disko pašalinti parašo
MsgBLECheckedIn,„Bluetooth“ pirkėjo prisijungimas
MsgOrderDetailsCustomerCheckInfo,Tikrinti pirkėją
MsgAggregate,Sankaupa
MsgVoidServiceProduct,Produktas
MsgVoidServicePrice,Kaina
MsgVoidSelectItems,Produktas(-ai) anuliavimui
MsgReturnSelectItems,Produktas(-ai) grąžinimui
MsgVoidReturnSelectItems,Produktas(-ai) grąžinimui
MsgCompSelectItems,Produktas(-ai) veltui
MsgVoidQtyLeft,Likęs kiekis
MsgRPIUpdateConfirm,Bus atnaujinta RPI. Tikrai norite tęsti?
MsgRPIUpdateSuccess,RPI sėkmingai atnaujinta
MsgRPIUpdateFail,RPI atnaujinti nepavyko
MsgRPICommunicationFail,Nepavyko užmegzti ryšio su tinklo koncentratoriumi. Iš naujo prijunkite tinklo kabelį arba iš naujo paleiskite koncentratorių
MsgRPIDevicesInfo,RPI v. %@ įrenginių informacija
MsgRPIConnectedDevices,Prijungti įrenginiai
MsgRPINonMappedDevices,Nesusietieji įrenginiai
MsgReceiptTitleGuestCheck,IŠANSTINĖ SĄSKAITA
MsgReceiptTitleHeldOrders,Atidėtų užsakymų ataskaita
MsgReceiptNumberOfHeldOrders,Atidėti užsakymai
MsgReceiptTotalSumOfHeldOrders,Iš viso
MsgOrderExchangeFrom,[iš %@]
MsgOrderExchangeDoneAddItems,Produktai sukeisti.  Įtraukite į šį užsakymą naujų produktų.
MsgOrderExchangeExceedsPurchaseAmountTitle,Pridėti daugiau produktų
MsgOrderExchangeExceedsPurchaseAmountMessage,"Keitimo vertė viršija pirkimo sumą. Pridėkite produktų, kad galėtumėte naudoti turimas lėšas."
MsgSelectItemsToExchangeSelectItemsToExchange,Pažymėti produktą(-us) sukeitimui
MsgSelectItemsToExchangePleaseSelectItems,Prašome pažymėti produktą(-us) sukeitimui
MsgSelectItemsToExchangeExchangeCoupons,Užsakyme naudojami kuponai.
MsgSelectItemsToExchangeItemsToExchange,Produktas(-ai) sukeitimui
MsgSelectItemsToExchangeQtyLeft,Likęs kiekis
MsgSelectItemsToExchangeExchange,Sukeisti
MsgSelectItemsToExchangeOrderHasCoupon,Užsakymas turi kuponą. Ar kuponas įtakoja sukeito(-ų) produkto(-ų) kainą?
MsgSelectItemsToExchangeOrderHasCoupons,"Užsakymas turi kuponų. Pažymėkite kuponus, kurie įtakoja sukeito(-ų)produkto(-ų) kainą."
MsgSpecifyReasonForExchangeSpecifyReasonForExchange,Nurodykite sukeitimo priežastį
MsgSpecifyReasonForExchangeGrandTotal,Viso:
MsgReceiptEXCHANGE,SUKEISTI
BtnOTEPShowAllOrders,Rodyti visus užsakymus
BtnOTEPShowAllTodaysOrders,Rodyti visus šiandienos užsakymus
BtnOTEPTables,Staleliai
BtnOTEPBarTabs,Baro kortelės
BtnOTEPBarTab,Baro kortelė
BtnTablesNewOrder,+ Naujas užsak.
BtnTablesNewTab,+ Nauja kortelė
BtnTablesNewParty,+ Nauja rezerv.
MsgTransferOrdersTableHeader,Perkelti užsakymus | Pasirinkti stalą (-us) ir (arba) kortelę (-es)
BtnTransferOrdersTransfer,Perkelti
BtnTransferOrdersHideClockedOutEmployees,"Slėpti darbuotojus, kurių seansas baigėsi"
BtnTransferOrdersAllEmp,Visi darb.
BtnTransferOrdersClockedIn,Pradžios laikas
MsgTransferOrdersTransfersFailed,Perkėlimai nepavyko
MsgTransferOrdersTransfersFailedForOrders,Nepavyko perkėlimai užsakymams su šiais ID:
BtnTransferOrdersClockedInOnly,Tik pradėjus seansą
BtnTransferOrdersAllEmployees,Visi darbuotojai
MsgExistingDiscounts,Galimos produkto(-ų) nuolaidos
MsgItemName,Produkto pavadinimas
MsgDiscountName,Nuolaidos pavadinimas
MsgReplaceDiscountAmount,Nuolaidos suma
MsgReplaceDiscount,Pakeisti nuolaidą?
MsgTheseItemsHaveDiscounts,Šiems produktams jau priskirtos nuolaidos. Ar noritepakeisti nuolaidas?
MsgStanfordPhotoConfirmation,Patikrinkite ir patvirtinkite nuotrauką
MsgStanfordCheckBalance,Tikrinti likutį
MsgStanfordNonFoodAttention,Dalis Jūsų produktų nepriklauso maitinimo planui. Sekantys produktai priklauso maitinimo planui. Apmokėti už šiuos produktus maitinimo planu?
MsgStanfordNonFoodAttentionWrongPlan,Nei vienas produktas Jūsų užsakyme nepriklauso Stanford maitinimo planui. Pasirinkite kitokį mokėjimo būdą norint įsigyti nemaisto prekes.
MsgStanfordFoodNonFood,Maistas - Ne maistas
MsgWaitingForFoodNonFood,"Laukiama, kol bus pasirinkti arbatpinigiai."
MsgEditEntry,Redaguoti įrašą
MsgAssignTable(s),Priskirti stalelį(-ius)
MsgSendMessage,Siųsti žinutę
MsgRemoveEntry,Pašalinti įrašą
MsgPleaseFillPhoneNumberProceedToEditTheReservation,Prašome nurodyti tel. nr. Tęsti rezervacijos redagavimą?
MsgSendSMSmessageTo,Siųsti SMS žinutę %@
MsgSendEmailTo,Siųsti el. laišką %@
MsgSendingFailed,Išsiųsti nepavyko
MsgYouHaveAnReservation,Jūs turite rezervaciją
MsgNextReservation,Kita rezervacija
MsgPreviousAssignment,Ankstesnis priskyrimas
MsgEditReservation,Redaguoti rezervaciją
MsgAddReservation,Sukurti rezervaciją
MsgWaitlist,Lauk. sąrašas
MsgAddNewParty,Pridėti naują rezerv.
MsgAllChangesWillBeLostContinue,Pakeitimai nebus išsaugoti. Tęsti?
MsgBirthday,Gimtadienis
MsgNoTable(s)Assigned,Nėra paskirtų stalelių
MsgPleaseFillName,Nurodykite vardą
MsgPleaseFillPhoneNumber,Nurodykite telefono numerį
MsgPleaseFillRefCode,Prašome įvesti identifikac. kodą
MsgThereArentAvailableSeatsWouldYouLike,Nėra laisvų vietų. Ar vis tiek norite sukurti naują rezervaciją?
MsgWalkIn,Vizitas
MsgCallIn,Telefonu
MsgShortManual,M: %ld
MsgPartyNSize,Rezerv.\ndydis
MsgPartySize,Rezerv. dydis
MsgEnterPartySize,Įveskite rezerv. dydį
MsgCheckNIn,Įsiregistravimo\nlaikas
MsgThisTableIsOccupiedWhatWouldYouLikeToDo,Šis stalelis užimtas. Kaip norite elgtis?
MsgMerge,Apjungti
MsgKeepSeparate,Laikyti atskirai
MsgSeated,Susodinta
MsgPleaseSelectAnyTable,Pasirinkite bet kurį stalelį
MsgAssign,Priskirti
MsgPleaseSelectTableSections,Pasirinkite sekciją
MsgTables,Staleliai
MsgTable(s),Stalelis (-iai)
MsgHistory,Istorija
MsgPresent,Esamas
MsgWaiting,Laukiamas laikas
MsgWaited,Lauktas laikas
MsgTargeted,Planuotas laikas
MsgTimeNSeatedNRemoved,Laikas\nsusodinta/\npašalinta
MsgRemovalReason,Pašalinimo priežastis
MsgReasonForRemoval,Pašalinimo priežastis
MsgReturnToWaitlist,Grąžinti į laukiančiųjų sąrašą
MsgEst.TimeNUntilReady,Apsk. laikas\niki atsilaisvinimo
MsgEditNEntry,Redaguoti\nįrašą
MsgSeatNParty,Pasodinti\nsvečių grupę
MsgNewParty,+ Nauja rezerv.
MsgReservationsDashboard,Rezervacijų valdymo skydas
MsgCapacityUtilization,Kiekio utilizavimas
MsgRefreshing,Atnaujinama
MsgIncludedTags,Įtrauktos žymės
MsgDaysIncludedInAverage,Dienos įtrauktos į vidurkį
MsgQuotedWait,Nustatytas laukimo laikas
MsgPartyDetails,Rezerv. detalės
MsgTablePreferences,Stalelių nustatymai
MsgAddToWaitlist,Įtraukti į laukiančiųjų sąrašą
MsgFilterByPreferences,Filtruoti pagal nustatymus
MsgNParties,Svečių grupės
MsgTotalGuests,Viso svečių
MsgAvailableTables,Laisvi staleliai
MsgAvailableCapacity,Vietų sk.
MsgReservations,Rezervacijos
MsgSendMessage(s),Siųsti žinutę(-es)
MsgHistoryIsNotSupportedNow,Istorija šiuo metu nepalaikoma.
MsgSections,Sekcijos
MsgSuggestions,Pasiūlymai
MsgAllTables,Visi staleliai
MsgSeating,Sėd. vieta
MsgDay(s),diena(-os)
MsgSomeChangesHaveBeenMade,Buvo atlikti pakeitimai. Ar išsaugoti prieš tęsiant?
MsgOrderCanceled,Užsakymas atšauktas
MsgOrderClosed,Užsakymas uždarytas
MsgKeyTableStatus,Raktas - stalelio būsena
MsgPartyAutoNotify,Automatinis tekstinis pranešimas
MsgWaitlistSearchPlaceholder,Įveskite stalelio ir užsakymo nr. bei kliento vardą
MsgFieldRequiredToSaveCustomerRecord,"Įveskite %@, kad galėtumėte išsaugoti pirkėjo duomenis Revel sistemoje. Uždarykite šį langą ir įveskite teisingą bei unikalų pirkėją %@ arba spauskite \""Tęsti\"", kad užrezervuotumėte stalelį, neišsaugant pirkėjo duomenų."
MsgWaitlistPhoneNumber,Telefono numeris
MsgIncomingSms,Įeinanti SMS žinutė
MsgOutcomingSms,Siunčiama SMS žinutė
MsgGasStationStartFueltransactionConfirmation,Autorizuoti operaciją %@?\n\nŽarnos nr: %d\nKiekis: %.2f\nKaina: %.2f\nBendra suma: %.2f
MsgGasStationSelectClearType,Pasirinkite išvalymo tipą
MsgGasStationFailedToClearTransactionPleaseTryAgain,"Nepavyko išvalyti operacijos, bandykite iš naujo"
MsgGasStationInternalErrorNoFuelTransactionFound,Vidinė triktis. Nerasta degalų operacijų
MsgSomeTransactionsAreNotCleared,%d operacija(-os) neišvalyta(-os)
MsgForecourtSuccessfullyUpdated,Pompų valdiklis sėkmingai atnaujintas
MsgForecourtController,Pompų valdiklis
MsgForecourtControllerPriceUpdateFailed,Pompų valdiklis sėkmingai atnaujintas
BtnMoveOrdersMove,Perkelti
BtnMoveOrdersMerge,Apjungti
BtnMoveOrdersTablesInUse,Rodyti užimtus stalelius
BtnMoveOrdersTablesNotInUse,Rodyti laisvus stalelius
MsgMoveOrdersIsNotPossible,"Perkėlimas negalimas, nes nevyksta užsakymų sinchronizavimas su pagrindiniu POS terminalu."
MsgMoveOrdersTableHeader,Perkelti/Apjungti užsakymus
MsgMoveOrdersPleaseSelectOrders,Rink. užsak.
MsgMoveOrdersOtherOrders,Kiti užsakymai
MsgMoveOrdersSortBy,Rūšiuoti pagal
MsgMoveOrdersTableOrTab,Stalelis / Kortelė
MsgMoveOrdersOrderStatus,Užsakymo būsena
BtnMoveOrdersTodaysOrdersByEmp,Šiandienos užsak. - pagal darbuotoją.
BtnMoveOrdersTodaysOrdersByTab,Šiandienos užsak. - pagal kort.
BtnMoveOrdersTodaysOrdersByCap,Šiandienos užsak. - pagal talp.
BtnMoveOrdersTodaysOrdersBySec,Šiandienos užsak. - pagal dalis
BtnMoveOrdersTodaysOrdersByOrdS,Šiandienos užsak. - by OrdS.
BtnMoveOrdersTodaysOrdersByOrd,Šiandienos užsak. - by Ord.
MsgMoveOrdersAllSections,Visos sekcijos
MsgMoveOrdersSelectDestination,Pasirinkite tikslą
MsgMoveOrdersRefundManually,Gali būti perkelti tik produktai. %@ užsakymo apmokėjimai negali būti perkelti ir privalo būti grąžinti rankiniu būdu
MsgMergeOrdersWhichToKeep,Kurį užsakymą norite išlaikyti?
MsgMergeOrdersTableHeader,Užsakymų apjungimas | Pasirinkite užsakymus apjungimui
MsgMoveOrdersPaymentsRefundManually,Užsakymo %@ mokėjimai negali būti perkelti ir privalo būti grąžinti rankiniu būdu
MsgMoveOrdersPaymentsDiscountMove,"Nuolaidos negali būti perkeltos, todėl privalo būti priskirtos iš naujo"
MsgMoveOrdersPaymentsServiceFeeMove,"Aptarnavimo mokesčiai negali būti perkelti, todėl privalo būti priskirti iš naujo"
MsgMergeOrderSplitBillsClear,Padalytos sąskaitos bus panaikintos užsakymui %@. Tikrai norite tęsti?
MsgMoveMergeOrderPaymentMoved,Originalus apmokėjimas priskirtas užsakymui
MsgMergeOrders,Apjungti užsakymus
MsgMoveOrdersIsNotPossibleDueDestinationOrder,"Apjungimas negalimas, nes tikslinis užsakymas # %@ turi padalytas sąskaitas ir mokėjimus. Prašome rankiniu būdu panaikinti padalytas sąskaitas"
MsgGiftCardBlances,Žemiau pateikiami nauji likučiai
MsgBLEServiceGiftRewardCaption,Dovanų kortelė / Lojalumo kortelė
MsgOrderCustomerTrackingNumber,"Užsakymo nr., pirkėjas, sekimo nr."
MsgOrderCustomer,"Užsakymo nr., pirkėjas"
MsgShipped,Išsiųsta pristatymui
MsgNormal,Normalus
MsgComments,Komentarai
MsgKdsShowQuantity,Parodyti kiekį
MsgKdsCallNameFontSize,Kvietimo vardo šrifto dydis:
MsgKdsDoubleTapDoneonWaitingOrders,Du kartus bakstelėkite BAIGTA ant laukiančių užsakymų
MsgAddNewCheck,Pridėti naują kvitą
MsgGiftWithPurchase,Dovana su apsipirkimu
MsgOrderQualifiesForGifts,Šiam užsakymui galimos dovana(-os)
MsgWetstockOverviewHeader,Wetstock valdymas - apžvalga
MsgWetstockPumpManagementHeader,Wetstock valdymas - pompos valdymas
BtnWetstockEndOfDay,Dienos pabaiga
BtnWetstockEndOfMonth,Mėnesio pabaiga
BtnWetstockInitialization,Inicializacija
BtnWetstockReconcile,Suderinti
BtnWetstockDetails,Išsami informacija
MsgWetstockReconcileHeader,Pompos matuoklės suderinimas
MsgWetstockDateTime,Data / Laikas
MsgWetstockEvent,Įvykis
MsgWetstockAmtDispenced,Perpiltas kiekis
MsgWetstockAmtonMeter,Kiekis matuoklyje
MsgWetstockGrade,Klasė
MsgWetstockAllHoses,Visos žarnos
MsgWetstockTransactionSale,Pardavimas
MsgWetstockTransactionReconcile,Suderinti
MsgWetstockReconcilationNotes,Suderinimo pastabos
BtnWetstockTankTransfer,Rezervuaro perkėlimas
BtnWetstockPrintForecourtMap,Spausdinti pompų valdiklio žemėlapį
MsgWetstockPumpNotResponding,Neatsako
MsgWetstockPumpNotInstalled,Neįdiegta
MsgWetstockPumpBusy,Užimta
MsgWetstockManualPump,Rankinė pompa
MsgWetstockFullyOperational,Visu pajėgumu
MsgWetstockFuelPumps,Degalų pompos
MsgWetstockTanks,Rezervuarai
BtnWetstockViewDetails,Žiūrėti\nišsamiau
MsgWetstockTotalFuelBookstock,Visas kuras esantis Bookstock
MsgWetstockTotalValueFuelRemaining,Bendra likusio kuro vertė
MsgWetstockFuelStock,Kuras sandėlyje
MsgWetstockTankInfo,Rezervuaro informacija
MsgWetstockAllTanks,Visi rezervuarai
MsgWetstockTankManagement,Rezervuaro valdymas
MsgWetstockTransactionPumpTest,Pompos bandymas
MsgWetstockTransactionTankTransfer,Rezervuaro keitimas
MsgWetstockFuelType,Kuro tipas
MsgWetstockFullCapacity,Pilnas pajėgumas
MsgWetstockSafeWorkingCapacity,Saugus veikimo pajėgumas
MsgWetstockCurrentVolume,Dabartinis tūris
MsgWetstockUllage,Nuotėkis
MsgWetstockWaterLevel,Vandens lygis
MsgWetstockOperational,Eksploatacinis
MsgWetstockBlocked,Užblokuota
MsgWetstockTransferAmount,Perpylimo kiekis
MsgWetstockTransferTankNotPossibleToTransfer,Neįmanomas perpylimas į tą patį rezervuarą
MsgWetstockTransactionPumpTestReturn,Pompos bandymo grąžinimas
MsgFailedToUpdateTips,Nepavyko atnaujinti arbatpinigių
MsgNothingToUpdate,Nėra ką atnaujinti
MsgTransferTo,Perkelti į
MsgHours,valanda(-os)
MsgLoggedInAs,Prisijungta kaip
MsgPriceChangesWaiting,Kainų pakeitimai laukia patvirtinimo
MsgPriceChangesTapHere,"Bakstelėkite, jei norite tęsti"
MsgPriceRefreshInProcess,Vyksta kainos atnaujinimas...
MsgPriceChanges,Kainų pakeitimai
MsgPriceChangesPriceChangesAvailable,Yra kainų pasikeitimų
MsgPriceChangesLogoutMessage,Prašome išsiregistruoti ir atnaujinimai prasidės automatiškai
MsgPriceChangesAcceptMessage,"Jei patvirtinsite, atnaujinimai prasidės automatiškai."
MsgPriceChangesNote,PASTABA: prašome patvirtinti pokyčius taip pat ir konfigūravimo stotyje %@
MsgPriceChangesNoteWait,"Jei lauksite, Jums bus priminta po 5 minučių."
MsgPriceChangesNoteWaitXMinutes,"Jei lauksite, Jums bus priminta po 5 minučių."
MsgPriceChangesWarning,"Dėmesio: Jūsų konfigūravimo stotis nėra nustatyta valdymo konsolėje, todėl pompų valdiklis negali būti atnaujintas"
MsgPriceChangesCurrentPrice,Dabartinė kaina
MsgPriceChangesNewPrice,Nauja kaina
MsgPriceChangesWetstockMessage,Yra kainų pasikeitimų Wetstock
MsgGasStationSettingsRefreshRequired,Nustatymų atnaujinimai ir/ar kainų pasikeitimai laukia patvirtinimo.
MsgAppliedPumpPricePrice,Pritaikyta pardavimo kaina
MsgSmsMessageSuccessfullySentTo,SMS žinutė sėkmingai išsiųsta į %@.
MsgSentSmsIsNotDelivered,SMS žinutės nepavyko nusiųsti į %@.
MsgCanceledByPhone,Atšaukta telefonu
MsgSalesDailyCashDescription,Detalus grynųjų pinigų operacijų sąrašas nuo pradinės grynųjų sumos iki sumos turinčios būti kasos terminalo stalčiuje
MsgSalesDailyPaymentSummaryDescription,Susumuoti mokėjimai kiekvienam atsiskaitymo būdui.
MsgSalesDailyPaymentLogDescription,"Detalus gautų mokėjimų sąrašas, sugrupuotas pagal atsiskaitymo būdą."
MsgSalesReportDescription,"Išsami, konfigūruojama pardavimų ataskaita. Atvaizduojami susumuoti pardavimų, nuolaidų, anuliavimų, grąžinimų, atsiskaitymų ir įsipareigojimų duomenys."
MsgSalesReportDescriptionRevelLite,"Išsami, konfigūruojama pardavimų ataskaita. Atvaizduojami susumuoti pardavimų, nuolaidų, anuliavimų, grąžinimų, atsiskaitymų ir įsipareigojimų duomenys."
MsgSalesSummaryCashLog,Dienos grynųjų pinigų žurnalas
MsgSalesSummaryPaymentSummary,Dienos apmokėjimų suvestinė
MsgSalesSummarySalesReport,Pardavimų ataskaita
MsgOrderIsNotCompliant,Užsakymas neatitinka nustatytų reikalavimų
MsgITLUpdatePrices,Atnaujinti kainas
MsgITLSetupForecourt,Nustatyti pompų valdiklį
MsgITLUpdateForecourt,Atnaujinti pompų valdiklį
MsgITLForecourtConnectionStatus,Pompų valdiklio ryšio būsena
MsgITLActiveTransactions,Aktyvios operacijos
MsgITLUpdateLogs,Atnaujinti reg. žurnalo įrašus
MsgITLSendToSupport,Siųsti klientų aptarnavimo skyriui
MsgITLFullLogs,Visi reg. žurnalo įrašai
MsgITLRequestFailedUnknownStatus,Prašymas neįvykdytas dėl nežinomos priežasties
MsgITLLogOut,Atsijungti
MsgITLLogIn,Prisijungti
