LocaleIdentifier,SP
MsgSelectDeliveryOptionsPlease,Selecciona opción de entrega por favor 
MsgNoShippingServiceConfigured,No hay servicio de envío configurado
MsgShippingLabelSizeTitle,Tamaño de la etiqueta
MsgRemoveShipping,Envío
MsgShippingConfirmRemove,Pulse OK para borrar la direccion
MsgUpdateWeight,Ingrese el peso
MsgUndo,como deshacer
MsgShippingMethod,Método de entrada
MsgSignatureOptionNone,Ninguno
MsgSignatureOptionRequire,Requerir\nFirma
MsgSignatureOptionRequireAdult,Requerir\nFirma
MsgSignatureOptionRequireDirect,Requerir\nFirma
MsgSignatureOptionRequireIndirect,Requerir\nFirma
MsgSignatureOptionDefault,Usar predeterminada
MsgShippingTracking,Número de rastreo
MsgShippingNoAvailableServices,Cargos por servicio no gravables
MsgDuSettingsEnableSignature,Habilitar firma
MsgDuSettingsEnableTips,Habilitar propinas
MsgDuSettingsShowSwipePrompt,Mostrar indicación para deslizar
MsgDuSettingsWelcomeMessage,Mensaje de bienvenida
MsgDuSettingsEnableProductImages,Habilitar imágenes de productos
MsgDuSettingsEnablePrintReceipts,Imprimir Recibo
MsgDuSettingsEnableEmailReceipts,Enviar recibos por correo electrónico
MsgDuNoTip,Sin propina
MsgDuRewardOrPhone,No. de recompensa o no. de teléfono
MsgDuEmailAddressIsEmpty,La dirección está vacía
MsgDuLast4Digits,Últimos 4 dígitos: %@
MsgDuChooseBackgroundImage,Elija la imagen de fondo
MsgDuChooseBackgroundVideo,Elige vídeo de fondo
MsgDuBackgroundImageIsFilled,La imagen de fondo se estira para ocupar toda la pantalla
MsgDuBackgroundVideoIsFilled,Vídeo de fondo llena toda la pantalla y se pone cuando Pantalla está en el estado idle
MsgDuUseDefault,Usar predeterminada
MsgDuFromImagePicker,De ImagePicker
MsgDuLogoImageIsLocated,La imagen del logo se encuentra arriba a la izquierda en la pantalla. El tamaño preferido es 231x95
MsgDuLogoImageIsLocatediPhone,La imagen del logo se encuentra arriba a la izquierda de la pantalla sin redimensionar. El tamaño preferido es 151x71
MsgDuChooseLogoImage,Elija una imagen para el logo
MsgDuCongratulations,¡Felicidades!
MsgDuYouveEarnedARewardRedeemNow,Ganó una recompensa ¿Canjear ahora?
MsgDuCashRoundedTotal,Efectivo redondeado total: %@
MsgDuDiscountsTotal,Total de descuentos
MsgDuOrgPrice,Precio org.
MsgDuNumberWasNotFoundPleaseTryAgain,[Número] no fue encontrado. Vuelva a intentarlo.
MsgDuIncludesServiceFee,Incluye cargo por servicio: %@
MsgDuPleaseWait,Espere
MsgDuPleaseEnterRewardCardNumber,Ingrese un no. de tarjeta de recompensas o no. de teléfono.
MsgDuThisCdsAndThePosAreOnIncompatible,Este CDS y POS están en las versiones no compatibles lo que puede llevar a corrupción de datos. Por favor actualiza tu CDS.
MsgDuExpensifyConfirmSendAutomatically,¿Quieres que enviamos automáticamente Recibos a Expensify de esta locación?
MsgDuRedeem,Redimir
MsgDuDontRedeem,No redimes
MsgSelectEmailTitle,Seleccione una caja
MsgDUWelcomeTourTitleScreen1,¡Bienvenido a Revel Pantalla de Cliente!
MsgDUWelcomeTourTitleScreen6,Configurando tu Revel Pantalla de Cliente
MsgDUWelcomeTourTextScreen1,"Para mostrar a tus clientes cualquier mensaje específico o marca, pantalla de ¡Bienvenido! puede personalizarse dentro del menú de ajustes."
MsgDUWelcomeTourTextScreen2,Pedidos de clientes aparecen porque están registrados por parte de tu empleado junto con totales y cualquier descuento aplicado.
MsgDUWelcomeTourTextScreen3,"Si propinas están activadas en tu Consola web, opciones de propina comenzarán de mostrar varios importes y porcentajes."
MsgDUWelcomeTourTextScreen4,Procesar pagos y que tus clientes se registran directamente a través de la Pantalla de Cliente.
MsgDUWelcomeTourTextScreen5,"Después de que el pago se realice, tus clientes podrán elegir si quieren imprimir o enviar su recibo, o si no quieren ningún recibo."
MsgDUWelcomeTour6AdditionalText,"Una vez que se configura Pantalla de cliente en Consola Web por tu administrador de Revel, ¡podrás empezar!"
MsgDUWelcomeTourTextScreen6,"Si necesitas asistencia, por favor llama"
MsgDUWelcomeTour6PhoneNumber,1.415.744.1433
MsgKdsPosTriesToConnectToCds,El POS trata de conectarse con el servicio de visualización del cliente. Verifique su configuración.
MsgKdsPosTriesToConnectToPos,El POS trata de conectarse a otro POS. Verifique su configuración.
MsgKdsRecall,Volver a llamar
MsgKdsRecallOrder,Llamar pedido
MsgKdsCompleted,Completado
MsgKdsVoid,Anular
MsgKdsOrderUp,¡PEDIDO LISTO!
MsgKdsWorking,TRABAJANDO
MsgKdsAllDayView,Vista de todo el día
MsgKdsRegularView,Vista regular
MsgKdsGroupBy,Agrupar por
MsgKdsOrderBy,Ordenar por
MsgKdsItemName,Nombre del artículo
MsgKdsHideItem,Ocultar artículo
MsgKdsOrderStatus,ESTADO DEL PEDIDO
MsgKdsClearAll,Eliminar todos
MsgKdsOldestOnTop,Más antiguos primero
MsgKdsNewestOnTop,Más recientes primero
MsgKdsMove,   Mover:
MsgKdsCompletedToTop,   Finalizados arriba
MsgKdsKitchenDisplaySettings,Configuración de pantalla de cocina
MsgKdsDisplayStylePreview,Previsualización de estilo de pantalla:
MsgKdsExpedite,Despachar
MsgKdsTileExpedite,Mostrar despachos en cuadrícula
MsgKdsKitchen,Cocina
MsgKdsOrderDisplay,Pantalla de pedidos
MsgKdsCompletedBecomes,Finalizados se convierten
MsgKdsBump,Empujar
MsgKdsBumped,Empujado
MsgKdsClosed,Cerrado
MsgKdsByItem,por artículo
MsgKdsByOrder,por pedido
MsgKdsAsUndo,como deshacer
MsgKdsTimeDisplay,Pantalla de tiempo:
MsgKdsTimeElapsed,Tiempo transcurrido
MsgKdsTimeReceived,Hora de recepción
MsgKdsSounds,Sonidos:
MsgKdsOn,Activados
MsgKdsOff,Desactivados
MsgKdsClearCache,Limpiar caché
MsgKdsSaveClose,Guardar y cerrar
MsgKdsOrderDetails,Detalles del pedido:
MsgKdsShowiPadCallNumber,Mostrar iPad Número de referencia:
MsgKdsModifiers,Modificadores
MsgKdsCompletedOrderBlinking,Pedido finalizado parpadeando:
MsgKdsGroupIdenticalProducts,Grupo de productos idénticos:
MsgKdsThemeColor,Color del tema:
MsgKdsWhite,Blanco
MsgKdsBlack,Negro
MsgKdsTimers,Temporizadores:
MsgKdsMin,%d min.
MsgKdsMarkCompletedBy,Marcar finalizado por:
MsgKdsTipWorksInRegularView,para Vista regular solo
MsgKdsVersionEstab,Versión: %@\nID de establecimiento: %d\nNombre de estación: %@\n URL: %@
MsgKdsVersionPleaseCheckConfiguration,Versión: %@\nVerifique la configuración
MsgKdsTotalRowsCountInDb,El recuento total de filas en la DB es de %d
MsgKdsMaxStorageLimitInDb,El límite máx. de almacenamiento en la DB es de %d
MsgKdsTheRemovableRowsCount,El recuento de filas removibles es de %d
MsgKdsAreYouSure,¿Está seguro?
MsgKdsSeparateByModifier,Separar por modificador
MsgKdsGroupByProduct,Agrupar por producto
MsgKdsGroupByOrder,Agrupar por pedido
MsgKdsGroupByItem,Agrupar por artículo
MsgKdsGroupByTime,Agrupar por hora
MsgKdsQuantity09,Cantidad 0-9
MsgKdsQuantity90,Cantidad 9-0
MsgKdsItemNameAZ,Nombre de artículo A-Z
MsgKdsItemNameZA,Nombre de artículo Z-A
MsgKdsDiningOption,Comer\nOpcion
MsgKdsSpecialRequest,Solicitud\nespecial
MsgKdsEnterPasscode,Ingrese la clave de acceso
MsgKds5FailedPasscodeAttempts,5 intentos fallidos de escribir la clave de acceso
MsgKdsEnterYourRestrictionsPasscode,Ingrese su clave de acceso para restricciones
MsgKdsDishName,Nombre del platillo
MsgKdsKdshasntBeenInitializedYet,KDS todavía no ha sido inicializado. Por favor haz click OK para proceder con vista de Ajustes. 
MsgKdsKdsIsStillNotInitialized,KDS no inicializado Haga clic en el botón Actualizar para descargar la configuración del servidor
MsgKdsThisKdsAndThePosAreOnIncompatible,"Este KDS y el POS tienen versiones no compatibles, lo que puede ocasionar la corrupción de los datos. Actualice su KDS."
MsgKdsVersion,Versión: %@
MsgKdsKdsName,Nombre de KDS: %@
MsgKdsCheckYourNetwork,Verifique su red
MsgKdsSorry,¡Lo sentimos!
MsgKdsThisWillDeleteAllRecords,Esto eliminará todos los registros de la base de datos local.
MsgKdsDatabasePurged,Base de datos purgada.
MsgKdsOrder#,Pedido no. %@
MsgKdsTrainingMode,***MODO DE ENTRENAMIENTO***
MsgKdsPrinterNotResponding,La impresora no responde Verifique que la impresora está encendida
MsgKdsNothing,Nada
MsgKdsWhatWouldYouLikeToDoWithTheOrder,¿Qué desea hacer con el pedido?
MsgKdsTileExpediteSeat, Asiento %@/
MsgKdsTileExpediteCourse, Plato %@/
MsgKdsKdshasntBeenInitializedTheUpdatedSettings,"KDS no se ha inicializado. La configuración actualizada no puede cargarse al servidor. Para inicializar, vaya a la vista de Configuración y haga clic en el botón Actualizar"
MsgKdsHasntBeenSynchronizedWithPos,El KDS no ha sido sincronizado con el POS. Intente actualizar en 1 min.
MsgKdsTheSettingsAreDownloadedSuccessfully,La configuración fue descargada correctamente
MsgKdsTheCurrentDeviceDoesNotExistInTheEstablishment,El dispositivo actual no existe en el establecimiento %d
MSgKdsServerCommunicationIssuePleaseCheckYourNetwork,Problema de comunicación con el servidor. Verifique su red
MsgKdsWaiting,Esperando
MsgKdsInProgressMode,Modo “En progreso”:
MsgKdsDoubleTapToComplete,Toque dos veces para completar
MsgKdsInProgress,En progreso
MsgKdsLanguagePackHasBeenUpdated,Paquete lenguaje ha sido actualizado. Por favor reinicia KDS.
MsgKdsPrint,Imprimir
MsgKdsTapDoneonWaitingOrders,Tocar Hecho en Pedidos Pendientes
MsgKDSWelcomeTourTitleScreen1,¡Bienvenidos a Revel Pantalla de Cocina!
MsgKDSWelcomeTourTextScreen1,Revel Pantalla de Cocina (KDS) provee forma excelente para mejorar eficacia y acelerar comunicación entre la parte frente y trastera de la tienda.
MsgKDSWelcomeTourTextScreen2,Elige entre diferentes estilos de vista dependiendo en las preferencias de tus empleados en cocina.
MsgKDSWelcomeTourTextScreen3,Revel KDS es completamente personalizado y ofrece opciones para ajustes para cada modo de vista.
MsgKDSWelcomeTourTitleScreen4,Configurando tu Revel Pantalla de Cocina
MsgKDSWelcomeTour4AdditionalText,"Una vez configurada la Pantalla de Cocina en Consola Web por tu administrador de Revel, ¡podrás empezar!"
MsgKDSWelcomeTourTextScreen4,"Si necesitas asistencia, por favor llama"
MsgKDSWelcomeTour4PhoneNumber,1.415.744.1433
MsgKdsMarkAllComplete,Marca todo como Completo
MsgKdsMarkAsDone,Marca como Hecho
MsgKdsContinued,Continuado
MsgProductAdded,Producto agregado
MsgSelectACategory,Seleccione una categoría
MsgSelectASubcategory,Seleccione una subcategoría
MsgSelectAProduct,Seleccione un producto
MsgFailedOrders,Lista de pedidos fallados
MsgFailedTitle,Artículo con error
MsgDescription,Descripción
MsgRetriesCount,Número de recuperaciones
MsgOrderInfoDescription,Pedido: %@
MsgOrderInfoCreated,Creado en: %@
MsgOrderInfoCreatedNoArgs,Crear
MsgCustomerInfoUpdated,Info de cliente actualizada
MsgManagerSyncLog,Sincronizar registro
MsgManagerSyncLogMaxRetries,No. máx de intentos de sincronización
MsgSalesReportError,Fallado en obtener informe de ventas.
MsgManagerRunEOD,Proceso de Fin del Día
MsgManagerNeedsToRunEOD,Procedimiento de Fin del Día necesita ejecutarse
MsgManagerEOD,Fin del Día
MsgManagerEODTaskCloseNullOrders,Cerrar Ordenes retenidas
MsgManagerEODCloseNullOrdersProgress,Cerrando 0.00 balance de pedidos...
MsgManagerEODTaskReconcileOrders,Reconciliar Pedidos Abiertos
MsgManagerEODTaskProcessCreditCards,Procesar todas las tarjetas de crédito
MsgManagerEODTaskDeclinedPayments,Pagos declinados
MsgManagerEODTaskOfflinePayments,Pagos fuera de linea
MsgManagerEODTaskConfirmTimeCards,Confirmar Tarjetas de tiempo de empleado
MsgManagerEODTaskCloseAllTills,Cerrando Todas las gavetas
MsgManagerEODVoidRefundButton,Anular/\nReembolsar
MsgManagerEODCloseCashButton,Cerrar\na Efectivo
MsgManagerEODCloseToCreditPlusButton,Cerrar a/\nCrédito +
MsgManagerEODCarryNextDayButton,Llevar a \nDía siguiente
MsgManagerEODGoToOrderButton,Ve a \nPedido
MsgManagerEODPrintReport,Imprimir Informe
MsgManagerEODPrintFiscalReports,Imprimir Informes fiscales
MsgManagerEODTaskAdditionalTasks,Tareas adicionales
MsgManagerEODCloseTillButton,Cerrar Gaveta
MsgManagerEODCloseVirtualTillButton,Cerrar Gaveta virtual
MsgManagerEODTillsOpened,Abierto
MsgManagerEODPosStation,Estación POS
MsgManagerEODContinueShift,Continuar Turno
MsgManagerEODClockOutAll,Marcar salida de todos
MsgManagerEODNoTasksAlert,No hay tareas para ejecutar
MsgManagerEODMarkComplete,Marcar como Completo
MsgManagerEODProcessSuccess,Proceso de Fin del día es completo. Todas las estaciones POS se actualizarán ahora.
MsgManagerEODProcessSuccessMain,Proceso de Fin del Día está completo. Estación POS se actualizará ahora.
MsgManagerEODReportsAllEmployees,Todos los empleados (combinados en un informe)
MsgManagerEODReportsAllEmployeesAgg,Todos los empleados (Agregar)
MsgManagerEODReportsAllStationsAgg,Todas las estaciones (Agregar)
MsgManagerEODRunPrompt,Por favor ejecuta 'Procedimiento de Fin del Día'
MsgManagerEODGoToNextStep,Paso siguiente
MsgManagerEODUnableToRun,Incapaz de ejecutar Fin del Día
MsgManagerEODCurrentOrderOpen,¡Pedido #%@ está abierto! Por favor cierra el pedido antes de ejecutar 'FIn del Día'.
MsgManagerEODActiveTransactionsError,Hay transacciones activas. Por favor completa todas las transacciones antes de ejecutar 'Fin del Día'.
MsgManagerEODActivePumpAuthorizationError,Hay una autorización activa en el surtidor que espera acción de usuario. Por favor completa la autorización antes de ejecutar\n'Fin del Día'.
MsgManagerEODError,Proceso de Fin del Día no puede continuarse.
MsgPrintReportsBEError,Error en imprimir informes de Consola de Web.
MsgManagerEODCustomStepsCompleted,Todas las tareas adicionales completadas para hoy.
MsgManagerEODFiscalReportPrinted,Informe ya está imprimido para hoy.
MsgManagerEODClockOutEmployees,Marcar salida de empleados....
MsgManagerEODBatchClockOutError,Uno o más empleados no han podido marcar su salida.\n¿Te gustaría pasar a siguiente paso no obstante?
MsgManagerEODPrintReportUsersEmpty,Nada para imprimir. Usuarios no encontrados han ejecutado transacciones para establecimiento.
MsgManagerEODChildsError,Estaciones %@ actualmente no están sincronizadas con terminal Principal.\n¿Proceder de todas formas?
MsgManagerEODSelectPrintOptions,Por favor selecciona tus opciones de impresión
MsgManagerEODEmployeesCaption,Empleados
MsgManagerEODSynLogMenu,Fin del Día
MsgManagerEODSynLogStarted,Fin del Día Iniciado
MsgManagerEODSynLogFinished,Fin del Día Finalizado
MsgManagerEODFiscalPrintersNotFoundError,"Impresoras fiscales no encontradas, por favor revisa los ajustes"
MsgManagerEODFiscalPrinterBusyError,"Impresora fiscal está ocupada, por favor intenta más tarde"
MsgManagerEODBusinessDayNotClosed,no todas las estaciones han cumplido su día laboral.\n¿Forzar el cierre del día laboral?
MsgManagerEODSendingFinishLog,Enviando registro final
MsgManagerEODOfflineStanford,Pagos CS Gold Sin conexión
MsgManagerEODSkipStep,Omitir paso
MsgManagerEODFiscalReportCompletedOnAllStations,Todas las estaciones han imprimido con éxito informes fiscales.
MsgManagerEODFiscalReportPrintFailedOnStations,Siguientes estaciones han fallado en imprimir informe fiscal:
MsgManagerEODFiscalReportPrintRetryOption,¿Te gustaría intentar de imprimir de nuevo en las estaciones falladas o continuar con impresión fiscal manualmente?
MsgManagerEODFiscalReportPrintManually,Por favor imprime manualmente los informes fiscales directamente de los terminales fallados antes de presionar continuar
MsgManagerEODErrorUnsyncedOrdersCheck,Ordenes no Sincronizadas
MsgManagerEODErrorFollowingStationsDidNotRespond,Estaciones siguientes no responden
MsgManagerEODErrorFollowingStationsHaveOrdersSyncing,Siguientes estaciones tienen pedidos actualmente sincronizándose (probablemente por problema de conexión)
MsgManagerEODErrorAndTheFollowingUnsyncedOrders,y siguientes pedidos no sincronizados
MsgManagerEODErrorFollowingStationsHaveOrdersUnsynced,Siguientes estaciones tienen pedidos actualmente no sincronizados
BtnManagerEODExitWizard,Salir de Wizard
BtnManagerEODReSync,Sinc de nuevo
BtnManagerEODRetrySync,Reintentar sinc
MsgManagerEODErrorThereAreStillUnsyncedOrders,Todavía hay pedidos sincronizando y /o no sincronizados. \n\nSe recomienda que los usuarios hagan sincronización manual en cada terminal antes de proceder con procedimiento de Fin del Día.
MsgManagerEODFollowInstructionsBellow,Por favor sigue instrucciones de abajo:
MsgManagerEODInstructionsStep1,"De cada terminal secundario, toca botón \""Pedidos\"" y selecciona \""Pedidos no sincronizados\""."
MsgManagerEODInstructionsStep1BoldOrders,Ordenes
MsgManagerEODInstructionsStep1BoldUnsyncedOrders,Ordenes no Sincronizadas
MsgManagerEODInstructionsStep2,Toca cualquiera de los pedidos no sincronizados para sincronizar el pedido con el terminal Principal. 
MsgManagerEODInstructionsLastLines,"Cuando los pedidos no están sincronizando, por favor revisa tu conectividad.\nCuando los pedidos no están sincronizando, por favor ponte en contacto con soporte técnico."
MsgManagerEODLockChildStations,Terminales sincronizados suspendidos
MsgManagerEODHasBeenInitiated,Proceso Fin del Día ha sido inicializado.
MsgManagerEODTerminalWillReactive,Este terminal se reinicializará después de que el proceso de Fin del Día se completa 
MsgManagerEODTerminalWillAutologout,Este terminal cerrará la sesión automáticamente y suspenderá actividad en %@. Por favor cierre la sesión
MsgManagerEODFollowingStationsUsersLoggedIn,Siguientes estaciones todavía tienen usuario que está registrado
MsgManagerEODLockedStationsFoundMessage,"Lista cambiará automáticamente una vez los usuarios cierran la sesión de estas estaciones.\nWizard entonces procederá automáticamente.\n\nSi quieres proceder con usuarios que todavía están registrados en las Estaciones, presiona \""Siguiente\"".\nEstos usuarios tendrá sesión cerrada automáticamente dentro de %@."
MsgManagerEODLockStationNoConnection,Sin conexión
MsgManagerEODLockStationWaitingForResponse,Esperando respuesta
MsgManagerEODMinutesSingular,minuto
MsgManagerEODMinutesPlural,minutos
MsgManagerSyncLogSignatures,Firmas
MsgManagerSyncLogOrders,Ordenes
MsgManagerSelectLogItem,Seleccione el elemento del registro a mostrar
MsgManagerSyncShowButton,Mostrar
MsgNotSupportedForIphoneApp,No compatible con la app para iPhone
MsgFullProductDetails,Detalles completos de producto
MsgSyncStatusDownloaded,Descargado
MsgSyncStatusPercentComplete,Porcentaje completado
MsgAgeVerification,Verificación de Edad
MsgCustomerBirthdateMessage,Cliente tiene que haber nacido antes de %@ para comprar este producto.\nPor favor confirma ID y Cumpleaños de Cliente
MsgItemDetailsBIN,BANDEJA
MsgItemDetailsDetails,Detalles del producto
BtnItemDetailsInventoryLookup,Buscar en el\ninventario
MsgWarningDeleteSignature,¿Está seguro de que desea borrar la información de la firma?
MsgDeleteSignatureError,No puede borrarse la firma del disco
MsgBLECheckedIn,Registro de cliente vía Bluetooth
MsgOrderDetailsCustomerCheckInfo,Revisa cliente
MsgAggregate,Total
MsgVoidServiceProduct,Producto
MsgVoidServicePrice,Precio
MsgVoidSelectItems,Artículo(s) para anular
MsgReturnSelectItems,Artículo(s) para Devolver
MsgVoidReturnSelectItems,Artículo(s) para Devolver
MsgCompSelectItems,Artículo(s para Gratuito
MsgVoidQtyLeft,Cant restante
MsgRPIUpdateConfirm,Esto actualizará la PI. ¿Está seguro?
MsgRPIUpdateSuccess,PI actualizada correctamente.
MsgRPIUpdateFail,Error al actualizar la PI
MsgRPICommunicationFail,Error de comunicación con el concentrador de red. Vuelva a conectar el cable de red o reinicie el concentrador
MsgRPIDevicesInfo,Información de dispositivos RPI
MsgRPIConnectedDevices,Dispositivos conectados
MsgRPINonMappedDevices,Dispositivos no mapeados
MsgReceiptTitleGuestCheck,CUENTA DEL CLIENTE
MsgReceiptTitleHeldOrders,INFORME DE PEDIDOS RETENIDOS
MsgReceiptNumberOfHeldOrders,Retener pedidos
MsgReceiptTotalSumOfHeldOrders,Total
MsgOrderExchangeFrom,[from %@]
MsgOrderExchangeDoneAddItems,Producto cambiado. Favor ingresar un nuevo producto a esta orden.
MsgOrderExchangeExceedsPurchaseAmountTitle,Añadir más artículos
MsgOrderExchangeExceedsPurchaseAmountMessage,Valor de intercambio excede importe de compra. Por favor añade artículos para usar fondos restantes.
MsgSelectItemsToExchangeSelectItemsToExchange,Artículo(s) seleccionados para Intercambio
MsgSelectItemsToExchangePleaseSelectItems,Por favor selecciona artículos para intercambio
MsgSelectItemsToExchangeExchangeCoupons,Pedido tiene cupones.
MsgSelectItemsToExchangeItemsToExchange,Artículo(s) para Intercambio
MsgSelectItemsToExchangeQtyLeft,Cant restante
MsgSelectItemsToExchangeExchange,Intercambio
MsgSelectItemsToExchangeOrderHasCoupon,Este pedido tiene cupón. ¿Afecta ese cupón el precio de artículo(s) intercambiado(s)?
MsgSelectItemsToExchangeOrderHasCoupons,Este pedido tiene cupones. Por favor selecciona cualquier cupón que afecta el precio de artículo(s) intercambiado(s).
MsgSpecifyReasonForExchangeSpecifyReasonForExchange,Especifica Razón para Intercambio
MsgSpecifyReasonForExchangeGrandTotal,Gran total:
MsgReceiptEXCHANGE,INTERCAMBIO
BtnOTEPShowAllOrders,Mostrar Todos los pedidos abiertos
BtnOTEPShowAllTodaysOrders,Mostrar todos los pedidos de hoy
BtnOTEPTables,Mesas
BtnOTEPBarTabs,Cuentas de bar
BtnOTEPBarTab,Cuenta de Bar
BtnTablesNewOrder,+ Nuevo Pedido
BtnTablesNewTab,+ Nueva pestaña
BtnTablesNewParty,+ Nuevo Partido
MsgTransferOrdersTableHeader,Trasladar Pedidos
BtnTransferOrdersTransfer,Trasladar
BtnTransferOrdersHideClockedOutEmployees,Esconder Marca de salida de Empl.
BtnTransferOrdersAllEmp,Todos los Empleados
BtnTransferOrdersClockedIn,Entrada marcada
MsgTransferOrdersTransfersFailed,Traslados fallados
MsgTransferOrdersTransfersFailedForOrders,Traslado ha fallado para pedidos con id:
BtnTransferOrdersClockedInOnly,Solo Marcar entrada
BtnTransferOrdersAllEmployees,Todos los empleados
MsgExistingDiscounts,Descuentos existentes en artículo(s)
MsgItemName,Nombre del artículo
MsgDiscountName,Nombre del descuento
MsgReplaceDiscountAmount,Importe del descuento
MsgReplaceDiscount,¿Reemplazar descuento?
MsgTheseItemsHaveDiscounts,¿Estos artículos ya tienen descuentos. ¿Reemplazar descuentos?
MsgStanfordPhotoConfirmation,Revisar y confirmar foto
MsgStanfordCheckBalance,Revisar balance
MsgWaitingForFoodNonFood,Esperando selección de propina
MsgEditEntry,Editar Entrada
MsgAssignTable(s),Asignar Mesa(s)
MsgSendMessage,Enviar mensaje
MsgRemoveEntry,Eliminar entrada
MsgPleaseFillPhoneNumberProceedToEditTheReservation,Por favor rellena número de teléfono. ¿Proceder con edición de reservación?
MsgSendSMSmessageTo,Envia SMS mensaje a %@
MsgSendEmailTo,Envia correo electrónico a %@
MsgSendingFailed,Envío ha fallado
MsgYouHaveAnReservation,Tienes una reservación
MsgNextReservation,Siguiente reservación
MsgPreviousAssignment,Asignación anterior
MsgEditReservation,Editar reservación
MsgAddReservation,Añadir reservación
MsgWaitlist,Lista de espera
MsgAddNewParty,Añadir Nuevo Partido
MsgAllChangesWillBeLostContinue,Todos los cambios se perderán. ¿Continuar?
MsgBirthday,Cumpleaños
MsgNoTable(s)Assigned,No hay mesa(s) asignada(s)
MsgPleaseFillName,Por favor rellena el nombre
MsgPleaseFillPhoneNumber,Por favor rellena número de teléfono
MsgPleaseFillRefCode,Por favor rellena código de referencia
MsgThereArentAvailableSeatsWouldYouLike,No hay asientos disponibles. ¿ Te gustaría crear nueva reservación?
MsgWalkIn,Entra
MsgCallIn,Llama 
MsgShortManual,M: %ld
MsgPartyNSize,Partido\nTamaño
MsgPartySize,Tamaño del partido
MsgEnterPartySize,Ingresa Tamaño de Partido
MsgCheckNIn,Registrarse\n
MsgThisTableIsOccupiedWhatWouldYouLikeToDo,Esta mesa está ocupada. ¿Qué quieres hacer?
MsgMerge,Unir
MsgKeepSeparate,Mantener separado
MsgSeated,Asentado
MsgPleaseSelectAnyTable,Por favor selecciona cualquier mesa
MsgAssign,Asignar
MsgPleaseSelectTableSections,Por favor selecciona secciones de mesa
MsgTables,Mesas
MsgTable(s),Mesa(s)
MsgHistory,Historial
MsgPresent,Presente
MsgWaiting,Tiempo esperando
MsgWaited,Tiempo esperado
MsgTargeted,Tiempo estimado
MsgTimeNSeatedNRemoved,Tiempo\nAsentado/\nRemovido
MsgRemovalReason,Razón de removimiento
MsgReasonForRemoval,Razón para removimiento
MsgReturnToWaitlist,Devolver a lista de espera
MsgEst.TimeNUntilReady,Tiempo est.\nHasta preparado
MsgEditNEntry,Editar\nEntrada
MsgSeatNParty,Asiento\nPartido
MsgNewParty,+ Nuevo Partido
MsgReservationsDashboard,Tabla de reservaciones
MsgCapacityUtilization,Utilización de capacidad
MsgRefreshing,Actualizando
MsgIncludedTags,Etiquetas incluidas
MsgDaysIncludedInAverage,Días incluidos en Promedio
MsgQuotedWait,Espera citada
MsgPartyDetails,Detalles de Partido
MsgTablePreferences,Preferencias de Mesa
MsgAddToWaitlist,Añadir a lista de espera
MsgFilterByPreferences,Filtrar por Preferencias
MsgNParties,Partidos
MsgTotalGuests,Total Clientes
MsgAvailableTables,Mesas disponibles
MsgAvailableCapacity,Capacidad disponible
MsgReservations,Reservaciones
MsgSendMessage(s),Enviar mensaje(s):
MsgHistoryIsNotSupportedNow,No se soporta el historial ahora.
MsgSections,Secciones
MsgSuggestions,Sugerencias
MsgAllTables,Todas las mesas
MsgSeating,Asiento
MsgDay(s),día(s)
MsgSomeChangesHaveBeenMade,Se han hecho algunos cambios. ¿Te gustaría guardarlos antes de continuar?
MsgOrderCanceled,Pedido cancelado
MsgOrderClosed,Pedido cerrado
MsgKeyTableStatus,Clave- Estatus de mesa
MsgPartyAutoNotify,Notificar automáticamente por texto
MsgWaitlistSearchPlaceholder,Ingresar Mesa # o Nombre de Cliente
MsgFieldRequiredToSaveCustomerRecord,"%@ se requiere para guardar registro de cliente en Revel system como configurado. Por favor cierra esta ventana e ingresa %@ cliente válido y único o presiona \""continuar\"" para reservar partido sin guardar registro de cliente permanentemente."
MsgWaitlistPhoneNumber,Número de teléfono
MsgIncomingSms,Sms entrante
MsgOutcomingSms,Sms Saliente
MsgGasStationStartFueltransactionConfirmation,Te gustaría autorizar transacción para %@?\n\nNúmero de manguera: %d\nCantidad: %.2f\nPrecio: %.2f\nPrecio total: %.2f
MsgGasStationSelectClearType,Selecciona Borrar Tipo
MsgGasStationFailedToClearTransactionPleaseTryAgain,"Fallado en borrar la transacción, por favor inténtalo de nuevo"
MsgGasStationInternalErrorNoFuelTransactionFound,Error interno. No se ha encontrado transacción de combustible
MsgSomeTransactionsAreNotCleared,%d  transacción(es) no están borradas
MsgForecourtSuccessfullyUpdated,Controlador de forecourt ha sido actualizado con éxito
MsgForecourtController,Controlador de Forecourt
MsgForecourtControllerPriceUpdateFailed,Controlador de forecourt ha sido actualizado con éxito
BtnMoveOrdersMove,Mover
BtnMoveOrdersMerge,Unir
BtnMoveOrdersTablesInUse,Mostrar mesas en uso
BtnMoveOrdersTablesNotInUse,Mostrar mesas que no están usadas
MsgMoveOrdersIsNotPossible,Mover no es posible porque la destinación o pedido fuente no está sincronizado del POS principal.
MsgMoveOrdersTableHeader,Mover/Unir Pedidos
MsgMoveOrdersPleaseSelectOrders,Por favor selecciona uno o más pedidos
MsgMoveOrdersOtherOrders,Otros Pedidos
MsgMoveOrdersSortBy,Clasificar por
MsgMoveOrdersTableOrTab,Mesa / Pestaña
MsgMoveOrdersOrderStatus,Estatus de pedido
